stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2019Q1,twse,5730989,2321758,374012,3901942,3776793,640512,3136281,,,3136281,1104481,,4240762,3136281,,,4240762,,,0.32
2812,台中銀,2019Q1,twse,2083246,995722,151599,1715707,1211662,194876,1016786,,,1016786,350916,,1367702,1016786,,,1367702,,,0.29
2820,華票,2019Q1,twse,212733,288531,-1184,114258,388190,74496,313694,,,313694,205848,0,519542,,,,,,,0.23
2834,臺企銀,2019Q1,twse,4144820,1955354,419720,3131451,2549003,392718,2156285,0,,2156285,825999,,2982284,2156285,0,0,2982284,0,0,0.34
2836,高雄銀,2019Q1,twse,685609,255829,157878,593395,190165,14081,176084,,,176084,246459,,422543,,,,,,,0.17
2838,聯邦銀,2019Q1,twse,1599649,1837356,213305,2346959,876741,159055,717686,0,,717686,1476603,,2194289,708024,,9662,2184666,,9623,0.26
2845,遠東銀,2019Q1,twse,1350955,1785492,45136,1713241,1378070,219809,1158261,0,,1158261,367597,,1525858,1158261,,,1525858,,,0.35
2849,安泰銀,2019Q1,twse,915697,674827,187515,733882,669127,108804,560323,0,,560323,124952,,685275,,,,,,,0.31
2897,王道銀行,2019Q1,twse,985882,1240334,105392,1179217,941607,231482,710125,-3945,,706180,606372,,1312552,472292,,233888,928454,,384098,0.20
5876,上海商銀,2019Q1,twse,6888994,2694674,209117,3609951,5764600,1059297,4705303,,,4705303,3791116,,8496419,3585872,,1119431,6221973,,2274446,0.88
