stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2025Q4,twse,27106352,18203737,2866439,21326927,21116723,3341857,17774866,,,17774866,6757680,,24532546,17774866,,,24532546,,,1.51
2812,台中銀,2025Q4,twse,13288080,7353535,648694,9128659,10864262,1806769,9057493,,,9057493,813239,,9870732,9057493,,,9870732,,,1.53
2820,華票,2025Q4,twse,924012,2054563,108857,614291,2255427,459348,1796079,,,1796079,1858199,,3654278,,,,,,,1.34
2834,臺企銀,2025Q4,twse,20605925,14482114,2324422,17518655,15244962,3013143,12231819,0,,12231819,5080702,,17312521,12231819,0,0,17312521,,,1.26
2836,高雄銀,2025Q4,twse,3560482,1460842,387149,3067328,1566847,288972,1277875,,,1277875,973760,,2251635,,,,,,,0.68
2838,聯邦銀,2025Q4,twse,9218753,11499985,925419,12546317,7247002,1164605,6082397,,,6082397,3754671,,9837068,6101732,,-19335,9856383,,-19315,1.29
2845,遠東銀,2025Q4,twse,6803609,6065046,253010,7956152,4659493,488078,4171415,,,4171415,1207528,,5378943,4171415,,,5378943,,,0.93
2849,安泰銀,2025Q4,twse,3065858,2697946,443983,3615883,1703938,164955,1538983,0,,1538983,1089498,,2628481,,,,,,,0.79
2897,王道銀行,2025Q4,twse,2495726,7470744,652292,5162060,4152118,1002847,3149271,,,3149271,2534015,,5683286,1830666,,1318605,3049810,,2633476,0.61
5876,上海商銀,2025Q4,twse,36798341,16505989,14128485,20657803,18518042,1598482,16919560,,,16919560,118492,,17038052,14827654,,2091906,15579664,,1458388,3.06
