stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2017Q4,twse,22656870,8139849,791185,15821315,14184219,-2091113,12093106,,,12093106,-903865,11189241,,,,,,,1.28
2812,台中銀,2017Q4,twse,8186007,3208748,1124859,5914684,4355212,-722670,3632542,,,3632542,168335,3800877,3632542,,,3800877,,,1.10
2820,華票,2017Q4,twse,1158918,936028,-7283,476026,1626203,-275139,1351064,,,1351064,364896,1715960,,,,,,,1.01
2834,臺企銀,2017Q4,twse,15425422,5437273,3028711,11962883,5871101,-831177,5039924,,,5039924,516236,5556160,5039924,0,0,5556160,0,0,0.82
2836,高雄銀,2017Q4,twse,2534509,757847,590254,2203366,498736,-46320,452416,,,452416,71658,524074,452416,,,524074,,,0.47
2838,聯邦銀,2017Q4,twse,6591048,5880317,356861,8727933,3386571,-620536,2766035,,,2766035,396819,3162854,2744987,,21048,3141678,,21176,1.05
2845,遠東銀,2017Q4,twse,5404874,5015382,731847,6420765,3267644,-413761,2853883,,,2853883,288686,3142569,2853883,,,3142569,,,0.90
2849,安泰銀,2017Q4,twse,4040712,2318833,645864,3013837,2699844,-599412,2100432,0,,2100432,9299,2109731,,,,,,,1.24
2897,王道銀行,2017Q4,twse,4592175,3321879,894250,4175614,2844190,-732303,2111887,-52986,,2058901,-41924,2016977,1072080,,986821,799316,,1217661,0.45
5876,上海商銀,2017Q4,twse,23976809,10787641,832442,12723131,21208877,-4589911,16618966,,,16618966,-8954570,7664396,12385227,,4233739,8287050,,-622654,3.04
