stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2023Q3,twse,16672962,12698268,2308076,14300038,12763116,2526494,10236622,,,10236622,7475875,,17712497,10236622,,,17712497,,,0.94
2812,台中銀,2023Q3,twse,8527807,4419911,1318569,5739970,5889179,983515,4905664,,,4905664,668497,,5574161,4905664,,,5574161,,,0.94
2820,華票,2023Q3,twse,184509,1487507,-6796,377864,1300948,211881,1089067,,,1089067,978689,,2067756,,,,,,,0.81
2834,臺企銀,2023Q3,twse,14309928,9842693,2215048,11930353,10007220,1638331,8368889,,,8368889,3538739,,11907628,8368889,,,11907628,,,1.02
2836,高雄銀,2023Q3,twse,1920813,1007322,-94840,2076141,946834,255275,691559,,,691559,550061,,1241620,,,,,,,0.56
2838,聯邦銀,2023Q3,twse,6340317,7269424,524143,8708006,4377592,714442,3663150,,,3663150,1809697,,5472847,3657329,,5821,5467025,,5822,0.84
2845,遠東銀,2023Q3,twse,4989867,4820130,331331,5560098,3918568,481005,3437563,,,3437563,968436,,4405999,3437563,,,4405999,,,0.84
2849,安泰銀,2023Q3,twse,2653780,1810866,1265422,2354737,844487,78434,766053,0,,766053,-83354,,682699,,,,,,,0.39
2897,王道銀行,2023Q3,twse,1649477,5857547,393336,3515767,3597921,647537,2950384,,,2950384,1482961,,4433345,2142957,,807427,2901259,,1532086,0.74
5876,上海商銀,2023Q3,twse,29133969,8938132,2182552,13775593,22113956,3898083,18215873,,,18215873,9883313,,28099186,14681813,,3534060,20415722,,7683464,3.03
