stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2017Q4,twse,26938742,15281806,42220548,4950360,237716,23223104,13809368,-1793800,12015568,,12015568,599718,12615286,12015482,,86,12615200,,86,1.09
2881,富邦金,2017Q4,twse,113212070,292932896,406144966,2913810,289890386,55290193,58050577,-4034260,54016317,0,54016317,28021126,82037443,54122463,,-106146,82142395,,-104952,5.19
2882,國泰金,2017Q4,twse,168460750,415992524,584453274,3459544,445832540,75525573,59635617,-2962393,56673224,,56673224,44354346,101027570,56306735,,366489,100990096,,37474,4.47
2883,凱基金,2017Q4,twse,22070412,63343239,85413651,613750,48277392,22002711,14519798,-2154331,12365467,,12365467,4499766,16865233,11695285,,670182,13408973,,3456260,0.80
2884,玉山金,2017Q4,twse,20249616,25857573,46107189,4055371,,25178945,16872873,-2218434,14654439,,14654439,-70657,14583782,14756556,,-102117,14721101,,-137319,1.49
2885,元大金,2017Q4,twse,23058279,70726639,93784918,746771,33895878,38726825,20415444,-2559332,17856112,-352057,17504055,177608,17681663,16204948,,1299107,15879969,,1801694,1.37
2886,兆豐金,2017Q4,twse,35879524,23780864,59660388,4336814,-152758,26195605,29280727,-3551632,25729095,,25729095,-349226,25379869,25734515,0,-5420,25380530,0,-661,1.89
2887,台新新光金,2017Q4,twse,18734569,19067332,37801901,1851058,,21141214,14809629,-1739463,13070166,,13070166,-107224,12962942,13060662,,9504,12953592,,9350,1.15
2889,國票金,2017Q4,twse,1857747,4485003,6342750,372757,,2953947,3016046,-472230,2543816,,2543816,340485,2884301,2370784,,173032,2681767,,202534,0.86
2890,永豐金,2017Q4,twse,16103056,16402895,32505951,2435754,,19520429,10549768,-1465349,9084419,,9084419,-998313,8086106,9085309,,-890,8086996,,-890,0.82
2891,中信金,2017Q4,twse,91605166,258158491,349763657,2519102,239860214,62658046,44726295,-7502115,37224180,,37224180,1052317,38276497,37222217,,1963,38281597,,-5100,1.91
2892,第一金,2017Q4,twse,29993041,20834071,50827112,6771717,4559675,21347661,18148059,-2715668,15432391,,15432391,-1038119,14394272,15483032,,-50641,14379838,,14434,1.27
5880,合庫金,2017Q4,twse,34366142,12262258,46628400,5220930,340273,24264694,16802503,-2090418,14712085,,14712085,1318173,16030258,14317798,,394287,15359505,,670753,1.17
