stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2019Q4,twse,22849707,9228646,2136395,16421666,13520292,1948510,11571782,,,11571782,369075,,11940857,11571782,,,11940857,,,1.16
2812,台中銀,2019Q4,twse,8350530,3745098,615474,6273169,5206985,887102,4319883,0,,4319883,152812,,4472695,4319883,,,4472695,,,1.16
2820,華票,2019Q4,twse,855974,1158794,4476,456814,1553478,308825,1244653,,,1244653,370059,,1614712,,,,,,,0.93
2834,臺企銀,2019Q4,twse,17031113,6178829,2417677,12726585,8065680,1331427,6734253,0,,6734253,847658,,7581911,6734253,0,0,7581911,0,0,0.98
2836,高雄銀,2019Q4,twse,2763976,955464,414052,2418820,886568,112112,774456,,,774456,324570,,1099026,,,,,,,0.72
2838,聯邦銀,2019Q4,twse,6477462,7388720,240675,9598051,4027456,655978,3371478,,,3371478,3500069,,6871547,3359457,,12021,6859589,,11958,1.00
2845,遠東銀,2019Q4,twse,5457812,6263868,511748,6953055,4256877,624282,3632595,,,3632595,395350,,4027945,3632595,,,4027945,,,1.08
2849,安泰銀,2019Q4,twse,3661065,2752067,1055126,2900048,2457958,376154,2081804,0,,2081804,120942,,2202746,,,,,,,1.13
2897,王道銀行,2019Q4,twse,3884872,4427079,1002491,4597225,2712235,681601,2030634,-4033,,2026601,438919,,2465520,1100433,,926168,1280355,,1185165,0.45
5876,上海商銀,2019Q4,twse,29945769,11005503,907741,15412708,24630823,4906344,19724479,,,19724479,2047686,,21772165,14661111,,5063368,16298352,,5473813,3.50
