stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2022Q4,twse,24645303,9493287,3319215,17768647,13050728,2079577,10971151,,,10971151,-8151103,,2820048,10971151,,,2820048,,,1.04
2812,台中銀,2022Q4,twse,10774982,4242182,1252450,7164071,6600643,1256438,5344205,,,5344205,-1414184,,3930021,5344205,,,3930021,,,1.12
2820,華票,2022Q4,twse,839231,805792,-22783,466512,1201294,161012,1040282,,,1040282,-3412299,,-2372017,,,,,,,0.77
2834,臺企銀,2022Q4,twse,20227973,8301150,2386062,14103269,12039792,1917940,10121852,0,,10121852,-6900246,,3221606,10121852,0,0,3221606,,,1.26
2836,高雄銀,2022Q4,twse,2905870,993208,109435,2649256,1140387,205887,934500,,,934500,-2041490,,-1106990,,,,,,,0.75
2838,聯邦銀,2022Q4,twse,9841735,6143604,499377,10936188,4549774,1008240,3541534,,,3541534,-6726519,,-3184985,3539070,,2464,-3187453,,2468,0.85
2845,遠東銀,2022Q4,twse,7043553,4695378,544102,7003713,4191116,513614,3677502,,,3677502,-1742616,,1934886,3677502,,,1934886,,,1.00
2849,安泰銀,2022Q4,twse,4029682,1952071,1740909,2951114,1289730,224112,1065618,0,,1065618,-1747271,,-681653,,,,,,,0.54
2897,王道銀行,2022Q4,twse,4581495,7539324,608103,4895490,6617226,808871,5808355,0,,5808355,-5182417,,625938,5034471,,773884,2259593,,-1633655,1.80
5876,上海商銀,2022Q4,twse,33243343,11355979,4336995,17030577,23231750,4135726,19096024,,,19096024,-8660753,,10435271,14937870,,4158154,5506359,,4928912,3.33
