stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2855,統一證,2016Q4,twse,4497543,3979013,518530,418981,937511,-104469,833042,,,833042,-88465,,744577,826690,,6352,737775,,6802,0.62
6005,群益證,2016Q4,twse,6347011,5327077,1019934,652299,1672233,-265736,1406497,,,1406497,4196,,1410693,1196756,,209741,1199521,,211172,0.53
6024,群益期,2016Q4,twse,2254796,1830875,423921,179786,603707,-91948,511759,,,511759,4369,,516128,511809,,-50,516787,,-659,4.18
