stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2015Q1,twse,21440142,18579134,2861008,,,2861008,1167500,,1693508,-223641,1469867,495349,974518,,,974518,-772223,,202295,808778,,165740,349121,,-146826,0.22
1102,亞泥,2015Q1,twse,15362530,13729956,1632574,1263,,1631311,593936,,1037375,807325,1844700,302412,1542288,,,1542288,3927296,,5469584,1468473,,73815,5633392,,-163808,0.47
1103,嘉泥,2015Q1,twse,671355,747020,-75665,,,-75665,110102,,-185767,-23780,-209547,-26257,-183290,,,-183290,-450076,,-633366,-187780,,4490,-622310,,-11056,-0.29
1104,環泥,2015Q1,twse,1327430,1217267,110163,,,110163,85583,,24580,245154,269734,7897,261837,,,261837,45966,,307803,263305,,-1468,309271,,-1468,0.43
1108,幸福,2015Q1,twse,1290902,1021426,269476,,,269476,71038,,198438,-11492,186946,31941,155005,,,155005,1625,,156630,156298,,-1293,157746,,-1116,0.39
1109,信大,2015Q1,twse,951789,836497,115292,,,115292,95126,,20166,-12332,7834,6327,1507,0,,1507,-26012,,-24505,10502,,-8995,-6970,,-17535,0.02
1110,東泥,2015Q1,twse,475433,428669,46764,,,46764,14024,,32740,-1299,31441,-4546,35987,0,,35987,59880,,95867,35833,,154,95714,,153,0.06
1201,味全,2015Q1,twse,4742993,3481869,1261124,,,1261124,1566544,,-305420,-57183,-362603,-45329,-317274,-11978,,-329252,-70076,,-399328,-293436,,-35816,-358480,,-40848,-0.58
1203,味王,2015Q1,twse,1654449,1253800,400649,0,0,400649,215972,,184677,72209,256886,53655,203231,0,,203231,13060,,216291,118298,,84933,130152,,86139,0.50
1210,大成,2015Q1,twse,20079300,18212106,1867194,,,1867194,1654463,,212731,-29658,183073,93381,89692,,,89692,86631,,176323,158238,,-68546,344772,,-168449,0.23
1213,大飲,2015Q1,twse,182697,148624,34073,,,34073,21589,,12484,1111,13595,2526,11069,,,11069,-3,,11066,11069,,,11066,,,0.22
1215,卜蜂,2015Q1,twse,4008464,3505592,502872,,,502872,273897,-12346,216629,4387,221016,42313,178703,,,178703,-300526,,-121823,174847,,3856,-124666,,2843,0.72
1216,統一,2015Q1,twse,104940238,70402856,34537382,,,34537382,28259488,,6277894,2091236,8369130,1752853,6616277,,,6616277,-810146,,5806131,4299459,,2316818,3641583,,2164548,0.79
1217,愛之味,2015Q1,twse,1016187,717928,298259,,,298259,373784,,-75525,-3926,-79451,-2836,-76615,,,-76615,-2867,,-79482,-63155,,-13460,-65913,,-13569,-0.13
1218,泰山,2015Q1,twse,1982171,1695365,286806,820,182,286168,311587,,-25419,16164,-9255,472,-9727,,,-9727,-7631,,-17358,-9803,,76,-17434,,76,-0.03
1219,福壽,2015Q1,twse,2325248,2139275,185973,,,185973,164019,,21954,4427,26381,7393,18988,,,18988,-752,,18236,22504,,-3516,21888,,-3652,0.07
1220,台榮,2015Q1,twse,837271,787147,50124,,,50124,62849,,-12725,7827,-4898,-1064,-3834,,,-3834,8850,,5016,-1573,,-2261,7304,,-2288,-0.01
1225,福懋油,2015Q1,twse,2718613,2551783,166830,110,,166720,116867,0,49853,-9955,39898,7456,32442,,,32442,-3546,,28896,31588,,854,28042,,854,0.14
1227,佳格,2015Q1,twse,7183052,4804777,2378275,,,2378275,1181377,,1196898,17834,1214732,295884,918848,,,918848,-58867,,859981,912101,,6747,853234,,6747,1.27
1229,聯華,2015Q1,twse,1253789,1097685,156104,,,156104,103753,,52351,236479,288830,6352,282478,,,282478,-460166,,-177688,281506,,972,-178127,,439,0.33
1231,聯華食,2015Q1,twse,1677670,1310156,367514,0,0,367514,253395,,114119,3991,118110,20127,97983,,,97983,-2863,,95120,98452,,-469,95810,,-690,0.66
1232,大統益,2015Q1,twse,4750989,4306393,444596,,,444596,151647,,292949,795,293744,49784,243960,,,243960,222,,244182,241953,,2007,242175,,2007,1.51
1233,天仁,2015Q1,twse,565923,230412,335511,,,335511,264444,,71067,1725,72792,12673,60119,0,,60119,-4526,,55593,60104,,15,56191,,-598,0.66
1234,黑松,2015Q1,twse,1331189,948971,382218,,,382218,421466,,-39248,187077,147829,24801,123028,0,,123028,19858,,142886,123028,,,142886,,,0.31
1235,興泰,2015Q1,twse,22330,21691,639,,,639,4865,,-4226,4178,-48,144,-192,,,-192,22255,,22063,-192,,0,22063,,0,0.00
1236,宏亞,2015Q1,twse,705960,492919,213041,,,213041,125969,,87072,302,87374,14314,73060,,,73060,-31962,,41098,73060,,0,41098,,0,0.67
