stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2016Q4,twse,21726769,9281712,1138044,15787396,14083041,-1997069,12085972,,,12085972,-1077343,11008629,,,,,,,1.35
2812,台中銀,2016Q4,twse,7787474,3005162,801040,5847533,4144063,-629248,3514815,,,3514815,-486768,3028047,3514815,,,3028047,,,1.09
2820,華票,2016Q4,twse,1279211,1033284,-184790,497284,2000001,-366483,1633518,,,1633518,-467140,1166378,,,,,,,1.22
2834,臺企銀,2016Q4,twse,14996203,5660831,2504194,11793424,6359416,-1163717,5195699,0,,5195699,-1416022,3779677,5195699,0,0,3779677,0,0,0.87
2836,高雄銀,2016Q4,twse,2522607,841021,364479,2294153,704996,-56692,648304,,,648304,-95906,552398,648304,,,552398,,,0.79
2838,聯邦銀,2016Q4,twse,6304372,5707288,171542,8529331,3310787,-649166,2661621,,,2661621,-535336,2126285,2636375,,25246,2101213,,25072,1.01
2845,遠東銀,2016Q4,twse,5784422,5158476,452001,6674995,3815902,-572016,3243886,,,3243886,-228461,3015425,3243886,,,3015425,,,1.04
2849,安泰銀,2016Q4,twse,3606880,2693292,1565479,3024531,1710162,-655483,1054679,0,,1054679,-31503,1023176,,,,,,,0.63
2897,王道銀行,2016Q4,twse,4151437,3570534,609637,3536549,3575785,-833742,2742043,92956,,2834999,-1099318,1735681,1643898,,1191101,892217,,843464,0.69
5876,上海商銀,2016Q4,twse,21965927,10489349,687149,12548967,19219160,-4107035,15112125,,,15112125,-343702,14768423,11748332,,3363793,10985444,,3782979,2.89
