stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
3067,全域,2022Q2,tpex,27117,20281,,,6836,,,6836,16055,,-9219,3317,-5902,1399,-7301,,,-7301,185,,-7116,-7301,,0,-7116,,0,-0.37
3071,協禧,2022Q2,tpex,1286434,941517,,,344917,,,344917,239526,,105391,32446,137837,20212,117625,,,117625,49782,,167407,120625,,-3000,169911,,-2504,1.10
3073,天方能源,2022Q2,tpex,35638,7270,,,28368,,,28368,17111,,11257,-3997,7260,,7260,,,7260,1114,,8374,7472,,-212,8586,,-212,0.27
3078,僑威,2022Q2,tpex,3350633,2757570,,,593063,,,593063,328728,,264335,218464,482799,116792,366007,,,366007,81155,,447162,366007,,,447162,,,1.61
3081,聯亞,2022Q2,tpex,1051302,742957,,,308345,,,308345,205771,,102574,27570,130144,20901,109243,,,109243,,,109243,,,,,,,1.20
3083,網龍,2022Q2,tpex,207482,37893,,,169589,,,169589,190807,,-21218,26964,5746,4538,1208,,,1208,-59904,,-58696,934,,274,-59944,,1248,0.01
3085,新零售,2022Q2,tpex,95675,87961,,,7714,,,7714,25563,,-17849,2142,-15707,-8,-15699,,,-15699,0,,-15699,-15671,,-28,-15671,,-28,-0.28
3086,華義*,2022Q2,tpex,82850,31697,,,51153,,,51153,39738,,11415,10559,21974,598,21376,,,21376,,,21376,21376,,,21376,,0,1.10
3088,艾訊,2022Q2,tpex,3080344,2105996,,,974348,211,20,974157,718450,,255707,32376,288083,74110,213973,,,213973,40438,,254411,213973,,,254411,,,2.37
3093,港建*,2022Q2,tpex,1501392,991304,,,510088,,,510088,197263,,312825,-10994,301831,56711,245120,,,245120,2228,,247348,245120,,0,247348,,0,6.75
3095,及成,2022Q2,tpex,230443,195926,,,34517,,,34517,51749,,-17232,3669,-13563,1143,-14706,,,-14706,2455,,-12251,-14706,,,-12251,,,-0.13
3105,穩懋,2022Q2,tpex,10894318,7579450,,,3314868,,,3314868,1651416,,1663452,-4014,1659438,329209,1330229,,,1330229,-97704,,1232525,1526251,,-196022,1375724,,-143199,3.60
3114,好德,2022Q2,tpex,1719379,1518596,,,200783,,,200783,106016,0,94767,67800,162567,31771,130796,,,130796,35058,,165854,130796,,0,165854,,0,2.21
3115,富榮綱,2022Q2,tpex,57074,57007,,,67,,,67,10723,,-10656,8637,-2019,0,-2019,,,-2019,1670,,-349,-2019,,,-349,,,-0.05
3118,進階,2022Q2,tpex,268281,171163,,,97118,,,97118,65391,,31727,3036,34763,6953,27810,,,27810,,,27810,,,,,,,0.86
3122,笙泉,2022Q2,tpex,305801,171619,,,134182,,,134182,90723,,43459,4420,47879,7580,40299,,,40299,456,,40755,40299,,0,40755,,0,1.03
3128,昇銳,2022Q2,tpex,525081,371770,,,153311,,,153311,111994,,41317,8004,49321,12902,36419,,,36419,122,,36541,34763,,1656,34885,,1656,0.85
3131,弘塑,2022Q2,tpex,1809680,1042150,,,767530,,,767530,422746,,344784,114657,459441,111486,347955,,,347955,-59290,,288665,345233,,2722,285938,,2727,12.10
3141,晶宏,2022Q2,tpex,1498920,706145,,,792775,,,792775,316083,-180,476512,81107,557619,101481,456138,,,456138,-2749,,453389,474252,,-18114,471503,,-18114,6.43
3147,大綜,2022Q2,tpex,1847259,1529915,,,317344,,,317344,161061,,156283,42347,198630,40205,158425,,,158425,-3227,,155198,158425,,,155198,,,4.06
3152,璟德,2022Q2,tpex,783930,477643,,,306287,,,306287,117813,,188474,21571,210045,42009,168036,,,168036,,,168036,,,,,,,2.43
