stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1259,安心,2016Q3,tpex,3515299,2545810,969489,,,969489,807545,,161944,8874,170818,34493,136325,,,136325,-3053,,133272,153695,,-17370,153067,,-19795,4.75
1264,德麥,2016Q3,tpex,2776963,1740075,1036888,13,18,1036893,570509,,466384,-5448,460936,94360,366576,,,366576,-38088,,328488,318118,,48458,299430,,29058,10.38
1336,台翰,2016Q3,tpex,1270840,1211184,59656,,,59656,179503,0,-119847,-34208,-154055,-26717,-127338,0,,-127338,-73379,,-200717,-127338,,,-200717,,,-2.03
1565,精華,2016Q3,tpex,4778271,2731636,2046635,,,2046635,342878,,1703757,-133779,1569978,276195,1293783,,,1293783,-4436,,1289347,1293783,,,1289347,,,25.66
1569,濱川,2016Q3,tpex,1951001,1640190,310811,,,310811,193883,,116928,-25699,91229,273,90956,,,90956,-172445,,-81489,90956,,,-81489,,,0.97
1570,力肯,2016Q3,tpex,491720,390981,100739,,,100739,56313,,44426,-2149,42277,12371,29906,,,29906,-1758,,28148,29906,,0,28148,,0,0.58
1580,新麥,2016Q3,tpex,3114582,1803156,1311426,,,1311426,757829,,553597,-2178,551419,161797,389622,,,389622,-95018,,294604,379173,,10449,286815,,7789,7.81
1584,精剛,2016Q3,tpex,523682,469301,54381,,,54381,41973,,12408,-8713,3695,924,2771,,,2771,1043,,3814,,,,,,,0.03
1586,和勤,2016Q3,tpex,1373043,1212633,160410,,,160410,199140,,-38730,-28104,-66834,-13005,-53829,,,-53829,-66538,,-120367,-53829,,,-120367,,,-1.03
1591,駿吉-KY,2016Q3,tpex,395808,294914,100894,,,100894,52645,,48249,136,48385,12012,36373,,,36373,-4715,,31658,36373,,,31658,,,1.21
1593,祺驊,2016Q3,tpex,605931,425102,180829,,,180829,95358,,85471,-2378,83093,13171,69922,,,69922,-30844,,39078,69642,,280,38798,,280,2.30
1595,川寶,2016Q3,tpex,589912,351094,238818,,,238818,136431,,102387,-23513,78874,25890,52984,,,52984,-11989,,40995,52984,,,40995,,,1.30
1599,宏佳騰,2016Q3,tpex,1988360,1491096,497264,,,497264,302307,,194957,48455,243412,43358,200054,,,200054,-22377,,177677,200054,,,177677,,,3.87
1742,台蠟,2016Q3,tpex,458801,424103,34698,,,34698,60999,,-26301,-67301,-93602,0,-93602,,,-93602,-2914,,-96516,-93602,,,-96516,,,-1.45
1777,生泰,2016Q3,tpex,577878,342412,235466,,,235466,79699,,155767,-9362,146405,27204,119201,,,119201,2351,,121552,,,,,,,3.97
1781,合世,2016Q3,tpex,480155,438065,42090,,,42090,103372,,-61282,-5669,-66951,-4730,-62221,,,-62221,-11965,,-74186,-62221,,,-74186,,,-1.31
1784,訊聯,2016Q3,tpex,511743,256838,254905,,,254905,265761,,-10856,3320,-7536,-923,-6613,,,-6613,-770,,-7383,-5374,,-1239,-6144,,-1239,-0.11
1785,光洋科,2016Q3,tpex,21259699,20626241,633458,,,633458,1023184,,-389726,107,-389619,-52978,-336641,,,-336641,-115532,,-452173,-340358,,3717,-455677,,3504,-0.86
1788,杏昌,2016Q3,tpex,2108817,1648808,460009,,,460009,280806,,179203,-2860,176343,33639,142704,,,142704,-3811,,138893,142704,,0,138893,,0,4.08
1799,易威,2016Q3,tpex,222515,185248,37267,0,0,37267,200487,,-163220,433,-162787,121,-162908,,,-162908,-12578,,-175486,-148280,,-14628,-159454,,-16032,-2.28
1813,寶利徠,2016Q3,tpex,231237,154762,76475,,,76475,55908,,20567,27236,47803,1581,46222,,,46222,-350,,45872,47575,,-1353,46835,,-963,1.02
1815,富喬,2016Q3,tpex,3649152,2778088,871064,,,871064,416694,,454370,-88286,366084,73124,292960,,,292960,-68702,,224258,292960,,,224258,,,0.73
2035,唐榮公司,2016Q3,tpex,8558612,8070235,488377,,,488377,227896,,260481,126502,386983,44272,342711,,,342711,33194,,375905,342711,,0,375905,,0,0.98
2061,風青,2016Q3,tpex,647108,623681,23427,,,23427,41780,,-18353,7606,-10747,-1484,-9263,,,-9263,,,-9263,-9263,,,-9263,,,-0.15
2063,世鎧精密,2016Q3,tpex,577900,403558,174342,0,0,174342,88226,0,86116,-13817,72299,10879,61420,,,61420,-681,,60739,61420,,,60739,,,1.36
2064,晉椿,2016Q3,tpex,1514946,1362899,152047,,,152047,81911,,70136,-2431,67705,11247,56458,,,56458,-2372,,54086,56279,,179,54583,0,-497,0.80
2065,世豐,2016Q3,tpex,838874,688506,150368,,,150368,86423,,63945,15457,79402,13145,66257,,,66257,175640,,241897,,,,,,,2.27
2066,世德,2016Q3,tpex,944921,617517,327404,,,327404,107372,,220032,-30837,189195,44114,145081,,,145081,,,145081,,,,,,,3.97
2067,嘉鋼,2016Q3,tpex,702305,579863,122442,,,122442,152362,,-29920,16121,-13799,-4213,-9586,,,-9586,-21638,,-31224,-12553,,2967,-31552,,328,-0.41
2221,大甲,2016Q3,tpex,584598,466060,118538,,,118538,67461,0,51077,186,51263,11486,39777,,,39777,22,,39799,38003,0,1774,38025,0,1774,0.91
2230,泰茂,2016Q3,tpex,332391,270120,62271,,,62271,59347,19,2943,-4537,-1594,-122,-1472,,,-1472,-19772,,-21244,-6609,,5137,-22902,,1658,-0.17
2235,謚源,2016Q3,tpex,675837,457186,218651,,,218651,65095,,153556,5622,159178,29022,130156,,,130156,,,130156,,,,,,,4.08
2596,綠意,2016Q3,tpex,622918,307874,315044,,,315044,82201,,232843,4450,237293,134,237159,,,237159,,,237159,220271,,16888,220271,,16888,2.66
2640,大車隊,2016Q3,tpex,1239928,697103,542825,,,542825,370646,,172179,-22277,149902,45429,104473,,,104473,22,,104495,105756,,-1283,105778,,-1283,2.28
2641,正德,2016Q3,tpex,596788,517282,79506,,,79506,42223,,37283,-46336,-9053,4244,-13297,,,-13297,-96592,,-109889,-13297,,,-109889,,,-0.10
2643,捷迅,2016Q3,tpex,2053212,1729404,323808,,,323808,155566,,168242,2414,170656,57029,113627,,,113627,-24330,,89297,113627,,,89297,,,4.51
2718,全心投控,2016Q3,tpex,185334,150005,35329,,,35329,27829,,7500,3004,10504,2826,7678,,,7678,-1644,,6034,,,,,,,0.34
2719,燦星旅,2016Q3,tpex,2060304,1791328,268976,,,268976,301534,,-32558,5595,-26963,-140,-26823,,,-26823,-495,,-27318,-26823,,,-27318,,,-0.74
2724,藝舍-KY,2016Q3,tpex,622442,561031,61411,,,61411,179892,-7022,-125503,-234440,-359943,-309,-359634,,,-359634,-16005,,-375639,-359634,,,-375639,,,-9.42
2726,雅茗-KY,2016Q3,tpex,1307693,618904,688789,,,688789,570948,,117841,8821,126662,41666,84996,,,84996,-43315,,41681,89653,,-4657,47240,,-5559,2.98
2729,瓦城,2016Q3,tpex,2952612,1404182,1548430,,,1548430,1230070,,318360,3543,321903,57413,264490,,,264490,-12586,,251904,264490,,0,251904,,0,11.37
2732,六角,2016Q3,tpex,1527438,705749,821689,,19,821708,672990,-9610,139108,-24682,114426,19854,94572,,,94572,-9274,,85298,97319,,-2747,88836,,-3538,3.11
2734,易飛網,2016Q3,tpex,1293084,1129615,163469,,,163469,189406,,-25937,2287,-23650,-2284,-21366,,,-21366,-1450,,-22816,-21107,,-259,-22468,,-348,-0.70
2736,富野,2016Q3,tpex,545468,241631,303837,,,303837,224256,,79581,-1889,77692,26516,51176,,,51176,,,51176,51176,,,51176,,,1.05
2740,華軒,2016Q3,tpex,592063,316763,275300,,,275300,296385,,-21085,-5594,-26679,-4389,-22290,,,-22290,-498,,-22788,-22290,,,-22788,,,-1.40
2916,滿心,2016Q3,tpex,911057,493253,417804,,,417804,408486,,9318,9129,18447,3154,15293,,,15293,-4722,,10571,15293,,,10571,,,0.28
2924,宏太-KY,2016Q3,tpex,790108,272728,517380,,,517380,491941,,25439,-12794,12645,11560,1085,,,1085,-52214,,-51129,1085,,,-51129,,,0.03
2926,誠品生活,2016Q3,tpex,3150525,1598924,1551601,,,1551601,1201849,0,349752,73771,423523,77962,345561,,,345561,-14731,,330830,345561,,,330830,,,7.29
2937,集雅社,2016Q3,tpex,866998,631895,235103,,,235103,194322,,40781,4974,45755,8643,37112,,,37112,,,37112,37112,,,37112,,,1.24
3064,泰偉,2016Q3,tpex,177836,42215,135621,,,135621,219693,,-84072,14969,-69103,2378,-71481,,,-71481,-31339,,-102820,-67055,,-4426,-97819,,-5001,-0.93
3066,李洲,2016Q3,tpex,335050,282902,52148,,,52148,129870,,-77722,-13861,-91583,3284,-94867,,,-94867,50691,,-44176,-99636,,4769,-31340,,-12836,-1.20
3067,全域,2016Q3,tpex,172711,136180,36531,,,36531,73569,,-37038,8522,-28516,-118,-28398,,,-28398,-10234,,-38632,-28398,,0,-38632,,0,-0.98
3071,協禧,2016Q3,tpex,1690248,1302281,387967,,,387967,317950,,70017,7418,77435,10356,67079,,,67079,-73411,,-6332,67079,,,-6332,,,0.46
3073,天方能源,2016Q3,tpex,193335,156866,36469,,,36469,28126,,8343,1862,10205,0,10205,,,10205,-2156,,8049,10472,,-267,8316,,-267,0.22
