stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2025Q2,twse,70310678,59070124,,,11240554,,,11240554,7824656,,3415898,-344331,3071567,1573103,1498464,,,1498464,-22085252,,-20586788,960722,,537742,-19859495,,-727293,0.07
1102,亞泥,2025Q2,twse,35260444,29515334,,,5745110,,,5745110,1552428,,4192682,1497091,5689773,1199842,4489931,,,4489931,-15278517,,-10788586,4294031,,195900,-8593223,,-2195363,1.28
1103,嘉泥,2025Q2,twse,1521022,1271361,,,249661,,,249661,249261,,400,-232348,-231948,-13828,-218120,,,-218120,-2454733,,-2672853,-208691,,-9429,-2561615,,-111238,-0.32
1104,環泥,2025Q2,twse,3897477,3068831,,,828646,,,828646,261877,,566769,243334,810103,115084,695019,,,695019,-831374,,-136355,675291,,19728,-156174,,19819,0.98
1108,幸福,2025Q2,twse,2373296,1877462,,,495834,,,495834,170507,562656,887983,-12260,875723,180901,694822,,,694822,-8003,,686819,694822,,,686819,,,1.72
1109,信大,2025Q2,twse,2251696,1886436,,,365260,,,365260,150193,,215067,61555,276622,84518,192104,,,192104,-405628,,-213524,167121,,24983,-102768,,-110756,0.49
1110,東泥,2025Q2,twse,1488986,1279805,,,209181,,,209181,78660,,130521,-35917,94604,29725,64879,,,64879,75638,,140517,42462,,22417,118140,,22377,0.07
1201,味全,2025Q2,twse,10731979,7760558,,,2971421,,,2971421,2707924,,263497,-57502,205995,69380,136615,,,136615,-356666,,-220051,136173,,442,-220493,,442,0.27
1203,味王,2025Q2,twse,2954993,1893554,,,1061439,0,0,1061439,533257,,528182,-83148,445034,138420,306614,0,,306614,-224935,,81679,152936,,153678,-23938,,105617,0.64
1210,大成,2025Q2,twse,50338217,43183578,,,7154639,,,7154639,4812395,,2342244,-76202,2266042,547090,1718952,,,1718952,-2004589,,-285637,1454923,,264029,303442,,-589079,1.74
1213,大飲,2025Q2,twse,135192,139618,,,-4426,,,-4426,19168,,-23594,2141,-21453,4275,-25728,,,-25728,-48,,-25776,-25728,,,-25776,,,-0.45
1215,卜蜂,2025Q2,twse,13757991,10829473,,,2928518,,,2928518,1114013,18242,1832747,16277,1849024,386623,1462401,,,1462401,-152195,,1310206,1460243,,2158,1308048,,2158,4.95
1216,統一,2025Q2,twse,338837523,225380957,,,113456566,,,113456566,93146761,,20309805,2966376,23276181,6238214,17037967,,,17037967,-14808085,,2229882,10669705,,6368262,-1387405,,3617287,1.88
1217,愛之味,2025Q2,twse,2427739,1754534,,,673205,,,673205,608231,,64974,-73113,-8139,10806,-18945,,,-18945,-410540,,-429485,-23658,,4713,-419300,,-10185,-0.05
1218,泰山,2025Q2,twse,4929498,4070573,,,858925,163,554,859316,615603,,243713,63162,306875,-15088,321963,,,321963,86955,,408918,321592,,371,408755,,163,0.66
1219,福壽,2025Q2,twse,7127883,6587920,,-3588,536375,34,396,536737,602535,,-65798,-443,-66241,-4385,-61856,,,-61856,-11753,,-73609,20812,,-82668,11017,,-84626,0.06
1220,台榮,2025Q2,twse,1559661,1421237,,,138424,,,138424,150716,,-12292,8042,-4250,4850,-9100,,,-9100,,,-9100,-20003,,10903,-20003,,10903,-0.11
1225,福懋油,2025Q2,twse,6177586,5662519,28235,,543302,-2152,,545454,312473,0,232981,32861,265842,54129,211713,,,211713,-9351,,202362,184626,,27087,175275,,27087,0.80
1227,佳格,2025Q2,twse,13055092,9622610,,,3432482,,,3432482,2750345,,682137,-44832,637305,150779,486526,,,486526,-631604,,-145078,475074,,11452,-152380,,7302,0.52
