stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2020Q2,twse,9724922,4761762,1417131,7852928,5216625,970847,4245778,,,4245778,-407820,,3837958,4245778,,,3837958,,,0.41
2812,台中銀,2020Q2,twse,4125635,1320969,179817,3056202,2210585,369747,1840838,,,1840838,282246,,2123084,1840838,,,2123084,,,0.47
2820,華票,2020Q2,twse,499411,675222,-449,237713,937369,199510,737859,,,737859,441359,,1179218,,,,,,,0.55
2834,臺企銀,2020Q2,twse,8081341,2557272,1954981,6182974,2500658,242487,2258171,,,2258171,75796,,2333967,2258171,0,0,2333967,0,0,0.30
2836,高雄銀,2020Q2,twse,1286259,610948,177631,1259191,460385,66135,394250,,,394250,66925,,461175,,,,,,,0.36
2838,聯邦銀,2020Q2,twse,3732569,3046946,273778,4919451,1586286,205494,1380792,,,1380792,-402417,,978375,1380774,,18,978357,,18,0.29
2845,遠東銀,2020Q2,twse,2955457,2685861,514221,3311438,1815659,200540,1615119,,,1615119,374910,,1990029,1615119,,,1990029,,,0.48
2849,安泰銀,2020Q2,twse,1764078,1279019,214315,1408885,1419897,228787,1191110,0,,1191110,51864,,1242974,,,,,,,0.61
2897,王道銀行,2020Q2,twse,1864028,2012030,428365,2143860,1303833,302173,1001660,-10392,,991268,296363,,1287631,454198,,537070,438603,,849028,0.14
5876,上海商銀,2020Q2,twse,13647327,5318371,707816,7394908,10862974,1986140,8876834,,,8876834,-2793947,,6082887,6772455,,2104379,5458451,,624436,1.52
