stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2015Q2,twse,13315557,6723427,20038984,-112174,459460,10786105,8905593,-1320659,7584934,0,7584934,167220,7752154,7584888,,46,7752108,,46,0.77
2881,富邦金,2015Q2,twse,44628244,143602581,188230825,-611564,112433338,25570853,50838198,-8667779,42170419,,42170419,-35927185,6243234,42053247,,117172,6300363,,-57129,4.11
2882,國泰金,2015Q2,twse,66310327,170598828,236909155,166808,159252974,28411806,49077567,-7843913,41233654,,41233654,-22126814,19106840,40895290,,338364,18912176,,194664,3.26
2883,凱基金,2015Q2,twse,4978891,10958864,15937755,-590403,,10596821,5931337,-775017,5156320,,5156320,-1930154,3226166,5092257,,64063,3163614,,62552,0.34
2884,玉山金,2015Q2,twse,8387867,10776566,19164433,2023724,,9490395,7650314,-951208,6699106,,6699106,-548608,6150498,6677785,,21321,6148145,,2353,0.85
2885,元大金,2015Q2,twse,7752635,22737323,30489958,250315,6278208,15198075,8763360,-672923,8090437,,8090437,161389,8251826,7585412,,505025,8143258,,108568,0.73
2886,兆豐金,2015Q2,twse,18395377,11002531,29397908,-1916658,-113173,11947572,19480167,-4026922,15453245,,15453245,-2936145,12517100,15519055,,-65810,12521212,,-4112,1.25
2887,台新新光金,2015Q2,twse,8770406,10660300,19430706,56454,,9824102,9550150,-1133877,8416273,,8416273,-23922,8392351,8397847,0,18426,8373925,,18426,0.90
2889,國票金,2015Q2,twse,955949,1638666,2594615,177649,,1328823,1088143,-186701,901442,,901442,-97450,803992,868251,,33191,802403,,1589,0.32
2890,永豐金,2015Q2,twse,8689176,7924586,16613762,-788927,,9720008,7682681,-1137673,6545008,,6545008,-1054204,5490804,6545102,,-94,5490898,,-94,0.64
2891,中信金,2015Q2,twse,26451813,73808559,100260372,-606708,51871739,28756792,20238549,-3013462,17225087,,17225087,-5399632,11825455,17222984,,2103,11829391,,-3936,1.04
2892,第一金,2015Q2,twse,14010575,5313928,19324503,-245734,-702373,10631604,9641006,-1533133,8107873,,8107873,-1542292,6565581,8111936,,-4063,6613998,,-48417,0.82
5880,合庫金,2015Q2,twse,15595623,4137392,19733015,1177596,-1029489,12309327,7275581,-995924,6279657,,6279657,-9705,6269952,6019634,,260023,5948932,,321020,0.58
