stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2022Q1,twse,5451252,1978438,557306,4053988,2818396,441254,2377142,,,2377142,-764318,,1612824,2377142,,,1612824,,,0.23
2812,台中銀,2022Q1,twse,2417616,1019878,217869,1657132,1562493,286479,1276014,,,1276014,-168249,,1107765,1276014,,,1107765,,,0.28
2820,華票,2022Q1,twse,299718,302994,-19563,121286,500989,74047,426942,,,426942,-1468419,0,-1041477,,,,,,,0.32
2834,臺企銀,2022Q1,twse,4691032,1521781,255260,3368433,2589120,464859,2124261,0,,2124261,-1266542,,857719,2124261,0,0,857719,0,0,0.27
2836,高雄銀,2022Q1,twse,682808,352471,68326,656025,310928,31399,279529,,,279529,-676271,,-396742,,,,,,,0.24
2838,聯邦銀,2022Q1,twse,2330496,1141123,137734,2524449,809436,225402,584034,,,584034,-2636463,,-2052429,583177,,857,-2053286,,857,0.19
2845,遠東銀,2022Q1,twse,1623026,923109,207087,1588196,750852,90140,660712,,,660712,-639091,,21621,660712,,,21621,,,0.19
2849,安泰銀,2022Q1,twse,958250,604291,93172,710011,759358,78419,680939,0,,680939,-806262,,-125323,,,,,,,0.35
2897,王道銀行,2022Q1,twse,1200418,1096626,43812,1134712,1118520,233590,884930,7471,,892401,-2037979,,-1145578,581783,,310618,-412423,,-733155,0.21
5876,上海商銀,2022Q1,twse,6749977,3278520,440332,3932966,5655199,1085510,4569689,,,4569689,-4432720,,136969,3640800,,928889,-117241,,254210,0.81
