stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
5864,致和證,2020Q4,tpex,729816,266731,463085,27389,490474,21397,469077,,,469077,98551,,567628,,,,,,,1.98
6015,宏遠證,2020Q4,tpex,1306107,983257,322850,94364,417214,2496,414718,,,414718,-6526,,408192,414718,,,408192,,,1.24
6016,康和證,2020Q4,tpex,3338989,2362327,976662,165192,1141854,52040,1089814,,,1089814,95428,,1185242,1084976,,4838,1177842,,7400,1.83
6020,大展證,2020Q4,tpex,450756,214058,236698,45056,281754,21515,260239,,,260239,-3441,,256798,260243,,-4,256802,,-4,1.03
6021,美好證,2020Q4,tpex,730439,656481,73958,52676,126634,20986,105648,,,105648,228969,,334617,105648,,,334617,,,0.34
6023,元大期貨,2020Q4,tpex,3843133,3369892,473241,852339,1325580,255481,1070099,,,1070099,25742,,1095841,1070099,,,1095841,,,4.23
6026,福邦證,2020Q4,tpex,682705,386845,295860,10116,305976,22886,283090,,,283090,17709,,300799,257271,,25819,274980,,25819,1.05
