stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2024Q1,twse,5489278,4797972,723798,4761991,4801461,970234,3831227,,,3831227,2466550,,6297777,3831227,,,6297777,,,0.35
2812,台中銀,2024Q1,twse,2933423,1744017,260784,1927437,2489219,399410,2089809,,,2089809,318583,,2408392,2089809,,,2408392,,,0.40
2820,華票,2024Q1,twse,81532,594800,-164,140941,535555,101318,434237,,,434237,35312,,469549,,,,,,,0.32
2834,臺企銀,2024Q1,twse,4516527,4094035,1202952,3907937,3499673,655200,2844473,,,2844473,466825,,3311298,2844473,0,0,3311298,0,0,0.35
2836,高雄銀,2024Q1,twse,640253,337396,-25886,731367,272168,100678,171490,,,171490,230383,,401873,,,,,,,0.12
2838,聯邦銀,2024Q1,twse,1938092,3275033,299706,3434805,1478614,144031,1334583,,,1334583,2153857,,3488440,1334424,,159,3488279,,161,0.35
2845,遠東銀,2024Q1,twse,1481148,1836009,-84540,1975854,1425843,184515,1241328,,,1241328,409878,,1651206,1241328,,,1651206,,,0.31
2849,安泰銀,2024Q1,twse,787216,553717,169892,823098,347943,43227,304716,0,,304716,-119920,,184796,,,,,,,0.16
2897,王道銀行,2024Q1,twse,452469,2527931,103330,1315572,1561498,290120,1271378,,,1271378,631536,,1902914,953473,,317905,1537138,,365776,0.35
5876,上海商銀,2024Q1,twse,9391881,2949580,698679,4934537,6708245,1438612,5269633,,,5269633,8279864,,13549497,4334529,,935104,9420220,,4129277,0.89
