stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2024Q2,twse,12774355,20254146,33028501,1566383,577608,16436609,14447901,3233347,11214554,,11214554,5326043,16540597,11214480,,74,16540480,,117,0.81
2881,富邦金,2024Q2,twse,89049806,84964433,174014239,5307545,35653600,43491993,89561101,8301148,81259953,,81259953,90013928,171273881,81314485,,-54532,171321367,,-47486,5.97
2882,國泰金,2024Q2,twse,128177910,59905235,188083145,4203530,53127987,50042034,80709594,10055032,70654562,1009965,71664527,49233015,120897542,71760383,,-95856,118749080,,2148462,4.66
2883,凱基金,2024Q2,twse,36956160,-9440542,27515618,810682,-11829426,17579208,20955154,4002551,16952603,,16952603,27006729,43959332,16952656,,-53,43956513,,2819,0.98
2884,玉山金,2024Q2,twse,16171439,19962034,36133473,1662315,,18950567,15520591,2809764,12710827,,12710827,5943747,18654574,12703323,,7504,18646828,,7746,0.79
2885,元大金,2024Q2,twse,15798499,43200958,58999457,754500,6436064,28970553,22838340,4004731,18833609,,18833609,5541529,24375138,17660983,,1172626,23310042,,1065096,1.36
2886,兆豐金,2024Q2,twse,18639945,24940420,43580365,2309709,366457,17880618,23023581,2626907,20396674,,20396674,5052605,25449279,20396674,,0,25449279,,0,1.38
2887,台新新光金,2024Q2,twse,16892689,25791426,42684115,907205,11707982,17614258,12454670,1877963,10576707,,10576707,2425356,13002063,10576003,,704,13001359,,704,0.74
2889,國票金,2024Q2,twse,652169,3505277,4157446,59256,,2290579,1807611,281497,1526114,,1526114,32608,1558722,1212863,,313251,939251,,619471,0.34
2890,永豐金,2024Q2,twse,11856381,21022318,32878699,1517100,,16207784,15153815,2968446,12185369,,12185369,2692935,14878304,12185369,,,14878304,,,0.98
2891,中信金,2024Q2,twse,64654499,26431487,91085986,6231107,-6467704,45325175,45997408,8236723,37760685,,37760685,11550518,49311203,37206857,,553828,49117340,,193863,1.85
2892,第一金,2024Q2,twse,15825291,20229385,36054676,1625787,1639518,15957626,16831745,3102933,13728812,,13728812,3740204,17469016,13728812,,,17469016,,,0.98
5880,合庫金,2024Q2,twse,14313301,17746810,32060111,1482133,1234552,15408441,13934985,3544482,10390503,,10390503,3908260,14298763,10096164,,294339,14173660,,125103,0.66
