stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2016Q1,twse,5362249,2284397,-52297,3731277,3967666,-573552,3394114,,,3394114,261404,3655518,3394114,,,3655518,,,0.40
2812,台中銀,2016Q1,twse,1872934,540545,108083,1384901,920495,-130724,789771,,,789771,136548,926319,789771,,,926319,,,0.25
2820,華票,2016Q1,twse,313871,337191,-36621,126440,561243,-93582,467661,,,467661,251548,719209,,,,,,,0.35
2834,臺企銀,2016Q1,twse,3776466,1981502,1130333,3019638,1607997,-253011,1354986,0,,1354986,154906,1509892,1354986,0,0,1509892,0,0,0.24
2836,高雄銀,2016Q1,twse,627245,217231,90602,577505,176369,-11874,164495,,,164495,26981,191476,164495,,0,191476,,0,0.21
2838,聯邦銀,2016Q1,twse,1527999,1152739,-75528,1968839,787427,-127801,659626,0,,659626,84098,743724,652242,,7384,736340,,7384,0.25
2845,遠東銀,2016Q1,twse,1476162,1075215,-93698,1618441,1026634,-164367,862267,,,862267,24634,886901,862267,,,886901,,,0.28
2849,安泰銀,2016Q1,twse,929081,808731,767848,768893,201071,-135047,66024,0,,66024,18266,84290,66024,,0,84290,,0,0.04
