stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1240,茂生農經,2024Q1,tpex,714830,626151,2407,9048,100134,,,100134,61971,,38163,4797,42960,9502,33458,,,33458,9771,,43229,38740,,-5282,48511,,-5282,0.98
1259,安心,2024Q1,tpex,1487296,1146648,,,340648,,,340648,323599,,17049,19910,36959,4864,32095,,,32095,175119,,207214,32753,,-658,207616,,-402,1.01
1264,德麥,2024Q1,tpex,1557820,1053060,,,504760,,,504760,237779,,266981,8064,275045,61632,213413,,,213413,38883,,252296,188143,,25270,213049,,39247,5.08
1268,漢來美食,2024Q1,tpex,1679417,875672,,,803745,,,803745,555732,,248013,791,248804,49045,199759,,,199759,8312,,208071,199759,,,208071,,,4.73
1294,漢田生技,2024Q1,tpex,179882,108159,,,71723,,,71723,26352,,45371,-900,44471,8906,35565,,,35565,,,35565,35625,,-60,35625,,-60,1.84
1336,台翰,2024Q1,tpex,547359,450670,,,96689,,,96689,57353,,39336,14296,53632,20040,33592,,,33592,67079,,100671,33592,,,100671,,,0.43
1565,精華,2024Q1,tpex,1099745,835620,,,264125,,0,264125,99042,,165083,72406,237489,47528,189961,,,189961,440,,190401,189961,,,190401,,,3.77
1569,濱川,2024Q1,tpex,620559,574960,,,45599,,,45599,126026,,-80427,101810,21383,10459,10924,,,10924,109224,,120148,2477,,8447,110794,,9354,0.02
1570,力肯,2024Q1,tpex,96174,75628,,,20546,,,20546,20336,,210,9025,9235,1825,7410,,,7410,28260,,35670,7410,,0,35670,,0,0.14
1580,新麥,2024Q1,tpex,942562,528504,,,414058,,,414058,212355,,201703,11992,213695,66950,146745,,,146745,37028,,183773,137255,,9490,172210,,11563,2.73
1584,精剛,2024Q1,tpex,592832,503149,,,89683,,,89683,41984,,47699,22429,70128,14133,55995,,,55995,-519,,55476,58485,,-2490,57966,,-2490,0.30
1586,和勤,2024Q1,tpex,650982,531788,,,119194,,,119194,85618,,33576,-772,32804,5644,27160,,,27160,20098,,47258,27160,,,47258,,,0.33
1591,駿吉-KY,2024Q1,tpex,37367,41302,,,-3935,,,-3935,16083,,-20018,1408,-18610,-2351,-16259,,,-16259,5389,,-10870,-16259,,,-10870,,,-0.47
1593,祺驊,2024Q1,tpex,242939,169810,,,73129,,,73129,68626,,4503,10263,14766,10138,4628,,,4628,15295,,19923,127,,4501,15422,,4501,0.00
1595,川寶,2024Q1,tpex,207120,138243,,,68877,,,68877,74631,,-5754,32266,26512,9569,16943,,,16943,5088,,22031,17244,,-301,22332,,-301,0.36
1599,宏佳騰,2024Q1,tpex,457530,368242,,,89288,,,89288,130299,,-41011,9973,-31038,4902,-35940,,,-35940,-12658,,-48598,-35940,,,-48598,,,-0.49
1742,台蠟,2024Q1,tpex,58610,50564,,,8046,,,8046,29414,,-21368,131390,110022,,110022,,,110022,1696,,111718,110022,,,111718,,,1.19
1777,生泰,2024Q1,tpex,269782,164935,,,104847,,,104847,30234,,74613,34617,109230,21846,87384,,,87384,80,,87464,,,,,,,1.96
1781,合世,2024Q1,tpex,201906,167063,,,34843,,,34843,33252,,1591,14706,16297,2009,14288,,,14288,-552,,13736,14288,,,13736,,,0.30
1784,訊聯,2024Q1,tpex,296440,134415,,,162025,,,162025,138824,,23201,9986,33187,9369,23818,,,23818,158,,23976,22176,,1642,22288,,1688,0.47
1785,光洋科,2024Q1,tpex,6313036,5598619,,,714417,,,714417,372053,,342364,180115,522479,91977,430502,,,430502,51269,,481771,430487,,15,481756,,15,0.73
1788,杏昌,2024Q1,tpex,964843,706950,,,257893,0,0,257893,152327,,105566,13134,118700,22597,96103,,,96103,1207,,97310,96103,,,97310,,,2.16
1796,金穎生技,2024Q1,tpex,118386,96774,,,21612,,,21612,31406,,-9794,2240,-7554,756,-8310,,,-8310,356,,-7954,-8310,,,-7954,,,-0.20
1799,易威,2024Q1,tpex,73418,29748,,,43670,,,43670,96674,,-53004,-2648,-55652,66,-55718,,,-55718,12971,,-42747,-48168,,-7550,-35425,,-7322,-0.41
1813,寶利徠,2024Q1,tpex,79623,80162,,,-539,,,-539,21392,,-21931,37660,15729,-626,16355,,,16355,-1087,,15268,18944,,-2589,18075,,-2807,0.41
1815,富喬,2024Q1,tpex,762871,764586,,,-1715,,,-1715,120304,,-122019,34208,-87811,-26537,-61274,,,-61274,98305,,37031,-61274,,,37031,,,-0.13
2035,唐榮公司,2024Q1,tpex,2615203,2731637,,,-116434,,,-116434,72531,,-188965,7898,-181067,,-181067,,,-181067,-5424,,-186491,,,,,,,-0.52
2061,風青,2024Q1,tpex,218231,211092,,,7139,,,7139,14036,,-6897,9976,3079,1781,1298,,,1298,3279,,4577,1298,,,4577,,,0.03
2063,世鎧精密,2024Q1,tpex,293677,215637,,,78040,,,78040,33405,,44635,9708,54343,13094,41249,,,41249,3573,,44822,41249,,,44822,,,0.83
2064,晉椿,2024Q1,tpex,355204,351790,,,3414,-133,,3547,28582,,-25035,19981,-5054,,-5054,,,-5054,-1017,,-6071,-5033,,-21,-6051,,-20,-0.07
2065,世豐,2024Q1,tpex,581440,472067,,,109373,,,109373,50450,,58923,36083,95006,19001,76005,,,76005,8083,,84088,76005,,,84088,,,1.38
2066,世德,2024Q1,tpex,739147,485387,,,253760,,,253760,132397,,121363,30943,152306,31490,120816,,,120816,1384,,122200,120816,,0,122200,,0,2.90
2067,嘉鋼,2024Q1,tpex,231825,231182,,,643,,,643,45962,,-45319,-3964,-49283,-1179,-48104,,,-48104,8245,,-39859,-39237,,-8867,-31925,,-7934,-0.87
2070,精湛,2024Q1,tpex,146706,69778,,,76928,,,76928,51930,,24998,6235,31233,7117,24116,,,24116,-16350,,7766,24116,,,7766,,,0.67
2073,雄順,2024Q1,tpex,140446,112872,,,27574,,,27574,16397,,11177,-4209,6968,1366,5602,,,5602,1358,,6960,,,,,,,0.20
2221,大甲,2024Q1,tpex,294310,262258,,,32052,0,0,32052,29025,,3027,1769,4796,1301,3495,,,3495,2442,,5937,2401,,1094,4843,1094,,0.06
2230,泰茂,2024Q1,tpex,279739,160238,,,119501,,,119501,25361,-25,94115,12001,106116,10849,95267,,,95267,25546,,120813,95705,,-438,120663,,150,1.87
2235,謚源,2024Q1,tpex,131302,103089,,,28213,,,28213,16720,,11493,27577,39070,7965,31105,,,31105,0,,31105,,,,,,,0.87
2596,綠意,2024Q1,tpex,98603,92957,,,5646,,,5646,16702,,-11056,343,-10713,1386,-12099,,,-12099,,,-12099,-11490,,-609,-11490,,-609,-0.11
2640,大車隊,2024Q1,tpex,729536,382084,,,347452,,,347452,207333,,140119,2972,143091,29651,113440,,,113440,,,113440,114737,,-1297,114737,,-1297,1.94
2641,正德,2024Q1,tpex,389916,208445,,,181471,,,181471,20396,,161075,-8590,152485,-598,153083,,,153083,270165,,423248,153083,,,423248,,,0.52
2643,捷迅,2024Q1,tpex,979278,879772,,,99506,,,99506,56892,,42614,16665,59279,11992,47287,,,47287,39416,,86703,47287,,,86703,,,1.35
2718,全心投控,2024Q1,tpex,300098,132585,,,167513,,,167513,42037,,125476,1731,127207,25737,101470,,,101470,18209,,119679,101470,,,119679,,,1.16
2719,燦星旅,2024Q1,tpex,546025,481861,,,64164,,,64164,55642,,8522,18148,26670,-1471,28141,,,28141,,,28141,28141,,,28141,,,0.41
2724,藝舍-KY,2024Q1,tpex,17789,6206,,,11583,,,11583,30852,,-19269,-30792,-50061,0,-50061,,,-50061,57226,,7165,-50061,0,,7165,0,,-0.84
2726,雅茗-KY,2024Q1,tpex,129327,56925,,,72402,,,72402,69105,,3297,94767,98064,1934,96130,,,96130,11971,,108101,95549,,581,105595,,2506,3.69
2729,瓦城,2024Q1,tpex,1536974,757350,,,779624,,,779624,662389,,117235,-4455,112780,24691,88089,,,88089,2993,,91082,89814,,-1725,92807,,-1725,2.52
2732,六角,2024Q1,tpex,970501,493184,,,477317,586,0,476731,447281,-189,29261,35453,64714,11884,52830,,,52830,10497,,63327,55966,,-3136,64670,,-1343,1.23
2734,易飛網,2024Q1,tpex,670351,589895,,,80456,,,80456,76777,,3679,1446,5125,0,5125,,,5125,186,,5311,4145,,980,4340,,971,0.10
2736,富野,2024Q1,tpex,90009,43629,,,46380,,,46380,79154,,-32774,21644,-11130,0,-11130,,,-11130,7559,,-3571,-6661,,-4469,898,,-4469,-0.13
2740,華軒,2024Q1,tpex,48449,30535,,,17914,,,17914,39883,,-21969,-1258,-23227,0,-23227,,,-23227,,,-23227,-23227,,,-23227,,,-1.00
2743,山富,2024Q1,tpex,1895439,1538508,,,356931,,,356931,132440,,224491,18093,242584,48031,194553,,,194553,,,194553,194553,,,194553,,,5.40
2745,五福,2024Q1,tpex,1801500,1562701,,,238799,,,238799,98211,,140588,-9074,131514,26321,105193,,,105193,,,105193,105193,,,105193,,,3.11
2751,王座,2024Q1,tpex,336483,174704,,,161779,,,161779,147433,185,14531,492,15023,0,15023,,,15023,294,,15317,15023,,,15317,,,0.88
2752,豆府,2024Q1,tpex,859565,401508,,,458057,,,458057,332750,,125307,3392,128699,25380,103319,,,103319,91,,103410,102497,,822,102543,,867,3.90
2754,亞洲藏壽司,2024Q1,tpex,1433328,841854,,,591474,,,591474,464953,,126521,-8729,117792,23613,94179,,,94179,4168,,98347,94179,,,98347,,,2.02
2755,揚秦,2024Q1,tpex,567063,419788,,,147275,,,147275,103500,,43775,10,43785,8763,35022,,,35022,1791,,36813,35022,,,36813,,,1.16
2756,聯發國際,2024Q1,tpex,157783,61614,,,96169,,,96169,79397,,16772,10833,27605,8976,18629,,,18629,5532,,24161,18629,,,24161,,,0.76
2916,滿心,2024Q1,tpex,506484,236860,,,269624,,,269624,185034,,84590,9318,93908,18781,75127,,,75127,2546,,77673,,,,,,,1.38
2924,宏太-KY,2024Q1,tpex,7746,4775,,,2971,,,2971,13470,,-10499,-2,-10501,0,-10501,,,-10501,809,,-9692,-10501,,,-9692,,,-0.32
2926,誠品生活,2024Q1,tpex,1619605,989019,,,630586,,,630586,667980,,-37394,30123,-7271,1755,-9026,,,-9026,20098,,11072,-8890,,-136,11389,,-317,-0.19
2937,集雅社,2024Q1,tpex,1020270,781111,,,239159,,,239159,214913,,24246,115,24361,4932,19429,,,19429,,,19429,19429,,,19429,,,0.49
2941,米斯特,2024Q1,tpex,199884,76657,,,123227,,,123227,107126,,16101,-185,15916,3183,12733,,,12733,-75,,12658,,,,,,,0.90
2947,振宇五金,2024Q1,tpex,512212,309827,,,202385,,,202385,176024,,26361,-2840,23521,4649,18872,,,18872,,,18872,18872,0,0,18872,0,0,0.98
2948,寶陞,2024Q1,tpex,497233,275997,,,221236,,,221236,181416,,39820,-6423,33397,14493,18904,,,18904,34036,,52940,18904,,,52940,,,0.68
2949,欣新網,2024Q1,tpex,995098,891681,,,103417,,,103417,72396,,31021,-1341,29680,6027,23653,,,23653,14,,23667,22631,,1022,22638,,1029,0.94
3064,泰偉,2024Q1,tpex,34185,1489,,,32696,,,32696,24608,,8088,5021,13109,,13109,,,13109,736,,13845,13109,,0,13845,,0,1.01
3066,李洲,2024Q1,tpex,53691,41133,,,12558,,,12558,35117,,-22559,454,-22105,0,-22105,,,-22105,-3717,,-25822,-18785,,-3320,-23361,,-2461,-0.23
3067,全域,2024Q1,tpex,32203,14852,,,17351,,,17351,21835,,-4484,2885,-1599,171,-1770,,,-1770,530,,-1240,-1770,,0,-1240,,0,-0.09
3071,協禧,2024Q1,tpex,548157,386398,,,161759,,,161759,140766,,20993,12891,33884,8157,25727,,,25727,54167,,79894,6183,,19544,55983,,23911,0.06
3073,天方能源,2024Q1,tpex,8752,5293,,,3459,,,3459,10785,0,-7326,-1842,-9168,0,-9168,,,-9168,1032,,-8136,-8442,,-726,-7410,,-726,-0.26
3078,僑威,2024Q1,tpex,2002775,1565977,,,436798,,,436798,205446,,231352,219835,451187,111793,339394,,,339394,140407,,479801,339394,,,479801,,,1.49
3081,聯亞,2024Q1,tpex,323979,304070,,,19909,,,19909,86559,,-66650,16641,-50009,-10002,-40007,,,-40007,-14210,,-54217,,,,,,,-0.44
3083,網龍,2024Q1,tpex,111113,25216,,,85897,,,85897,80143,,5754,39348,45102,1109,43993,,,43993,-8921,,35072,43388,,605,33633,,1439,0.50
3085,新零售,2024Q1,tpex,18613,12579,,,6034,,,6034,15129,,-9095,-35,-9130,0,-9130,,,-9130,0,,-9130,-9115,,-15,-9115,,-15,-0.31
3086,華義*,2024Q1,tpex,43923,18855,,,25068,,,25068,15277,,9791,9172,18963,0,18963,,,18963,,,18963,18963,,,18963,,,0.80
3088,艾訊,2024Q1,tpex,1409106,868504,,,540602,58,58,540602,375575,,165027,58566,223593,75689,147904,,,147904,40521,,188425,147904,,,188425,,,1.45
3093,港建*,2024Q1,tpex,207807,108843,,,98964,,,98964,71568,,27396,1476,28872,5860,23012,,,23012,9004,,32016,23012,0,0,32016,0,0,0.16
3095,及成,2024Q1,tpex,136237,105963,,,30274,,,30274,22387,,7887,93,7980,332,7648,,,7648,1914,,9562,7648,,,9562,,,0.76
3105,穩懋,2024Q1,tpex,4442401,3447733,,,994668,,,994668,811103,,183565,125155,308720,41757,266963,,,266963,970320,,1237283,406726,,-139763,1348257,,-110974,0.96
3114,好德,2024Q1,tpex,631645,573037,,,58608,,,58608,42264,,16344,34097,50441,10570,39871,,,39871,25713,,65584,39871,,0,65584,,0,0.61
3115,富榮綱,2024Q1,tpex,195,190,,,5,,,5,7982,,-7977,2222,-5755,0,-5755,,,-5755,1662,,-4093,-5755,,,-4093,,,-0.13
3118,進階,2024Q1,tpex,178227,118468,,,59759,,,59759,36785,,22974,979,23953,4790,19163,,,19163,,,19163,,,,,,,0.59
3122,笙泉,2024Q1,tpex,79282,56788,,,22494,,,22494,39799,,-17305,770,-16535,22,-16557,,,-16557,392,,-16165,-16557,,,-16165,,0,-0.41
3128,昇銳,2024Q1,tpex,239149,171523,,,67626,,,67626,60270,,7356,2824,10180,3304,6876,,,6876,,,6876,7500,,-624,7500,,-624,0.18
3131,弘塑,2024Q1,tpex,898137,509834,,,388303,,,388303,214588,,173715,44674,218389,46721,171668,,,171668,87435,,259103,171908,,-240,259337,,-234,5.99
