stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2024Q2,twse,11063307,9690840,1538962,9785753,9429432,1985435,7443997,,,7443997,4194090,,11638087,7443997,,,11638087,,,0.66
2812,台中銀,2024Q2,twse,5925614,3639215,483180,3992926,5088723,792562,4296161,,,4296161,-370077,,3926084,4296161,,,3926084,,,0.78
2820,華票,2024Q2,twse,156440,942976,-699,270937,829178,151847,677331,,,677331,-226788,,450543,,,,,,,0.50
2834,臺企銀,2024Q2,twse,9246773,7741612,1215289,7895031,7878065,1633986,6244079,,,6244079,912626,,7156705,6244079,0,0,7156705,0,0,0.76
2836,高雄銀,2024Q2,twse,1341805,772350,-7171,1474635,646691,181281,465410,,,465410,243884,,709294,,,,,,,0.27
2838,聯邦銀,2024Q2,twse,3915900,6293067,394285,6609293,3205389,419532,2785857,,,2785857,2490731,,5276588,2776203,,9654,5266933,,9655,0.56
2845,遠東銀,2024Q2,twse,2965127,3578304,-103768,3902392,2744807,334348,2410459,,,2410459,327385,,2737844,2410459,,,2737844,,,0.59
2849,安泰銀,2024Q2,twse,1608196,1141510,365805,1683188,700713,45016,655697,0,,655697,-92026,,563671,,,,,,,0.33
2897,王道銀行,2024Q2,twse,919919,4611495,317802,2545045,2668567,534094,2134473,,,2134473,147204,,2281677,1634702,,499771,1912572,,369105,0.55
5876,上海商銀,2024Q2,twse,18467449,6690129,7861346,9505581,7790651,1759395,6031256,,,6031256,11707054,,17738310,5802861,,228395,12662331,,5075979,1.20
