stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2016Q2,twse,10767209,4532173,473418,7645055,7180909,-1110942,6069967,,,6069967,388117,6458084,,,,,,,0.68
2812,台中銀,2016Q2,twse,3786590,1176516,296558,2765747,1900801,-314965,1585836,,,1585836,84391,1670227,1585836,,,1670227,,,0.49
2820,華票,2016Q2,twse,648752,612269,-162483,260303,1163201,-203829,959372,,,959372,327381,1286753,,,,,,,0.71
2834,臺企銀,2016Q2,twse,7415228,3374688,1708010,5918572,3163334,-568900,2594434,,,2594434,373470,2967904,2594434,0,0,2967904,0,0,0.46
2836,高雄銀,2016Q2,twse,1249883,473804,215087,1155949,352651,-32333,320318,,,320318,57340,377658,320318,,0,377658,,0,0.41
2838,聯邦銀,2016Q2,twse,3046736,2758613,107143,4068121,1630085,-392040,1238045,,,1238045,246901,1484946,1221261,,16784,1468162,,16784,0.47
2845,遠東銀,2016Q2,twse,2926805,2264319,5780,3229258,1956086,-310591,1645495,,,1645495,103795,1749290,1645495,,,1749290,,,0.54
2849,安泰銀,2016Q2,twse,1841375,1404338,918093,1574885,752735,-308500,444235,0,,444235,42657,486892,444235,,0,486892,,0,0.26
2897,王道銀行,2016Q2,twse,2066067,1851466,74307,1773933,2069293,-365634,1703659,-95882,,1607777,222895,1830672,918984,,688793,915801,,914871,0.38
5876,上海商銀,2016Q2,twse,10723523,5135236,430243,6210415,9218101,-1973069,7245032,,,7245032,-698946,6546086,5676324,,1568708,5588998,,957088,1.40
