stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2018Q1,twse,5769672,2053193,340541,3820294,3662030,233332,3428698,,,3428698,-63138,3365560,,,,,,,0.36
2812,台中銀,2018Q1,twse,2003434,717173,169921,1622599,928087,47273,880814,0,,880814,11739,892553,880814,,,892553,,,0.27
2820,華票,2018Q1,twse,260005,237516,-4697,117021,385197,50721,334476,,,334476,-97587,236889,,,,,,,0.25
2834,臺企銀,2018Q1,twse,4246100,1525637,356608,3296699,2118430,259669,1858761,0,,1858761,-8828,1849933,1858761,0,0,1849933,0,0,0.30
2836,高雄銀,2018Q1,twse,635797,262616,422178,554715,-78480,-87241,8761,,,8761,-60629,-51868,,,,,,,0.01
2838,聯邦銀,2018Q1,twse,1654604,1378470,142772,2159753,730549,49245,681304,,,681304,-316304,365000,678552,,2752,362248,,2752,0.26
2845,遠東銀,2018Q1,twse,1351744,1192505,146751,1609232,788266,51887,736379,,,736379,-198874,537505,736379,,,537505,,,0.23
2849,安泰銀,2018Q1,twse,922149,656125,284919,688970,604385,146000,458385,0,,458385,-74735,383650,,,,,,,0.26
2897,王道銀行,2018Q1,twse,1147916,654197,134122,1073187,594804,167273,427531,-2830,,424701,-223308,201393,178517,,246184,35797,,165596,0.07
5876,上海商銀,2018Q1,twse,6241386,2121696,160540,3107820,5094722,1249951,3844771,,,3844771,-1620902,2223869,2938774,,905997,1643703,,580166,0.72
