stock_id,name,period,market,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1409,新纖,2023Q1,twse,9145368,8879118,266250,136511,129739,,129739,485332,615071,24661,,105078,487664,,127407,0.02
1718,中纖,2023Q1,twse,9252935,8301035,951900,296300,655600,,655600,601750,1257350,-459867,,1115467,-312444,,1569794,-0.34
2207,和泰車,2023Q1,twse,67970595,60638496,7332099,1407198,5924901,,5924901,493864,6418765,5063405,,861496,5597405,,821360,9.27
2905,三商,2023Q1,twse,49199077,52843212,-3644135,-1034039,-2610096,,-2610096,9862116,7252020,-703558,,-1906538,3152437,,4099583,-0.80
