stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險其他營業成本,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2026Q2,twse,16030332,24700750,40731082,1521964,-47604,18469859,20786863,3423689,17363174,,17363174,6751616,24114790,17363019,,155,24114567,,223,1.24
2881,富邦金,2026Q2,twse,112076678,60391584,172468262,5446990,14832164,37940252,114248856,16468262,97780594,,97780594,337847400,435627994,97391130,,389464,434555403,,1072591,6.67
2882,國泰金,2026Q2,twse,156767657,4105420,160873077,4085767,25158464,40604135,91024711,14508565,76516146,,76516146,427977482,504493628,76270308,,245838,504226117,,267511,4.95
2883,凱基金,2026Q2,twse,42850799,19168703,62019502,165013,5181957,23605279,33067253,4619235,28448018,,28448018,126862691,155310709,28440126,,7892,155299347,,11362,1.64
2884,玉山金,2026Q2,twse,24431151,29412155,53843306,2808828,,24265128,26769350,5303923,21465427,,21465427,9644307,31109734,21434369,,31058,31078893,,30841,1.32
2885,元大金,2026Q2,twse,24154988,77444787,101599775,1524635,-447484,53729893,46792731,7783834,39008897,,39008897,29306296,68315193,36572168,,2436729,66953698,,1361495,2.64
2886,兆豐金,2026Q2,twse,21211248,25081307,46292555,1477626,25854,18982219,25806856,4499636,21307220,,21307220,14953903,36261123,21307220,,,36261123,,,1.44
2887,台新新光金,2026Q2,twse,86664631,10979215,97643846,3297368,9500172,33382794,51463512,7630253,43833259,,43833259,156006985,199840244,43796669,,36590,199802108,,38136,1.69
2889,國票金,2026Q2,twse,1057974,6374528,7432502,245567,,3352492,3834443,269187,3565256,,3565256,903676,4468932,2782992,,782264,3289930,,1179002,0.77
2890,永豐金,2026Q2,twse,24628048,30653596,55281644,1840284,,24718083,28723277,4197472,24525805,22092,24547897,986580,25534477,24492524,,55373,25446535,,87942,1.66
2891,中信金,2026Q2,twse,84427855,34169646,118597501,9122320,6336971,53922058,49216152,8757770,40458382,,40458382,210563630,251022012,39537275,,921107,251511670,,-489658,1.96
2892,第一金,2026Q2,twse,19368871,21789040,41157911,1747465,220867,17566398,21623181,3825115,17798066,,17798066,13519480,31317546,17798066,,,31317546,,,1.24
5880,合庫金,2026Q2,twse,18590621,16415926,35006547,1782364,-80538,16300344,17004377,3612851,13391526,,13391526,10980829,24372355,12880163,,511363,23895607,,476748,0.80
