stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2018Q4,twse,23189644,9918545,2203252,16194853,14710084,2063549,12646535,,,12646535,109534,12756069,12646535,,,12756069,,,1.29
2812,台中銀,2018Q4,twse,8434210,3255214,472772,6456769,4759883,751514,4008369,0,,4008369,33153,4041522,4008369,0,0,4041522,0,0,1.18
2820,華票,2018Q4,twse,971688,1005520,-131603,478583,1630228,294809,1335419,,,1335419,-236507,1098912,,,,,,,0.99
2834,臺企銀,2018Q4,twse,17197876,5829071,794134,13034396,9198417,1557875,7640542,0,,7640542,583288,8223830,7640542,0,0,8223830,0,0,1.19
2836,高雄銀,2018Q4,twse,2631633,867987,717977,2293511,488132,8529,479603,,,479603,-258576,221027,,,,,,,0.46
2838,聯邦銀,2018Q4,twse,6701788,6030533,293579,8962158,3476584,521583,2955001,,,2955001,-412950,2542051,2956724,,-1723,2544240,,-2189,1.07
2845,遠東銀,2018Q4,twse,5680803,5537474,514803,6634995,4068479,544278,3524201,,,3524201,-329695,3194506,3524201,,,3194506,,,1.08
2849,安泰銀,2018Q4,twse,3796315,2613083,676306,2887878,2845214,634933,2210281,0,,2210281,-31863,2178418,,,,,,,1.26
2897,王道銀行,2018Q4,twse,4224109,3597804,547214,4604221,2670478,730948,1939530,2823,,1942353,-381787,1560566,954659,,987694,730675,,829891,0.40
5876,上海商銀,2018Q4,twse,27154396,9923978,638721,13502972,22936681,4575035,18361646,,,18361646,3774261,22135907,13711971,,4649675,15005116,,7130791,3.37
