stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2017Q2,twse,13245494,7234707,20480201,1664904,557769,11315187,6942341,-948905,5993436,,5993436,1032448,7025884,5993390,,46,7025838,,46,0.54
2881,富邦金,2017Q2,twse,54873099,154297533,209170632,1145475,160819953,27056787,20148417,-1505233,18643184,0,18643184,22134892,40778076,18689864,,-46680,40823673,,-45597,1.73
2882,國泰金,2017Q2,twse,81963895,192398340,274362235,1273522,208596056,34846588,29646069,-3190990,26455079,,26455079,31491251,57946330,26235531,,219548,57965214,,-18884,2.09
2883,凱基金,2017Q2,twse,3872792,10098135,13970927,545148,,9455572,3970207,-549996,3420211,,3420211,1448459,4868670,3538286,,-118075,4975308,,-106638,0.24
2884,玉山金,2017Q2,twse,9876290,12316635,22192925,1760178,,12140585,8292162,-862927,7429235,,7429235,155387,7584622,7518404,,-89169,7704500,,-119878,0.84
2885,元大金,2017Q2,twse,11014314,27591324,38605638,578841,11359683,17778474,8888640,-1371574,7517066,-206787,7310279,-128971,7181308,6850160,,460119,6985138,,196170,0.58
2886,兆豐金,2017Q2,twse,17622334,11799780,29422114,981455,-27789,12371014,16097434,-1580277,14517157,,14517157,1481248,15998405,14522147,0,-4990,15998636,0,-231,1.07
2887,台新新光金,2017Q2,twse,9055164,8725158,17780322,83744,,9909555,7787023,-974457,6812566,,6812566,90443,6903009,6804385,,8181,6894828,,8181,0.60
2889,國票金,2017Q2,twse,938921,1905689,2844610,51066,,1410291,1383253,-228613,1154640,,1154640,404254,1558894,1087556,,67084,1467013,,91881,0.40
2890,永豐金,2017Q2,twse,8222869,8478376,16701245,1615105,,9926211,5159929,-835525,4324404,,4324404,-528306,3796098,4325336,,-932,3797030,,-932,0.41
2891,中信金,2017Q2,twse,43727332,125907627,169634959,382512,116240313,30729323,22282811,-2888221,19394590,,19394590,1661085,21055675,19393303,,1287,21058983,,-3308,1.00
2892,第一金,2017Q2,twse,14838101,9667690,24505791,545290,1960862,10722380,11277259,-1669483,9607776,,9607776,-473484,9134292,9636057,,-28281,9122399,,11893,0.79
5880,合庫金,2017Q2,twse,16761211,5732196,22493407,1582091,511686,11874172,8525458,-1066743,7458715,,7458715,1637714,9096429,7222111,,236604,8689938,,406491,0.59
