stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2016Q4,twse,26839640,15392782,42232422,3445877,226072,22516044,16044429,-1957629,14086800,,14086800,-1931831,12154969,14086734,,66,12154903,,66,1.34
2881,富邦金,2016Q4,twse,105776697,333146011,438922708,2608425,324612825,57021441,54680017,-6105261,48574756,,48574756,-3561638,45013118,48421046,,153710,45412539,,-399421,4.73
2882,國泰金,2016Q4,twse,153477903,385802281,539280184,5231640,408613955,75250084,50184505,-2145305,48039200,,48039200,-4652382,43386818,47618813,,420387,43393475,,-6657,3.79
2883,凱基金,2016Q4,twse,7059502,20068226,27127728,751478,,19265421,7110829,-1123925,5986904,,5986904,802045,6788949,5923081,,63823,6736201,,52748,0.40
2884,玉山金,2016Q4,twse,18584671,22480161,41064832,3463088,,22396072,15205672,-2222490,12983182,,12983182,-2476343,10506839,13135212,,-152030,10673795,,-166956,1.50
2885,元大金,2016Q4,twse,21387602,62554132,83941734,1093091,30788509,35287116,16773018,-2472795,14300223,,14300223,-3998132,10302091,13414105,,886118,9959024,,343067,1.16
2886,兆豐金,2016Q4,twse,37693052,17371068,55064120,3613467,116264,23417176,27917213,-5474318,22442895,,22442895,-3471024,18971871,22456183,0,-13288,18981010,0,-9139,1.65
2887,台新新光金,2016Q4,twse,18004135,18147270,36151405,3350119,,19831493,12969793,-1577360,11392433,,11392433,-453287,10939146,11399434,,-7001,10944967,,-5821,1.14
2889,國票金,2016Q4,twse,2039933,3275325,5315258,51084,,2619787,2644387,-445772,2198615,,2198615,-543700,1654915,2110209,,88406,1593333,,61582,0.78
2890,永豐金,2016Q4,twse,16612598,14207589,30820187,1592243,,19701784,9526160,-1244612,8281548,,8281548,-1705854,6575694,8283153,,-1605,6577299,,-1605,0.78
2891,中信金,2016Q4,twse,83467175,236204186,319671361,5896362,220215855,59606969,33952175,-6019301,27932874,,27932874,-8712180,19220694,27928977,,3897,19219055,,1639,1.43
2892,第一金,2016Q4,twse,28801151,16289447,45090598,2243861,871064,21778169,20197504,-2913347,17284157,,17284157,-2354170,14929987,17355998,,-71841,15023178,,-93191,1.45
5880,合庫金,2016Q4,twse,33411192,9172541,42583733,3970570,-2002856,24389933,16226086,-2086923,14139163,,14139163,-2623699,11515464,13764795,,374368,11405236,,110228,1.16
