stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2017Q2,twse,11083350,4045596,411348,7616059,7101539,-1145534,5956005,,,5956005,-177265,5778740,,,,,,,0.63
2812,台中銀,2017Q2,twse,4057554,1277526,422652,2895953,2016475,-347142,1669333,,,1669333,46869,1716202,1669333,,,1716202,,,0.51
2820,華票,2017Q2,twse,590985,427113,-2031,229586,790543,-132355,658188,,,658188,261887,920075,,,,,,,0.49
2834,臺企銀,2017Q2,twse,7555963,2719877,856714,5935787,3483339,-347553,3135786,,,3135786,533373,3669159,3135786,0,0,3669159,0,0,0.51
2836,高雄銀,2017Q2,twse,1253087,400239,102749,1136742,413835,-50516,363319,,,363319,-11084,352235,363319,,0,352235,,0,0.39
2838,聯邦銀,2017Q2,twse,3262329,2665030,99644,4236377,1591338,-291486,1299852,,,1299852,351617,1651469,1284275,,15577,1635892,,15577,0.49
2845,遠東銀,2017Q2,twse,2660607,2491298,51822,3236270,1863813,-218069,1645744,,,1645744,194561,1840305,1645744,,,1840305,,,0.53
2849,安泰銀,2017Q2,twse,2214157,1165689,564178,1534661,1281007,-276513,1004494,0,,1004494,-11668,992826,,,,,,,0.60
2897,王道銀行,2017Q2,twse,2215678,1655711,342743,1930513,1598133,-359784,1238349,-8375,,1229974,207765,1437739,746474,,483500,789044,,648695,0.31
5876,上海商銀,2017Q2,twse,11712648,5669633,454386,6303844,10624051,-2281445,8342606,,,8342606,-2229771,6112835,6223704,,2118902,5646888,,465947,1.53
