stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2115,六暉-KY,2025Q1,twse,804981,618522,,,186459,,,186459,92904,,93555,2286,95841,35255,60586,,,60586,43355,,103941,60586,,,103941,,,0.58
2201,裕隆,2025Q1,twse,17587955,11574434,,,6013521,,-1325,6012196,4511771,,1500425,-35553,1464872,386824,1078048,,,1078048,567701,,1645749,435677,,642371,837207,,808542,0.42
2204,中華,2025Q1,twse,7949854,6794426,,,1155428,6540,,1148888,996349,,152539,566630,719169,47987,671182,0,,671182,282037,,953219,629397,,41785,863210,,90009,1.15
2206,三陽工業,2025Q1,twse,15086474,11894270,,,3192204,,,3192204,1703625,,1488579,165674,1654253,316010,1338243,,,1338243,356242,,1694485,1222968,,115275,1540221,,154264,1.54
2208,台船,2025Q1,twse,3909986,5034382,,,-1124396,,,-1124396,132769,,-1257165,431595,-825570,6061,-831631,,,-831631,89281,,-742350,-831690,,59,-742409,,59,-0.65
2211,長榮鋼,2025Q1,twse,3882271,2889208,,,993063,,,993063,134952,,858111,24826,882937,153651,729286,,,729286,-1040094,,-310808,622446,,106840,-414059,,103251,1.49
2227,裕日車,2025Q1,twse,4552303,4070452,,,481851,,,481851,548196,0,-66345,-128370,-194715,-38663,-156052,,,-156052,252647,,96595,-156052,,,96595,,,-0.52
2228,劍麟,2025Q1,twse,1282087,961751,,,320336,,,320336,180393,,139943,64707,204650,58278,146372,,,146372,130562,,276934,146372,,,276934,,,1.84
2231,為升,2025Q1,twse,881563,513587,,,367976,,,367976,279325,,88651,9412,98063,47989,50074,,,50074,19120,,69194,98003,,-47929,118865,,-49671,0.70
2233,宇隆,2025Q1,twse,878707,612431,,,266276,,,266276,148612,,117664,20096,137760,17002,120758,,,120758,8554,,129312,121699,,-941,130043,,-731,2.02
2236,百達-KY,2025Q1,twse,2300491,1984829,,,315662,,,315662,209110,,106552,-33841,72711,26754,45957,,,45957,7511,,53468,53512,,-7555,58286,,-4818,1.00
2239,英利-KY,2025Q1,twse,4551057,4190782,,,360275,,,360275,604947,,-244672,-232229,-476901,-19150,-457751,,,-457751,479386,,21635,-418288,,-39463,-58921,,80556,-3.48
2241,艾姆勒,2025Q1,twse,176115,166799,,,9316,,,9316,38966,,-29650,-98,-29748,-96,-29652,,,-29652,3707,,-25945,-24142,,-5510,-21994,,-3951,-0.23
2243,宏旭-KY,2025Q1,twse,199770,207322,,,-7552,,,-7552,31616,,-39168,-7717,-46885,-4837,-42048,,,-42048,11749,,-30299,-42048,,,-30299,,,-0.61
2247,汎德永業,2025Q1,twse,13150715,11701422,,,1449293,,,1449293,984441,8098,472950,13844,486794,100004,386790,,,386790,,,386790,386790,,,386790,,,4.79
2248,華勝-KY,2025Q1,twse,455659,310990,,,144669,,,144669,85553,,59116,3392,62508,7575,54933,,,54933,25115,,80048,54933,,,80048,,,1.27
2250,IKKA-KY,2025Q1,twse,868459,712302,,,156157,,,156157,105834,,50323,-2311,48012,8250,39762,,,39762,69562,,109324,39762,,,109324,,,1.18
2254,巨鎧精密-創,2025Q1,twse,182664,122110,,,60554,,,60554,49084,,11470,-1364,10106,2066,8040,,,8040,,,8040,8040,,,8040,,,0.13
2258,鴻華先進-創,2025Q1,twse,1753625,1392352,,,361273,,,361273,922375,,-561102,31687,-529415,26,-529441,,,-529441,1403,,-528038,-529441,,,-528038,,,-0.30
2301,光寶科,2025Q1,twse,36416560,28194791,,,8221769,,,8221769,4546494,,3675275,993786,4669061,1213956,3455105,,,3455105,1398047,,4853152,3455561,,-456,4851829,,1323,1.51
2302,麗正,2025Q1,twse,193476,118286,,,75190,,,75190,46249,,28941,-36495,-7554,0,-7554,,,-7554,1079,,-6475,-7554,,,-6475,,,-0.05
2303,聯電,2025Q1,twse,57858957,42412312,,,15446645,,,15446645,6122964,462220,9785901,-439330,9346571,1603332,7743239,,,7743239,4489113,,12232352,7776741,,-33502,12265825,,-33473,0.62
2305,全友,2025Q1,twse,165550,101916,,,63634,,,63634,70340,,-6706,40419,33713,7208,26505,,,26505,27280,,53785,17498,,9007,43064,,10721,0.09
2308,台達電,2025Q1,twse,118919406,81130984,,,37788422,,,37788422,23752418,,14036004,1626894,15662898,3619576,12043322,,,12043322,5638068,,17681390,10230942,,1812380,14888193,,2793197,3.94
2312,金寶,2025Q1,twse,41937174,39251051,,,2686123,,,2686123,1654900,,1031223,-85037,946186,238354,707832,,,707832,-124663,,583169,524822,,183010,70332,,512837,0.35
2313,華通,2025Q1,twse,16729875,13857258,,,2872617,,,2872617,1399423,,1473194,322951,1796145,482757,1313388,,,1313388,410294,,1723682,1313388,,,1723682,,,1.10
2314,台揚,2025Q1,twse,248296,266580,,,-18284,,,-18284,189690,,-207974,-12991,-220965,2514,-223479,,,-223479,13390,,-210089,-223479,,,-210089,,,-0.89
2316,楠梓電,2025Q1,twse,870985,885333,,,-14348,,,-14348,102114,,-116462,446816,330354,64595,265759,,,265759,128494,,394253,265759,,,394253,,,1.46
2317,鴻海,2025Q1,twse,1644315563,1543767136,,,100548427,,,100548427,54048465,,46499962,12620395,59120357,13286751,45833606,,,45833606,37485264,,83318870,42108054,,3725552,75848196,,7470674,3.03
2321,東訊,2025Q1,twse,170131,119152,,,50979,,,50979,55438,,-4459,-2019,-6478,76,-6554,,,-6554,-8804,,-15358,-6763,,209,-15567,,209,-0.49
2323,中環,2025Q1,twse,1790005,1376815,,,413190,,,413190,455949,,-42759,-1058880,-1101639,-496,-1101143,,,-1101143,123124,,-978019,-1095166,,-5977,-975695,,-2324,-1.01
2324,仁寶,2025Q1,twse,199097957,188654464,,,10443493,,,10443493,7737298,,2706195,720728,3426923,788332,2638591,,,2638591,-4823091,,-2184500,2191229,,447362,-2630258,,445758,0.50
2327,國巨*,2025Q1,twse,31103695,20017762,,,11085933,,,11085933,4622838,,6463095,710097,7173192,1610212,5562980,,,5562980,3725985,,9288965,5529604,,33376,9251791,,37174,10.77
2328,廣宇,2025Q1,twse,5714754,5073381,,,641373,,,641373,341392,,299981,47199,347180,77823,269357,,,269357,318212,,587569,215552,,53805,488126,,99443,0.42
2329,華泰,2025Q1,twse,4077476,3538919,,,538557,,,538557,341795,,196762,34595,231357,44078,187279,,,187279,19229,,206508,187279,,,206508,,,0.27
2330,台積電,2025Q1,twse,839253664,345858588,,,493395076,,,493395076,85186056,-1128212,407080808,23814604,430895412,70162751,360732661,,,360732661,31896928,,392629589,361564128,,-831467,391813092,,816497,13.95
2331,精英,2025Q1,twse,3554476,3036729,,,517747,,,517747,561585,,-43838,848248,804410,233362,571048,,,571048,-606213,,-35165,571191,,-143,-35153,,-12,1.02
2332,友訊,2025Q1,twse,3336581,2531723,,,804858,,,804858,862341,,-57483,-28445,-85928,39284,-125212,,,-125212,248411,,123199,-165175,,39963,70143,,53056,-0.28
2337,旺宏,2025Q1,twse,6137377,5050821,,,1086556,,,1086556,2168743,,-1082187,112753,-969434,-96758,-872676,,,-872676,638514,,-234162,-873053,,377,-234539,,377,-0.47
2338,光罩,2025Q1,twse,1627957,1445763,,,182194,,,182194,319224,,-137030,-171768,-308798,14806,-323604,,,-323604,12399,,-311205,-256935,,-66669,-244536,,-66669,-1.20
2340,台亞,2025Q1,twse,966643,1008219,,,-41576,,,-41576,320309,,-361885,-5187,-367072,1620,-368692,,,-368692,-53582,,-422274,-342312,,-26380,-395894,,-26380,-0.78
2342,茂矽,2025Q1,twse,550802,437148,,,113654,,,113654,96144,,17510,9887,27397,0,27397,,,27397,-371,,27026,27479,,-82,27108,,-82,0.18
2344,華邦電,2025Q1,twse,19992617,14870849,,,5121768,,,5121768,6087135,,-965367,-180448,-1145815,-158898,-986917,,,-986917,-149292,,-1136209,-1091142,,104225,-1275916,,139707,-0.24
2345,智邦,2025Q1,twse,42750561,34103112,,,8647449,43922,,8603527,2698140,,5905387,376487,6281874,1160445,5121429,,,5121429,-1643414,,3478015,5127365,,-5936,3485401,,-7386,9.17
2347,聯強,2025Q1,twse,91397776,87407318,,,3990458,,,3990458,2106486,,1883972,538388,2422360,468324,1954036,,,1954036,1610092,,3564128,1826854,,127182,3444202,,119926,1.10
2348,海悅,2025Q1,twse,1717950,901650,,,816300,,,816300,202168,,614132,-113255,500877,134673,366204,,,366204,-4498,,361706,357227,,8977,352729,,8977,2.35
2349,錸德,2025Q1,twse,1681537,1455925,,,225612,,,225612,220003,,5609,-3760,1849,19547,-17698,,,-17698,93762,,76064,6191,,-23889,34699,,41365,0.01
2351,順德,2025Q1,twse,2526047,2157647,,,368400,,0,368400,221461,,146939,4900,151839,30461,121378,0,,121378,20214,,141592,112523,,8855,132737,,8855,0.62
2352,佳世達,2025Q1,twse,49747011,41125548,,,8621463,,,8621463,7622222,,999241,-137750,861491,267871,593620,,,593620,-14843,,578777,482946,,110674,322372,,256405,0.25
2353,宏碁,2025Q1,twse,61337993,54860193,,,6477800,27,,6477773,5469500,30472,1038745,-80667,958078,253962,704116,,,704116,1016488,,1720604,515165,,188951,1500114,,220490,0.17
2354,鴻準,2025Q1,twse,30000508,28710961,,,1289547,,,1289547,752413,,537134,675123,1212257,275867,936390,,,936390,1895010,,2831400,953376,,-16986,2855675,,-24275,0.67
2355,敬鵬,2025Q1,twse,3840450,3357396,,,483054,,,483054,351358,,131696,155476,287172,78860,208312,,,208312,211029,,419341,208320,,-8,419288,,53,0.52
2356,英業達,2025Q1,twse,157034336,147621711,,,9412625,,,9412625,5939789,,3472836,-1320513,2152323,448250,1704073,,,1704073,2078377,,3782450,1703218,,855,3778069,,4381,0.47
2357,華碩,2025Q1,twse,147693211,123090086,,,24603125,3259,,24599866,12020309,,12579557,3764270,16343827,2685515,13658312,,,13658312,-421545,,13236767,12790597,,867715,12357098,,879669,17.22
2359,所羅門,2025Q1,twse,1216009,982119,,,233890,,,233890,215771,,18119,26090,44209,31096,13113,,,13113,7553,,20666,12137,,976,21095,,-429,0.07
2360,致茂,2025Q1,twse,6865051,2716744,,,4148307,21,,4148286,1984139,,2164147,432909,2597056,441489,2155567,,,2155567,341717,,2497284,2122479,,33088,2458941,,38343,5.03
2362,藍天,2025Q1,twse,4143783,2979894,,,1163889,,,1163889,717279,,446610,-75353,371257,121094,250163,,,250163,731509,,981672,250163,,,981672,,,0.43
2363,矽統,2025Q1,twse,469683,259909,,,209774,,,209774,247724,,-37950,37069,-881,14731,-15612,,,-15612,436059,,420447,-655,,-14957,435338,,-14891,0.00
2364,倫飛,2025Q1,twse,379092,238244,,,140848,,,140848,98395,,42453,16384,58837,165,58672,,,58672,165,,58837,58629,,43,59162,,-325,1.45
2365,昆盈,2025Q1,twse,234422,143372,,,91050,,,91050,83554,,7496,16081,23577,7734,15843,,,15843,42130,,57973,16035,,-192,57869,,104,0.07
