stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2020Q3,twse,14320744,6653410,2386914,11814443,6772797,1118315,5654482,,,5654482,-314323,,5340159,5654482,,,5340159,,,0.54
2812,台中銀,2020Q3,twse,6150488,2364790,398611,4643596,3473071,536032,2937039,,,2937039,429668,,3366707,2937039,,,3366707,,,0.75
2820,華票,2020Q3,twse,800533,1061443,-3686,360303,1505359,311366,1193993,0,0,1193993,593622,,1787615,,,,,,,0.89
2834,臺企銀,2020Q3,twse,12035941,4318875,3226772,9298808,3829236,366271,3462965,0,,3462965,-197200,,3265765,3462965,0,0,3265765,0,0,0.46
2836,高雄銀,2020Q3,twse,1927091,897146,272768,1876706,674763,97074,577689,,,577689,67145,,644834,,,,,,,0.53
2838,聯邦銀,2020Q3,twse,5648401,4923160,287187,7461693,2822681,348663,2474018,,,2474018,-270106,,2203912,2473961,,57,2203854,,58,0.64
2845,遠東銀,2020Q3,twse,4462558,4071696,872850,5022571,2638833,307759,2331074,,,2331074,377617,,2708691,2331074,,,2708691,,,0.68
2849,安泰銀,2020Q3,twse,2584366,1825317,468068,2093818,1847797,302164,1545633,0,,1545633,56817,,1602450,,,,,,,0.79
2897,王道銀行,2020Q3,twse,2885075,3122511,464476,3254012,2289098,510430,1778668,-11722,,1766946,385948,,2152894,895622,,871324,871048,,1281846,0.32
5876,上海商銀,2020Q3,twse,19877463,9164993,1097160,11267054,16678242,2993307,13684935,,,13684935,-3507872,,10177063,10320947,,3363988,8621459,,1555604,2.31
