stock_id,name,period,market,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1409,新纖,2019Q1,twse,9871285,9352309,518976,119186,399790,,399790,369339,769129,322028,,77762,662961,,106168,0.20
1718,中纖,2019Q1,twse,9715734,8999243,716491,50251,666240,,666240,542224,1208464,-103063,,769303,156775,,1051689,-0.09
2207,和泰車,2019Q1,twse,43188615,39452252,3736363,826188,2910175,,2910175,603242,3513417,2503564,,406611,3045457,,467960,4.58
2905,三商,2019Q1,twse,65004367,64771501,232866,-45711,278577,,278577,7132382,7410959,139913,,138664,3391175,,4019784,0.18
