stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2024Q3,twse,19452541,31662407,51114948,3044047,734308,24947395,22389198,4534247,17854951,,17854951,9069139,26924090,17854805,,146,26923897,,193,1.30
2881,富邦金,2024Q3,twse,134450107,109559134,244009241,8817188,31961348,66552072,136678633,15299823,121378810,,121378810,54346968,175725778,121309195,,69615,174710636,,1015142,8.61
2882,國泰金,2024Q3,twse,194824471,89053661,283878132,6364277,79890071,76570737,121053047,18708516,102344531,1009965,103354496,65781946,169136442,102817142,,537354,166131842,,3004600,6.78
2883,凱基金,2024Q3,twse,55758377,-3843114,51915263,1128889,-12143247,27527142,35402479,6262185,29140294,,29140294,22837216,51977510,29140005,,289,51972724,,4786,1.71
2884,玉山金,2024Q3,twse,24891598,33706501,58598099,3326604,,29886083,25385412,4474615,20910797,,20910797,8547754,29458551,20897845,,12952,29445464,,13087,1.31
2885,元大金,2024Q3,twse,24203346,65793215,89996561,1628782,8802817,44785899,34779063,5786079,28992984,,28992984,12050825,41043809,27095015,,1897969,38827295,,2216514,2.09
2886,兆豐金,2024Q3,twse,27654084,37830294,65484378,4513881,366712,26910730,33693055,4372287,29320768,,29320768,7850482,37171250,29320768,,0,37171250,,0,1.98
2887,台新新光金,2024Q3,twse,25911099,40258710,66169809,1482513,17845899,27087084,19754313,3094125,16660188,,16660188,2092358,18752546,16659662,,526,18752020,,526,1.17
2889,國票金,2024Q3,twse,1008927,5188750,6197677,103022,,3447426,2647229,475022,2172207,,2172207,1400535,3572742,1693060,,479147,2687429,,885313,0.48
2890,永豐金,2024Q3,twse,18856215,31136151,49992366,2750113,,24650469,22591784,4143107,18448677,,18448677,6170739,24619416,18448677,,,24619416,,,1.45
2891,中信金,2024Q3,twse,98602465,42680533,141282998,9820534,-9584073,69741155,71305382,11759464,59545918,,59545918,21848454,81394372,58649348,,896570,77966072,,3428300,2.95
2892,第一金,2024Q3,twse,23387803,31993071,55380874,4165338,1811843,24042436,25361257,4553096,20808161,,20808161,7484536,28292697,20808161,,,28292697,,,1.48
5880,合庫金,2024Q3,twse,21957176,28884796,50841972,3942598,2032746,23850065,21016563,4789326,16227237,,16227237,7812418,24039655,15824141,,403096,23573797,,465858,1.04
