stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2023Q4,twse,22232574,16337498,3241455,19092029,16236588,3254446,12982142,,,12982142,11814097,,24796239,12982142,,,24796239,,,1.20
2812,台中銀,2023Q4,twse,11324777,6172894,1667977,7596145,8233549,1412115,6821434,,,6821434,1968558,,8789992,6821434,,,8789992,,,1.31
2820,華票,2023Q4,twse,244948,1774179,-17941,514544,1522524,234002,1288522,,,1288522,2336400,,3624922,,,,,,,0.96
2834,臺企銀,2023Q4,twse,18705510,13208034,4226518,15259219,12427807,1860132,10567675,0,,10567675,6250321,,16817996,10567675,0,0,16817996,,,1.29
2836,高雄銀,2023Q4,twse,2543497,1277277,-92090,2707575,1205289,340076,865213,,,865213,1643124,,2508337,,,,,,,0.70
2838,聯邦銀,2023Q4,twse,8351987,9582640,628393,12070837,5235397,914717,4320680,,,4320680,3784705,,8105385,4317286,,3394,8101987,,3398,1.02
2845,遠東銀,2023Q4,twse,6505038,6288637,540238,7546365,4707072,532863,4174209,,,4174209,1392282,,5566491,4174209,,,5566491,,,1.03
2849,安泰銀,2023Q4,twse,3377521,2445284,1397355,3175301,1250149,149122,1101027,0,,1101027,491515,,1592542,,,,,,,0.56
2897,王道銀行,2023Q4,twse,2126277,7417668,897034,4618171,4028740,602681,3426059,,,3426059,2865588,,6291647,2492420,,933639,3683548,,2608099,0.87
5876,上海商銀,2023Q4,twse,39151574,10159627,9882613,18199784,21228804,3803667,17425137,,,17425137,9590866,,27016003,14659995,,2765142,22144340,,4871663,3.02
