stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2021Q4,twse,20465705,8220253,1793845,16771674,10120439,1316636,8803803,,,8803803,1333363,,10137166,8803803,,,10137166,,,0.84
2812,台中銀,2021Q4,twse,9277630,4444244,1368511,6784154,5569209,772935,4796274,,,4796274,87965,,4884239,4796274,,,4884239,,,1.10
2820,華票,2021Q4,twse,1258823,1588478,-6936,522220,2332017,474351,1857666,,,1857666,-582975,,1274691,,,,,,,1.38
2834,臺企銀,2021Q4,twse,17805776,6300248,5187503,13116475,5802046,701934,5100112,0,,5100112,-1350031,,3750081,5100112,0,0,3750081,,,0.66
2836,高雄銀,2021Q4,twse,2790896,1222848,438494,2524788,1050462,140790,909672,,,909672,-110227,,799445,,,,,,,0.78
2838,聯邦銀,2021Q4,twse,8661671,8027102,805824,10672705,5210244,746848,4463396,,,4463396,882183,,5345579,4463768,,-372,5345944,,-365,1.21
2845,遠東銀,2021Q4,twse,6620414,4172475,813218,6676849,3302822,363700,2939122,,,2939122,-856794,,2082328,2939122,,,2082328,,,0.84
2849,安泰銀,2021Q4,twse,3675900,2261138,373844,2907983,2655211,331511,2323700,0,,2323700,-575961,,1747739,,,,,,,1.19
2897,王道銀行,2021Q4,twse,4659927,4654885,553924,4521920,4238968,1034348,3204620,-4697,,3199923,-777217,,2422706,1840842,,1359081,1497197,,925509,0.63
5876,上海商銀,2021Q4,twse,26470295,11702207,1241757,14791396,22139349,3468731,18670618,,,18670618,-6552340,,12118278,14255581,,4415037,10201802,,1916476,3.19
