stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
5864,致和證,2016Q2,tpex,113051,110383,2668,9019,11687,1910,13597,,,13597,17927,,31524,,,,,,,0.06
6015,宏遠證,2016Q2,tpex,287629,413376,-125747,54215,-71532,-4131,-75663,,,-75663,13797,,-61866,-75663,,,-61866,,,-0.18
6016,康和證,2016Q2,tpex,822179,1025768,-203589,25448,-178141,-9186,-187327,,,-187327,-9410,,-196737,-187822,,495,-197232,,495,-0.29
6020,大展證,2016Q2,tpex,61580,68206,-6626,12667,6041,-2620,3421,,,3421,,,3421,3426,,-5,3426,,-5,0.01
6021,美好證,2016Q2,tpex,125318,241126,-115808,43627,-72181,-2125,-74306,,,-74306,-33092,,-107398,-74306,,0,-107398,,0,-0.24
6023,元大期貨,2016Q2,tpex,1552168,1332939,219229,309374,528603,-84130,444473,,,444473,119325,,563798,444473,,,563798,,,1.91
6026,福邦證,2016Q2,tpex,153020,117087,35933,4360,40293,-3448,36845,0,,36845,0,,36845,37836,,-991,37836,,-991,0.16
