stock_id,name,period,market,營業收入,營業成本,營業費用,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2816,旺旺保,2015Q3,twse,4371102,2958679,1207988,204435,19909,224344,1748,222596,,,222596,-4694,,217902,223590,,-994,220346,,-2444,1.05
2832,台產,2015Q3,twse,3788759,1982919,779474,1026366,6129,1032495,102612,929883,,,929883,-196229,,733654,,,,,,,2.56
2850,新產,2015Q3,twse,9157877,6098655,1916708,1142514,6318,1148832,134504,1014328,,,1014328,-322856,,691472,,,,,,,3.21
2851,中再保,2015Q3,twse,10705618,9737747,255122,712749,-1901,710848,162081,548767,,,548767,-241173,,307594,,,,,,,0.98
2852,第一保,2015Q3,twse,3678973,2675228,844038,159707,437,160144,54043,106101,,,106101,-74957,,31144,,,,,,,0.35
