stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2015Q2,twse,10157193,3586365,-796291,7470583,7069266,-1132468,5936798,,,5936798,-13471,5923327,5936798,,,5923327,,,0.70
2812,台中銀,2015Q2,twse,3685657,1273490,69696,2508277,2381174,-352889,2028285,,,2028285,-9457,2018828,2028285,,,2018828,,,0.67
2820,華票,2015Q2,twse,500347,589072,-79621,237660,931380,-137273,794107,,,794107,26862,820969,,,,,,,0.59
2834,臺企銀,2015Q2,twse,7655253,2336470,1258934,5668402,3064387,-521490,2542897,,,2542897,-239672,2303225,2542897,0,0,2303225,0,0,0.48
2836,高雄銀,2015Q2,twse,1230927,462568,205758,1139207,348530,-37498,311032,,,311032,4695,315727,311032,,0,315727,,0,0.40
2838,聯邦銀,2015Q2,twse,3062324,2371920,-22923,3816987,1640180,-274440,1365740,,,1365740,69192,1434932,1358680,,7060,1427872,,7060,0.52
2845,遠東銀,2015Q2,twse,2843452,2606529,-220225,3280123,2390083,-340792,2049291,,,2049291,-9419,2039872,2049291,,,2039872,,,0.72
2849,安泰銀,2015Q2,twse,2095166,1655928,318617,1703966,1728511,-389372,1339139,0,,1339139,21842,1360981,1339139,,0,1360981,,0,0.80
2897,王道銀行,2015Q2,twse,1587886,2442711,151449,1785224,2093924,-410046,1683878,,,1683878,-279898,1403980,1127030,,556848,874113,,529867,0.47
5876,上海商銀,2015Q2,twse,10463529,5361091,339443,5838949,9646228,-1817984,7828244,,,7828244,-344149,7484095,6070008,,1758236,5886864,,1597231,1.52
