stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1259,安心,2015Q3,tpex,3343448,2443959,899489,,,899489,778636,,120853,-8397,112456,34152,78304,,,78304,-160,,78144,114087,,-35783,112312,,-34168,3.52
1264,德麥,2015Q3,tpex,2835140,1821603,1013537,37,58,1013558,619577,,393981,-5901,388080,72337,315743,,,315743,1601,,317344,289109,,26634,287525,,29819,9.73
1336,台翰,2015Q3,tpex,1226327,1225684,643,,,643,163509,,-162866,10175,-152691,-24144,-128547,,,-128547,119,,-128428,-128547,,,-128428,,,-2.05
1565,精華,2015Q3,tpex,4225416,2698181,1527235,,,1527235,351425,,1175810,64583,1240393,194248,1046145,,,1046145,9723,,1055868,1046145,,,1055868,,,20.75
1569,濱川,2015Q3,tpex,1678009,1798171,-120162,,,-120162,216901,,-337063,-41002,-378065,-27090,-350975,,,-350975,13478,,-337497,-350975,,,-337497,,,-3.99
1570,力肯,2015Q3,tpex,550025,407272,142753,,,142753,56077,,86676,11354,98030,17046,80984,,,80984,165,,81149,80984,,0,81149,,0,1.57
1580,新麥,2015Q3,tpex,2914319,1758266,1156053,,,1156053,712971,,443082,2047,445129,124856,320273,,,320273,23097,,343370,309687,,10586,330939,,12431,6.38
1584,精剛,2015Q3,tpex,818678,774361,44317,,,44317,57324,,-13007,-8724,-21731,4254,-25985,,,-25985,-10930,,-36915,,,,,,,-0.25
1586,和勤,2015Q3,tpex,1202398,1044329,158069,,,158069,179516,,-21447,-26572,-48019,-19586,-28433,,,-28433,17492,,-10941,-28433,,0,-10941,,0,-0.64
1591,駿吉-KY,2015Q3,tpex,466283,376598,89685,,,89685,50819,,38866,6163,45029,11921,33108,,,33108,-98904,,-65796,33108,,,-65796,,,1.10
1593,祺驊,2015Q3,tpex,622818,458907,163911,,,163911,111877,,52034,11947,63981,9609,54372,,,54372,-4742,,49630,58407,,-4035,53665,,-4035,1.98
1595,川寶,2015Q3,tpex,945636,561138,384498,,,384498,161978,,222520,37590,260110,60286,199824,,,199824,6564,,206388,199824,,,206388,,,5.17
1599,宏佳騰,2015Q3,tpex,2089564,1521533,568031,,,568031,367308,,200723,21599,222322,38202,184120,,,184120,-46862,,137258,184120,0,0,137258,0,0,4.09
1742,台蠟,2015Q3,tpex,478779,485853,-7074,,,-7074,66864,,-73938,-24912,-98850,-2,-98848,0,,-98848,5491,,-93357,-98848,,0,-93357,,0,-1.53
1777,生泰,2015Q3,tpex,503151,316613,186538,,,186538,62211,,124327,15216,139543,25147,114396,,,114396,0,,114396,,,,,,,3.81
1781,合世,2015Q3,tpex,568243,518529,49714,,,49714,105532,,-55818,14557,-41261,-7697,-33564,,,-33564,-2455,,-36019,-33564,,,-36019,,,-0.71
1784,訊聯,2015Q3,tpex,462261,202632,259629,,,259629,258830,,799,19761,20560,3177,17383,,,17383,34,,17417,20107,,-2724,20141,,-2724,0.40
1785,光洋科,2015Q3,tpex,50952906,50893860,59046,,,59046,1054297,,-995251,51206,-944045,-53883,-890162,,,-890162,29188,,-860974,-895250,,5088,-865899,,4925,-2.21
1788,杏昌,2015Q3,tpex,1994066,1551304,442762,,,442762,268841,,173921,22320,196241,35964,160277,,,160277,2738,,163015,161716,,-1439,164454,,-1439,4.62
1799,易威,2015Q3,tpex,376350,355175,21175,0,0,21175,122971,,-101796,2291,-99505,145,-99650,0,,-99650,7842,,-91808,-95091,,-4559,-88129,,-3679,-1.56
1813,寶利徠,2015Q3,tpex,303774,218830,84944,,,84944,54720,,30224,58633,88857,11710,77147,,,77147,1453,,78600,77147,,0,78600,,0,1.65
1815,富喬,2015Q3,tpex,3693274,2829686,863588,,,863588,508715,,354873,-11827,343046,48072,294974,,,294974,-53293,,241681,294974,,,241681,,,0.73
2035,唐榮公司,2015Q3,tpex,11806171,12411452,-605281,,,-605281,266699,,-871980,28369,-843611,-8124,-835487,,,-835487,911,,-834576,-799297,,-36190,-803504,,-31072,-2.28
2061,風青,2015Q3,tpex,807582,804574,3008,,,3008,53170,,-50162,-28582,-78744,-2021,-76723,,,-76723,,,-76723,-76723,,0,-76723,,0,-1.24
2063,世鎧精密,2015Q3,tpex,485288,359061,126227,,,126227,71031,,55196,2466,57662,9915,47747,,,47747,32,,47779,47747,,,47779,,,1.10
2064,晉椿,2015Q3,tpex,1764408,1600143,164265,,,164265,78983,,85282,39061,124343,22327,102016,,,102016,,,102016,,,,,,,1.46
2066,世德,2015Q3,tpex,975463,668368,307095,,,307095,113156,,193939,44539,238478,51456,187022,,,187022,,,187022,,,,,,,5.19
2067,嘉鋼,2015Q3,tpex,609844,537244,72600,,,72600,131093,,-58493,-573,-59066,-4796,-54270,,,-54270,239,,-54031,-54204,,-66,-54113,,82,-1.79
2221,大甲,2015Q3,tpex,559330,440108,119222,,,119222,65658,0,53564,-4508,49056,10501,38555,,,38555,1379,,39934,35753,,2802,37132,0,2802,0.84
2230,泰茂,2015Q3,tpex,277294,218257,59037,,,59037,47720,-102,11215,8146,19361,3353,16008,,,16008,1241,,17249,16008,,,17249,,,0.40
2235,謚源,2015Q3,tpex,659077,445415,213662,,,213662,58162,,155500,23463,178963,23827,155136,,,155136,,,155136,,,,,,,4.87
2596,綠意,2015Q3,tpex,289327,187615,101712,,,101712,57742,,43970,11460,55430,5962,49468,,,49468,0,,49468,49816,,-348,49816,,-348,0.60
2640,大車隊,2015Q3,tpex,1218798,615626,603172,,,603172,383063,,220109,-23144,196965,39691,157274,,,157274,,,157274,160693,,-3419,160693,,-3419,3.63
2641,正德,2015Q3,tpex,550131,456510,93621,,,93621,38693,,54928,-38801,16127,-1500,17627,,,17627,74902,,92529,17627,,,92529,,,0.15
2643,捷迅,2015Q3,tpex,1903814,1658833,244981,,,244981,151018,,93963,-2567,91396,30302,61094,,,61094,14594,,75688,61094,,,75688,,,2.83
2718,全心投控,2015Q3,tpex,204066,143776,60290,,,60290,32308,,27982,2473,30455,7259,23196,,,23196,-1278,,21918,,,,,,,1.03
2719,燦星旅,2015Q3,tpex,2447680,2122513,325167,,,325167,317304,,7863,6252,14115,-117,14232,,,14232,99,,14331,14232,,,14331,,,0.39
2724,藝舍-KY,2015Q3,tpex,671501,573251,98250,,,98250,146397,,-48147,-19415,-67562,7068,-74630,,,-74630,-1593,,-76223,-74630,,,-76223,,,-1.96
2726,雅茗-KY,2015Q3,tpex,1200568,625988,574580,,,574580,515297,,59283,22982,82265,26623,55642,,,55642,14464,,70106,57429,,-1787,71570,,-1464,2.10
2729,瓦城,2015Q3,tpex,2608375,1252985,1355390,,,1355390,1081420,,273970,9089,283059,49177,233882,,,233882,2718,,236600,233882,,,236600,,,10.05
2732,六角,2015Q3,tpex,1185306,520821,664485,,15,664500,548541,-1493,114466,16253,130719,26866,103853,,,103853,-12112,,91741,103768,,85,97762,,-6021,3.75
2734,易飛網,2015Q3,tpex,1390985,1201952,189033,,,189033,182764,,6269,-3097,3172,7624,-4452,,,-4452,567,,-3885,-4452,,,-3885,,,-0.15
2736,富野,2015Q3,tpex,611566,245272,366294,,,366294,231653,,134641,119224,253865,39397,214468,,,214468,,,214468,214468,,,214468,,,4.82
2740,華軒,2015Q3,tpex,683659,329121,354538,,,354538,305052,,49486,-8044,41442,7300,34142,,,34142,214,,34356,34142,,,34356,,,2.35
2916,滿心,2015Q3,tpex,930986,487003,443983,,,443983,423897,,20086,15125,35211,6215,28996,,,28996,1158,,30154,28996,,,30154,,,0.53
2924,宏太-KY,2015Q3,tpex,973546,343363,630183,,,630183,593519,,36664,11088,47752,35006,12746,,,12746,-921,,11825,12746,,,11825,,,0.36
2926,誠品生活,2015Q3,tpex,2686854,1466506,1220348,,,1220348,928099,0,292249,53536,345785,70522,275263,,,275263,-79,,275184,275263,,,275184,,,6.10
3064,泰偉,2015Q3,tpex,101271,94861,6410,,,6410,183602,,-177192,-38230,-215422,-7116,-208306,,,-208306,28752,,-179554,-207247,,-1059,-178827,,-727,-2.87
3066,李洲,2015Q3,tpex,380677,404721,-24044,,,-24044,133865,,-157909,14379,-143530,126,-143656,,,-143656,-1245,,-144901,-101703,,-41953,-103397,,-41504,-1.22
3067,全域,2015Q3,tpex,225707,177953,47754,,,47754,83943,,-36189,2009,-34180,-545,-33635,,,-33635,2812,,-30823,-33635,,0,-30823,,0,-1.16
3071,協禧,2015Q3,tpex,1794192,1462706,331486,,,331486,337196,,-5710,3781,-1929,5644,-7573,,,-7573,24753,,17180,-7573,,0,17180,,0,-0.05
3073,天方能源,2015Q3,tpex,32110,34932,-2822,,,-2822,30071,,-32893,18255,-14638,,-14638,,,-14638,1143,,-13495,-14638,,,-13495,,,-0.32
3078,僑威,2015Q3,tpex,3841898,3063386,778512,,,778512,432107,,346405,107877,454282,91997,362285,,,362285,1766,,364051,362285,,,364051,,,1.59
3081,聯亞,2015Q3,tpex,1406895,487959,918936,,,918936,117572,,801364,19829,821193,143053,678140,,,678140,0,,678140,,,,,,,10.30
3083,網龍,2015Q3,tpex,256523,35668,220855,,,220855,462401,,-241546,12116,-229430,2666,-232096,,,-232096,-1023,,-233119,-224226,,-7870,-225249,,-7870,-2.62
3085,新零售,2015Q3,tpex,246482,201035,45447,,,45447,51437,,-5990,1309,-4681,679,-5360,,,-5360,0,,-5360,-5360,,0,-5360,,0,-0.08
3086,華義*,2015Q3,tpex,327982,210139,117843,,,117843,205079,,-87236,-5675,-92911,774,-93685,,,-93685,1113,,-92572,-93561,,-124,-92448,,-124,-1.57
3088,艾訊,2015Q3,tpex,3402852,2167194,1235658,,,1235658,844483,,391175,39558,430733,103814,326919,,,326919,14000,,340919,315213,,11706,328562,,12357,4.00
3093,港建*,2015Q3,tpex,655271,401235,254036,,,254036,197967,,56069,10289,66358,13574,52784,,,52784,1505,,54289,49342,,3442,50720,,3569,1.36
3095,及成,2015Q3,tpex,3343817,2778104,565713,,,565713,404782,-465451,-304520,88330,-216190,24893,-241083,,,-241083,-64948,,-306031,-236520,,-4563,-299804,,-6227,-2.16
3105,穩懋,2015Q3,tpex,8818763,5376980,3441783,,,3441783,938512,,2503271,45708,2548979,588775,1960204,,,1960204,960,,1961164,1960204,,,1961164,,,2.81
3114,好德,2015Q3,tpex,1472742,1306368,166374,,,166374,125974,,40400,30862,71262,12544,58718,,,58718,-23838,,34880,58718,,,34880,,,1.17
3115,富榮綱,2015Q3,tpex,649161,605749,43412,,,43412,50970,,-7558,6112,-1446,-274,-1172,0,,-1172,2617,,1445,-1172,,,1445,,,0.03
