stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2023Q1,twse,5631730,4149340,903664,4645451,4231955,780022,3451933,,,3451933,2336460,,5788393,3451933,,,5788393,,,0.33
2812,台中銀,2023Q1,twse,2757027,1392359,438443,1942046,1768897,295577,1473320,,,1473320,620577,,2093897,1473320,,,2093897,,,0.29
2820,華票,2023Q1,twse,85826,648204,-102,128665,605467,99806,505661,,,505661,583695,0,1089356,,,,,,,0.38
2834,臺企銀,2023Q1,twse,4755775,3207925,238356,3626510,4098834,626190,3472644,0,,3472644,1715439,,5188083,3472644,0,0,5188083,0,0,0.43
2836,高雄銀,2023Q1,twse,653968,245442,-49679,655475,293614,81522,212092,,,212092,809512,,1021604,,,,,,,0.18
2838,聯邦銀,2023Q1,twse,2220904,2263954,158866,2877567,1448425,229841,1218584,,,1218584,1037516,,2256100,1219164,,-580,2256680,,-580,0.34
2845,遠東銀,2023Q1,twse,1702004,1353705,370840,1706995,977874,128576,849298,,,849298,451068,,1300366,849298,,,1300366,,,0.21
2849,安泰銀,2023Q1,twse,853796,564395,1421269,763324,-766402,-179642,-586760,0,,-586760,256758,,-330002,,,,,,,-0.30
2897,王道銀行,2023Q1,twse,515122,2068411,73547,1145845,1364141,254475,1109666,0,,1109666,939177,,2048843,738461,,371205,1262621,,786222,0.27
5876,上海商銀,2023Q1,twse,8856865,2534171,521202,4376126,6493708,1237922,5255786,,,5255786,2393435,,7649221,4260189,,995597,6271160,,1378061,0.88
