stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2021Q2,twse,13574783,11733431,25308214,253201,545568,14093865,10415580,1130180,9285400,,9285400,983383,10268783,9285346,,54,10268692,,91,0.72
2881,富邦金,2021Q2,twse,68977703,200220787,269198490,2168730,132200176,32379787,102449797,13241976,89207821,,89207821,22262992,111470813,87596312,,1611509,111837051,,-366238,8.28
2882,國泰金,2021Q2,twse,96312910,249463531,345776441,2180526,198469429,40938132,104188354,12672341,91516013,,91516013,-61856235,29659778,91050474,,465539,29228505,,431273,6.66
2883,凱基金,2021Q2,twse,33040677,65671902,98712579,-34980,54404387,17651356,26691816,2254306,24437510,,24437510,-25545671,-1108161,16933976,,7503534,3809027,,-4917188,1.14
2884,玉山金,2021Q2,twse,12430525,15610046,28040571,309578,,15582754,12148239,1892657,10255582,,10255582,362088,10617670,10247333,,8249,10609515,,8155,0.81
2885,元大金,2021Q2,twse,14626466,53288663,67915129,-72242,13604909,27981767,26400695,4748008,21652687,,21652687,-2504217,19148470,19659573,,1993114,17942310,1206160,,1.62
2886,兆豐金,2021Q2,twse,15918250,13326468,29244718,88328,-36775,14809090,14384075,1876081,12507994,,12507994,765218,13273212,12507994,,0,13273212,,0,0.92
2887,台新新光金,2021Q2,twse,11278718,16725415,28004133,458215,,13287150,14258768,1346860,12911908,,12911908,-812165,12099743,12919077,,-7169,12106912,,-7169,1.10
2889,國票金,2021Q2,twse,1325556,3940060,5265616,-13933,,2136257,3143292,567933,2575359,,2575359,-747741,1827618,2284495,,290864,1435155,,392463,0.79
2890,永豐金,2021Q2,twse,10724658,12178703,22903361,807144,,12374162,9722055,1134046,8588009,,8588009,-325436,8262573,8588009,,,8262573,,,0.76
2891,中信金,2021Q2,twse,53613760,31986456,85600216,2305943,10421511,35403797,37468965,4018869,33450096,,33450096,-9793984,23656112,33449249,,847,23660454,,-4342,1.72
2892,第一金,2021Q2,twse,16491712,14850160,31341872,1189290,5016591,12282363,12853628,1940464,10913164,,10913164,-2941430,7971734,10913164,,,7971734,,,0.85
5880,合庫金,2021Q2,twse,17865272,8594700,26459972,1621671,94344,12648370,12095587,1895710,10199877,,10199877,651228,10851105,9745965,,453912,10564127,,286978,0.73
