stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2023Q4,twse,109314335,88780566,,,20533769,,,20533769,10503609,,10030160,4326671,14356831,4352218,10004613,,,10004613,-2534440,,7470173,7997814,,2006799,5438043,,2032130,1.06
1102,亞泥,2023Q4,twse,80182799,69745612,,,10437187,,,10437187,2977139,,7460048,6476320,13936368,2852258,11084110,,,11084110,2697171,,13781281,10882826,,201284,13954793,,-173512,3.28
1103,嘉泥,2023Q4,twse,2911583,2545152,,,366431,,,366431,513955,,-147524,230291,82767,-13271,96038,,,96038,481650,,577688,81082,,14956,547705,,29983,0.12
1104,環泥,2023Q4,twse,7802362,6260222,,,1542140,,,1542140,567729,,974411,1608181,2582592,235340,2347252,,,2347252,-176326,,2170926,2107758,,239494,1931472,,239454,3.13
1108,幸福,2023Q4,twse,5094743,4211831,,,882912,,,882912,272879,2328,612361,47389,659750,132614,527136,,,527136,-38310,,488826,527139,,-3,488829,,-3,1.30
1109,信大,2023Q4,twse,6259864,4918790,,,1341074,,,1341074,351782,,989292,122326,1111618,304031,807587,,,807587,-89947,,717640,685884,,121703,624638,,93002,2.01
1110,東泥,2023Q4,twse,2273518,2069639,,,203879,,,203879,144501,,59378,127998,187376,31323,156053,,,156053,199506,,355559,149522,,6531,348999,,6560,0.26
1201,味全,2023Q4,twse,21476354,15672351,,,5804003,,,5804003,5482953,,321050,60757,381807,112291,269516,,,269516,-88621,,180895,268323,,1193,179961,,934,0.53
1203,味王,2023Q4,twse,6403713,4537602,,,1866111,,,1866111,1010856,,855255,64522,919777,262059,657718,0,,657718,78146,,735864,427700,,230018,498724,,237140,1.80
1210,大成,2023Q4,twse,111108929,96148202,,,14960727,,,14960727,8940447,,6020280,-51681,5968599,1165134,4803465,,,4803465,-317515,,4485950,4069204,,734261,3879865,,606085,4.81
1213,大飲,2023Q4,twse,120702,215158,,,-94456,,,-94456,47458,,-141914,23429,-118485,20204,-138689,,,-138689,1,,-138688,-138689,,,-138688,,,-2.45
1215,卜蜂,2023Q4,twse,29159749,24157745,,,5002004,,,5002004,2112580,37910,2927334,-112421,2814913,558477,2256436,,,2256436,-482865,,1773571,2268965,,-12529,1785872,,-12301,7.70
1216,統一,2023Q4,twse,581102935,393289237,,,187813698,,,187813698,159172864,,28640834,20050112,48690946,18404797,30286149,,,30286149,-2078188,,28207961,18336478,,11949671,17032800,,11175161,3.23
1217,愛之味,2023Q4,twse,4900038,3486325,,,1413713,,,1413713,1284939,,128774,131968,260742,43142,217600,,,217600,38104,,255704,200936,,16664,246897,,8807,0.41
1218,泰山,2023Q4,twse,11228425,9678785,,,1549640,-5491,403,1555534,1618100,,-62566,185458,122892,203527,-80635,,,-80635,-125983,,-206618,-80870,,235,-206840,,222,-0.17
1219,福壽,2023Q4,twse,16313623,14824093,,3953,1493483,1100,1200,1493583,1136425,,357158,33010,390168,59378,330790,,,330790,-2597,,328193,312570,,18220,310427,,17766,0.94
1220,台榮,2023Q4,twse,3293888,2855797,,,438091,,,438091,275565,,162526,30767,193293,35478,157815,,,157815,1304,,159119,133272,,24543,134572,,24547,0.76
1225,福懋油,2023Q4,twse,14543809,13483212,42794,,1103391,-382,,1103773,640697,8,463084,26997,490081,80879,409202,,,409202,-1591,,407611,367879,,41323,366288,,41323,1.60
1227,佳格,2023Q4,twse,27804118,21514418,,,6289700,,,6289700,4929299,,1360401,242913,1603314,335162,1268152,,,1268152,-255379,,1012773,1225773,,42379,1039479,,-26706,1.35
1229,聯華,2023Q4,twse,13598464,11114722,,,2483742,,,2483742,1319064,,1164678,3768640,4933318,157281,4776037,,,4776037,9125582,,13901619,4158206,,617831,10147711,,3753908,2.64
