stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
4142,國光生,2015Q3,twse,164094,311687,-147593,,,-147593,301399,,-448992,3902,-445090,-922,-444168,,,-444168,27348,,-416820,-426472,,-17696,-399124,,-17696,-1.81
4164,承業醫,2015Q3,twse,1627193,1113051,514142,,,514142,283798,,230344,-72771,157573,37073,120500,,,120500,-45923,,74577,128370,,-7870,82447,,-7870,0.98
4190,佐登-KY,2015Q3,twse,1232345,400878,831467,,,831467,515100,,316367,21802,338169,82065,256104,,,256104,11077,,267181,256104,0,,267181,0,,4.96
4306,炎洲,2015Q3,twse,13086181,11525332,1560849,,,1560849,1265036,,295813,262440,558253,162491,395762,,,395762,45933,,441695,268555,,127207,268832,,172863,0.53
4414,如興,2015Q3,twse,1773075,1629925,143150,,,143150,267996,,-124846,-18673,-143519,745,-144264,,,-144264,18246,,-126018,-133477,,-10787,-115590,,-10428,-0.98
4426,利勤,2015Q3,twse,1551217,799413,751804,,,751804,227763,,524041,14939,538980,84813,454167,,,454167,185,,454352,454167,,,454352,0,0,4.98
4526,東台,2015Q3,twse,6665336,5004705,1660631,,,1660631,1404791,,255840,106735,362575,67372,295203,,,295203,-9168,,286035,263469,,31734,253018,,33017,1.03
4532,瑞智,2015Q3,twse,12197910,10084257,2113653,,,2113653,1109442,,1004211,94916,1099127,285254,813873,,,813873,-82731,,731142,762618,,51255,683321,,47821,1.63
4536,拓凱,2015Q3,twse,5045228,3762409,1282819,,,1282819,863347,,419472,197370,616842,145770,471072,,,471072,82005,,553077,476587,,-5515,533233,,19844,5.25
4545,銘鈺,2015Q3,twse,2562425,1661076,901349,,,901349,423414,,477935,77869,555804,132177,423627,,,423627,-22250,,401377,423627,,,401377,,,6.24
4551,智伸科,2015Q3,twse,2233984,1734812,499172,,,499172,218006,,281166,-12258,268908,58715,210193,,,210193,-8158,,202035,210193,,,202035,,,2.74
4552,力達-KY,2015Q3,twse,5662428,4237452,1424976,,,1424976,368782,,1056194,673,1056867,353463,703404,,,703404,59598,,763002,703404,,,763002,,,7.82
4555,氣立,2015Q3,twse,1083485,555088,528397,,,528397,241038,,287359,11790,299149,68543,230606,,,230606,19331,,249937,230606,,,249937,,,3.79
4557,永新-KY,2015Q3,twse,1096787,725661,371126,,,371126,182634,,188492,25045,213537,59729,153808,,,153808,29877,,183685,146937,,6871,176411,,7274,4.74
4720,德淵,2015Q3,twse,1827508,1426169,401339,0,362,401701,310944,,90757,23829,114586,28544,86042,,,86042,14361,,100403,84609,,1433,98922,,1481,1.05
4722,國精化,2015Q3,twse,3381895,2778089,603806,,,603806,305667,,298139,15525,313664,64283,249381,,,249381,-14958,,234423,249381,,,234423,,,2.83
4736,泰博,2015Q3,twse,1949676,1058161,891515,,,891515,566258,,325257,45991,371248,42163,329085,,,329085,4604,,333689,334873,,-5788,338105,,-4416,4.87
4737,華廣,2015Q3,twse,1169035,680139,488896,,,488896,371210,,117686,-41387,76299,13530,62769,,,62769,5382,,68151,62769,,,68151,,,1.22
4739,康普,2015Q3,twse,2891667,2557191,334476,,,334476,145864,,188612,-13239,175373,46944,128429,,,128429,-12579,,115850,88609,,39820,85202,,30648,1.33
4746,台耀,2015Q3,twse,1726117,1195206,530911,,,530911,335887,,195024,15134,210158,38259,171899,,,171899,-74414,,97485,171899,,,97485,,,2.02
