stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2022Q2,twse,16277193,9537416,25814609,1155453,974031,13963129,9721996,1737978,7984018,,7984018,-20091031,-12107013,7983940,,78,-12107127,,114,0.59
2881,富邦金,2022Q2,twse,80513868,145626320,226140188,2833579,101910491,34165191,87230927,16947189,70283738,,70283738,-355543758,-285260020,69403891,,879847,-280033247,,-5226773,5.62
2882,國泰金,2022Q2,twse,105288811,132507454,237796265,1213111,130813535,42013962,63755657,14442263,49313394,,49313394,-461520835,-412207441,48807660,,505734,-412962777,,755336,3.45
2883,凱基金,2022Q2,twse,33971943,40262110,74234053,-141222,41348470,14528163,18498642,4866733,13631909,,13631909,-103221452,-89589543,13617783,,14126,-89607437,,17894,0.81
2884,玉山金,2022Q2,twse,15260180,10423579,25683759,875544,,15567718,9240497,2145452,7095045,,7095045,-9403733,-2308688,7084672,,10373,-2319410,,10722,0.50
2885,元大金,2022Q2,twse,15564697,34727788,50292485,91338,12592938,22144872,15463337,3294318,12169019,,12169019,-19932214,-7763195,11522814,,646205,-8507531,,744336,0.92
2886,兆豐金,2022Q2,twse,17977419,9308149,27285568,308030,4203918,14573283,8200337,243883,7956454,,7956454,-21032941,-13076487,7956454,,0,-13076487,,0,0.57
2887,台新新光金,2022Q2,twse,13797375,17179457,30976832,846496,9828167,14189195,6112974,1642408,4470566,,4470566,-7661096,-3190530,4476719,,-6153,-3184377,,-6153,0.32
2889,國票金,2022Q2,twse,1256651,1825396,3082047,-3690,,1820946,1264791,295474,969317,,969317,-3898541,-2929224,788603,,180714,-2966198,,36974,0.25
2890,永豐金,2022Q2,twse,12567842,11539949,24107791,1266999,,12826159,10014633,1786806,8227827,,8227827,-13791606,-5563779,8227827,,,-5563779,,,0.72
2891,中信金,2022Q2,twse,59412610,41214713,100627323,3356554,28513514,35069317,33687938,8807520,24880418,,24880418,-83579696,-58699278,24295275,,585143,-58563655,,-135623,1.19
2892,第一金,2022Q2,twse,19211503,13157188,32368691,1531179,5574569,12997933,12265010,2029389,10235621,,10235621,-9004096,1231525,10235621,,,1231525,,,0.77
5880,合庫金,2022Q2,twse,18658435,5129029,23787464,123452,-712619,13259095,11117536,1769458,9348078,,9348078,-26718790,-17370712,9025164,,322914,-16403092,,-967620,0.64
