stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2016Q4,twse,89564306,71583302,17981004,,,17981004,4946868,,13034136,-1518801,11515335,2673260,8842075,,,8842075,-6987714,,1854361,6358452,,2483623,2411113,,-556752,1.72
1102,亞泥,2016Q4,twse,60946190,52358957,8587233,0,1041,8588274,2355226,,6233048,243541,6476589,1793292,4683297,,,4683297,-14688396,,-10005099,3945769,,737528,-9550011,,-455088,1.26
1103,嘉泥,2016Q4,twse,3140190,3044769,95421,,,95421,552899,0,-457478,536639,79161,69355,9806,,,9806,1836923,,1846729,24889,,-15083,1793477,,53252,0.04
1104,環泥,2016Q4,twse,4622199,3979894,642305,,,642305,375844,,266461,1512061,1778522,94984,1683538,,,1683538,-657488,,1026050,1701798,,-18260,1044140,,-18090,2.68
1108,幸福,2016Q4,twse,4251061,3588568,662493,,,662493,236273,106,426326,-24996,401330,77128,324202,-9125,,315077,-11471,,303606,315334,,-257,303872,,-266,0.78
1109,信大,2016Q4,twse,4346147,3685954,660193,,,660193,363498,,296695,-87318,209377,31706,177671,,,177671,-160998,,16673,161017,,16654,61653,,-44980,0.42
1110,東泥,2016Q4,twse,1478515,1468244,10271,,,10271,85574,,-75303,292639,217336,9733,207603,,,207603,-91853,,115750,108418,,99185,16564,,99186,0.19
1201,味全,2016Q4,twse,17074511,12488557,4585954,,,4585954,5973176,,-1387222,245236,-1141986,-57684,-1084302,0,,-1084302,-357214,,-1441516,-776709,,-307593,-1133316,,-308200,-1.53
1203,味王,2016Q4,twse,6346767,4615049,1731718,0,0,1731718,981637,,750081,70882,820963,190729,630234,0,,630234,-37755,,592479,422963,,207271,398737,,193742,1.78
1210,大成,2016Q4,twse,75795660,65867986,9927674,,,9927674,7183972,,2743702,396980,3140682,579420,2561262,,,2561262,-943268,,1617994,2058380,,502882,1610555,,7439,3.01
1213,大飲,2016Q4,twse,671770,588272,83498,,,83498,72383,,11115,7490,18605,3440,15165,,,15165,96,,15261,15165,,,15261,,,0.27
1215,卜蜂,2016Q4,twse,18172909,15352493,2820416,,,2820416,1304089,15309,1531636,49285,1580921,291516,1289405,,,1289405,616912,,1906317,1261795,,27610,1884908,,21409,4.71
1216,統一,2016Q4,twse,413364315,275714218,137650097,,,137650097,116559031,,21091066,9411276,30502342,6826906,23675436,,,23675436,-7487603,,16187833,14526719,,9148717,9490666,,6697167,2.56
1217,愛之味,2016Q4,twse,4114545,2813592,1300953,,,1300953,1332561,,-31608,160893,129285,13908,115377,0,,115377,-115506,,-129,103262,,12115,-10305,,10176,0.21
1218,泰山,2016Q4,twse,8110827,6683995,1426832,832,208,1426208,1276107,,150101,-1946,148155,26547,121608,,,121608,-54477,,67131,121361,,247,66574,,557,0.36
1219,福壽,2016Q4,twse,10965542,9984700,980842,,,980842,905419,0,75423,18579,94002,36392,57610,,,57610,-25009,,32601,156018,,-98408,131795,,-99194,0.49
1220,台榮,2016Q4,twse,2863712,2467663,396049,,,396049,239441,,156608,64487,221095,32836,188259,,,188259,5996,,194255,164783,,23476,170935,,23320,0.93
