stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2855,統一證,2026Q2,twse,17544856,9576345,7968511,4436186,12404697,838174,11566523,,,11566523,975576,,12542099,11138988,,427535,12108970,,433129,6.96
6005,群益證,2026Q2,twse,19197814,12604139,6593675,2947958,9541633,1111456,8430177,,,8430177,-655302,,7774875,7948928,,481249,7304589,,470286,3.24
6024,群益期,2026Q2,twse,1127724,1886343,-758619,2026491,1267872,182432,1085440,,,1085440,-24745,,1060695,1089419,,-3979,1064568,,-3873,4.09
