stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2016Q1,twse,6513692,3761162,10274854,109065,344796,5503114,4317879,-629215,3688664,0,3688664,20680,3709344,3688651,,13,3709331,,13,0.37
2881,富邦金,2016Q1,twse,25780681,82924733,108705414,329632,84097641,13938747,10339394,-1452401,8886993,,8886993,22117795,31004788,8774325,,112668,30970654,,34134,0.86
2882,國泰金,2016Q1,twse,37587793,82715150,120302943,636984,94330281,17034937,8300741,37125,8337866,,8337866,1298735,9636601,8166832,,171034,9700330,,-63729,0.65
2883,凱基金,2016Q1,twse,1706826,4805917,6512743,330186,,4914276,1268281,-112983,1155298,,1155298,-582756,572542,1126415,,28883,544846,,27696,0.08
2884,玉山金,2016Q1,twse,4329301,5275535,9604836,32860,,5166931,4405045,-689482,3715563,,3715563,-1161715,2553848,3697551,,18012,2552772,,1076,0.47
2885,元大金,2016Q1,twse,4175522,12265815,16441337,306884,4500653,7556657,4077143,-564967,3512176,,3512176,392758,3904934,3312457,,199719,3702500,,202434,0.31
2886,兆豐金,2016Q1,twse,9244112,6746612,15990724,1194881,97462,5876457,8821924,-1175818,7646106,,7646106,630887,8276993,7653318,0,-7212,8275298,0,1695,0.56
2887,台新新光金,2016Q1,twse,4371238,4924556,9295794,270866,,4659763,4365165,-526075,3839090,,3839090,595488,4434578,3837347,,1743,4432835,,1743,0.41
2889,國票金,2016Q1,twse,486769,1030923,1517692,22293,,671893,823506,-115122,708384,,708384,412560,1120944,654128,,54256,1049501,,71443,0.24
2890,永豐金,2016Q1,twse,4053074,3990107,8043181,-37944,,4926777,3154348,-429979,2724369,,2724369,-607454,2116915,2724842,,-473,2117388,,-473,0.27
2891,中信金,2016Q1,twse,19718617,55836888,75555505,2483219,49897210,14607525,8567551,-2000575,6566976,,6566976,1983538,8550514,6565301,,1675,8548675,,1839,0.36
2892,第一金,2016Q1,twse,7156509,3912768,11069277,245851,45180,5450170,5328076,-922471,4405605,,4405605,-186917,4218688,4429771,,-24166,4220131,,-1443,0.39
5880,合庫金,2016Q1,twse,8312838,2734030,11046868,1943948,-565863,5891303,3777480,-539822,3237658,,3237658,1366573,4604231,3135069,,102589,4419568,,184663,0.28
