stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2015Q3,twse,19843727,10245676,30089403,940725,512464,16144382,12491832,-1901451,10590381,0,10590381,895628,11486009,10590315,,66,11485943,,66,1.07
2881,富邦金,2015Q3,twse,69520642,249018535,318539177,-521976,209839956,38935126,70286071,-11939077,58346994,,58346994,-79841690,-21494696,58143075,,203919,-21843495,,348799,5.68
2882,國泰金,2015Q3,twse,102701154,245877866,348579020,554171,239058848,45682063,63283938,-8399185,54884753,,54884753,-59972055,-5087302,54430674,,454079,-5732119,,644817,4.33
2883,凱基金,2015Q3,twse,7221218,14316042,21537260,-891008,,15638738,6789530,-640485,6149045,,6149045,-2752323,3396722,6088518,,60527,3337276,,59446,0.41
2884,玉山金,2015Q3,twse,12960329,16366343,29326672,2787304,,14550753,11988615,-1544986,10443629,,10443629,462262,10905891,10394006,,49623,10821947,,83944,1.32
2885,元大金,2015Q3,twse,11896097,37771565,49667662,359041,13737977,23062804,12507840,-1081494,11426346,,11426346,1512100,12938446,10424230,,1002116,12492244,,446202,0.99
2886,兆豐金,2015Q3,twse,28054096,15023580,43077676,-1256517,-8037,17844845,26497385,-4869516,21627869,,21627869,-3356493,18271376,21750359,,-122490,18292465,,-21089,1.75
2887,台新新光金,2015Q3,twse,13299546,15237743,28537289,533807,,14927015,13076467,-1503179,11573288,,11573288,-187533,11385755,11565729,,7559,11378196,,7559,1.23
2889,國票金,2015Q3,twse,1387906,2383663,3771569,196284,,2037867,1537418,-310541,1226877,,1226877,-46229,1180648,1193039,,33838,1233979,,-53331,0.44
2890,永豐金,2015Q3,twse,13011155,11394889,24406044,-474965,,14454918,10426091,-1411521,9014570,,9014570,143278,9157848,9014196,,374,9157474,,374,0.89
2891,中信金,2015Q3,twse,40768300,107845610,148613910,837990,77530488,40598965,29646467,-4696931,24949536,,24949536,-3028771,21920765,24945781,,3755,21924486,,-3721,1.51
2892,第一金,2015Q3,twse,21168203,8978246,30146449,201702,-633796,16189064,14389479,-2371364,12018115,,12018115,1137089,13155204,12032851,,-14736,13216632,,-61428,1.21
5880,合庫金,2015Q3,twse,23815109,5464299,29279408,2091926,-2967291,18373447,11781326,-1660937,10120389,,10120389,818753,10939142,9797955,,322434,10631925,,307217,0.92
