stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2023Q2,twse,14363828,14844005,29207833,755309,631550,15039194,12781780,2276039,10505741,,10505741,3893209,14398950,10505674,,67,14398851,,99,0.77
2881,富邦金,2023Q2,twse,81598814,16560881,98159695,3963548,10459414,37347098,46389635,3887512,42502123,,42502123,157748373,200250496,42905036,,-402913,199809092,,441404,3.18
2882,國泰金,2023Q2,twse,120501493,41910988,162412481,1260923,73660175,48827797,38663586,5645798,33017788,,33017788,93006527,126024315,32495667,,522121,124888302,,1136013,1.98
2883,凱基金,2023Q2,twse,36133288,-7479848,28653440,-55353,2419817,15749269,10539707,392604,10147103,,10147103,25020328,35167431,10142778,,4325,35165717,,1714,0.61
2884,玉山金,2023Q2,twse,13995345,17308952,31304297,422384,,17631859,13250054,2700185,10549869,,10549869,1031624,11581493,10542913,,6956,11574469,,7024,0.70
2885,元大金,2023Q2,twse,14889424,35243180,50132604,162726,8022660,23502892,18444326,2604795,15839531,,15839531,5003467,20842998,14969541,,869990,20359087,,483911,1.18
2886,兆豐金,2023Q2,twse,18209460,20551840,38761300,4934449,-2330358,15717349,20439860,1673049,18766811,,18766811,10076252,28843063,18766811,,0,28843063,,0,1.34
2887,台新新光金,2023Q2,twse,14880448,21856826,36737274,811947,9430927,15831474,10662926,1778239,8884687,,8884687,4830489,13715176,8882957,,1730,13713446,,1730,0.63
2889,國票金,2023Q2,twse,654685,2935299,3589984,9813,,1892556,1687615,348142,1339473,,1339473,947868,2287341,1124147,,215326,1942762,,344579,0.33
2890,永豐金,2023Q2,twse,12475448,14092904,26568352,910494,,13936374,11721484,1621980,10099504,,10099504,4795787,14895291,10099504,,,14895291,,,0.84
2891,中信金,2023Q2,twse,65240106,-2749886,62490220,3736556,-16175116,42087792,32840988,3151841,29689147,,29689147,23454962,53144109,28813033,,876114,53150336,,-6227,1.48
2892,第一金,2023Q2,twse,16066312,19091095,35157407,2435855,1805657,14634034,16281861,3123399,13158462,,13158462,8755554,21914016,13158462,,,21914016,,,0.97
5880,合庫金,2023Q2,twse,16606639,13737024,30343663,2078618,1753947,14393120,12117978,2281354,9836624,,9836624,8943125,18779749,9525438,,311186,18318571,,461178,0.65
