stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2015Q4,twse,26320077,13263704,39583781,1186835,388444,21814195,16194307,-2113646,14080661,0,14080661,832014,14912675,14080583,,78,14912597,,78,1.42
2881,富邦金,2015Q4,twse,94964961,335277799,430242760,1212002,296913117,54300077,77817564,-14011732,63805832,,63805832,-73459217,-9653385,63592585,,213247,-9748131,,94746,6.21
2882,國泰金,2015Q4,twse,139961774,301303265,441265039,2467452,306598275,65067110,67132202,-9249831,57882371,,57882371,-45358364,12524007,57513572,,368799,11939628,,584379,4.58
2883,凱基金,2015Q4,twse,9107813,21414709,30522522,-329789,,21409324,9442987,-827812,8615175,,8615175,-3116463,5498712,8528231,,86944,5415879,,82833,0.58
2884,玉山金,2015Q4,twse,17473628,21015701,38489329,3566430,0,20137768,14785131,-1906172,12878959,0,12878959,783746,13662705,12816347,0,62612,13567419,0,95286,1.63
2885,元大金,2015Q4,twse,15844344,53943688,69788032,1094887,24874422,30702170,13116553,-1119078,11997475,,11997475,2461610,14459085,10814545,,1182930,13878005,,581080,1.02
2886,兆豐金,2015Q4,twse,37688593,22539713,60228306,-426459,12356,25533427,35108982,-5835713,29273269,,29273269,-3644024,25629245,29417211,0,-143942,25672449,0,-43204,2.35
2887,台新新光金,2015Q4,twse,17796820,19711007,37507827,2818084,,19793219,14896524,-1670433,13226091,,13226091,-744461,12481630,13222544,,3547,12477225,,4405,1.39
2889,國票金,2015Q4,twse,1839733,3099933,4939666,259460,,2708364,1971842,-377296,1594546,,1594546,238775,1833321,1563259,,31287,1859122,,-25801,0.58
2890,永豐金,2015Q4,twse,17238790,15327551,32566341,496379,,19612956,12457006,-1600564,10856442,,10856442,120487,10976929,10856550,,-108,10977037,,-108,1.07
2891,中信金,2015Q4,twse,59152111,156419816,215571927,1504991,117725465,55291150,41050321,-5648279,35402042,,35402042,-2732044,32669998,35397576,,4466,32669531,,467,2.10
2892,第一金,2015Q4,twse,28452473,12395760,40848233,518155,-539599,21893934,18975743,-3013512,15962231,,15962231,412733,16374964,16006088,,-43857,16460579,,-85615,1.55
5880,合庫金,2015Q4,twse,32074369,6248325,38322694,2224992,-4343586,24829668,15611620,-2149909,13461711,,13461711,1345289,14807000,13079052,,382659,14314848,,492152,1.22
