stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2020Q1,twse,6428206,-553733,5874473,-99467,337243,6269999,-633302,815195,-1448497,,-1448497,-7932234,-9380731,-1448542,,45,-9380789,,58,-0.12
2881,富邦金,2020Q1,twse,33955426,99311706,133267132,1442316,90809737,15194745,25820334,2647276,23173058,,23173058,-128234476,-105061418,22962778,,210280,-104408896,,-652522,2.24
2882,國泰金,2020Q1,twse,48280157,113811595,162091752,333575,116254574,19193991,26309612,2796298,23513314,,23513314,-135336005,-111822691,23289684,,223630,-112299662,,476971,1.77
2883,凱基金,2020Q1,twse,16364989,35727832,52092821,-4806,43118811,6446232,2532584,770358,1762226,,1762226,-53344148,-51581922,-488110,,2250336,-22954043,,-28627879,-0.03
2884,玉山金,2020Q1,twse,5053581,8909905,13963486,347063,,8023819,5592604,1049915,4542689,,4542689,-1506247,3036442,4540583,,2106,3034319,,2123,0.39
2885,元大金,2020Q1,twse,6542230,18232368,24774598,671182,8646818,10240053,5216545,829551,4386994,,4386994,-8279364,-3892370,4095740,,291254,-3494045,,-398325,0.35
2886,兆豐金,2020Q1,twse,8269225,2527149,10796374,1184182,169129,7054197,2388866,459720,1929146,,1929146,-1192325,736821,1929146,,0,736821,,0,0.14
2887,台新新光金,2020Q1,twse,5242880,4681336,9924216,703534,,6067855,3152827,593053,2559774,,2559774,-2161719,398055,2561148,,-1374,399429,,-1374,0.20
2889,國票金,2020Q1,twse,475760,1024319,1500079,3936,,770827,725316,261977,463339,,463339,-1442630,-979291,465631,,-2292,-897921,,-81370,0.16
2890,永豐金,2020Q1,twse,4329394,4453296,8782690,615796,,5342100,2824794,470440,2354354,,2354354,-4745748,-2391394,2354354,,0,-2391394,,0,0.21
2891,中信金,2020Q1,twse,27590054,35261701,62851755,1931925,31675751,15005810,14238269,2077182,12161087,,12161087,-51484176,-39323089,12159951,,1136,-39311001,,-12088,0.62
2892,第一金,2020Q1,twse,7466929,6149225,13616154,983323,3391000,5600955,3640876,703355,2937521,,2937521,-7469986,-4532465,2937521,,,-4532465,,,0.24
5880,合庫金,2020Q1,twse,8899855,2413897,11313752,910156,-674600,6180442,4897754,793342,4104412,,4104412,-3829932,274480,3937225,,167187,576128,,-301648,0.30
