stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1259,安心,2016Q1,tpex,1112922,818919,294003,,,294003,263477,,30526,4473,34999,9020,25979,,,25979,-491,,25488,33061,,-7082,32753,,-7265,1.02
1264,德麥,2016Q1,tpex,941946,587930,354016,18,18,354016,194759,,159257,-320,158937,37040,121897,,,121897,-983,,120914,103959,,17938,104180,,16734,3.39
1336,台翰,2016Q1,tpex,446486,416402,30084,,,30084,59894,,-29810,-2652,-32462,-5006,-27456,,,-27456,-22844,,-50300,-27456,,,-50300,,,-0.44
1565,精華,2016Q1,tpex,1512982,879268,633714,,,633714,113337,,520377,-28002,492375,83704,408671,,,408671,-1796,,406875,408671,,,406875,,,8.11
1569,濱川,2016Q1,tpex,495092,439526,55566,,,55566,66360,,-10794,-12419,-23213,-3316,-19897,,,-19897,-35463,,-55360,-19897,,,-55360,,,-0.21
1570,力肯,2016Q1,tpex,182301,139871,42430,,,42430,18018,,24412,-976,23436,8923,14513,,,14513,-353,,14160,14513,,0,14160,,0,0.28
1580,新麥,2016Q1,tpex,842560,500058,342502,,,342502,238669,,103833,-5740,98093,39365,58728,,,58728,-6603,,52125,54721,,4007,49008,,3117,1.13
1584,精剛,2016Q1,tpex,166936,151745,15191,,,15191,15075,,116,-10522,-10406,-2373,-8033,,,-8033,-113,,-8146,,,,,,,-0.08
1586,和勤,2016Q1,tpex,443538,383059,60479,,,60479,59180,,1299,-1929,-630,-539,-91,,,-91,-4835,,-4926,-91,,0,-4926,,0,0.00
1591,駿吉-KY,2016Q1,tpex,116320,81307,35013,,,35013,16783,,18230,-7212,11018,3559,7459,,,7459,37534,,44993,7459,,0,44993,,0,0.25
1593,祺驊,2016Q1,tpex,179979,131390,48589,,,48589,33150,,15439,3059,18498,2363,16135,,,16135,-18943,,-2808,16045,,90,-2898,,90,0.53
1595,川寶,2016Q1,tpex,203701,124294,79407,,,79407,52448,,26959,-7991,18968,4876,14092,,,14092,-3148,,10944,14092,0,0,10944,0,0,0.36
1599,宏佳騰,2016Q1,tpex,562164,414194,147970,,,147970,86312,,61658,2850,64508,11082,53426,,,53426,31685,,85111,53426,0,0,85111,0,0,1.19
1742,台蠟,2016Q1,tpex,164003,156916,7087,,,7087,21499,,-14412,-2038,-16450,0,-16450,,,-16450,-900,,-17350,-16450,,,-17350,,,-0.25
1777,生泰,2016Q1,tpex,210614,125843,84771,,,84771,23945,,60826,-2581,58245,9571,48674,,,48674,2351,,51025,,,,,,,1.62
1781,合世,2016Q1,tpex,86794,86246,548,,,548,34858,,-34310,-260,-34570,-4942,-29628,,,-29628,-1986,,-31614,-29628,,,-31614,,,-0.62
1784,訊聯,2016Q1,tpex,157736,72548,85188,,,85188,85211,,-23,2542,2519,497,2022,,,2022,-40,,1982,1959,,63,1919,,63,0.04
1785,光洋科,2016Q1,tpex,9718565,10332343,-613778,,,-613778,331694,,-945472,-122934,-1068406,-182754,-885652,,,-885652,-8131,,-893783,-885620,,-32,-893995,,212,-2.24
1788,杏昌,2016Q1,tpex,685098,533881,151217,,,151217,90983,,60234,1089,61323,10429,50894,,,50894,-1418,,49476,50894,,0,49476,,0,1.45
1799,易威,2016Q1,tpex,22958,12823,10135,0,0,10135,51590,,-41455,1606,-39849,3,-39852,,,-39852,-3922,,-43774,-37809,,-2043,-41248,,-2526,-0.58
1813,寶利徠,2016Q1,tpex,96873,66365,30508,,,30508,17757,,12751,7441,20192,1022,19170,,,19170,-434,,18736,19170,,,18736,,0,0.41
1815,富喬,2016Q1,tpex,1188537,892274,296263,,,296263,137487,,158776,-34100,124676,17999,106677,,,106677,-17415,,89262,106677,,,89262,,,0.27
2035,唐榮公司,2016Q1,tpex,2614859,2688712,-73853,,,-73853,71753,,-145606,84270,-61336,12012,-73348,,,-73348,12154,,-61194,-73348,,0,-61194,,0,-0.21
2061,風青,2016Q1,tpex,210047,202075,7972,,,7972,11740,,-3768,2312,-1456,-1502,46,,,46,,,46,46,,,46,,,0.00
2063,世鎧精密,2016Q1,tpex,178628,125410,53218,,,53218,30578,,22640,-3764,18876,3245,15631,,,15631,-106,,15525,15631,,,15525,,,0.36
2064,晉椿,2016Q1,tpex,466692,428914,37778,,,37778,21865,,15913,-25673,-9760,0,-9760,0,,-9760,10,,-9750,-9555,,-205,-9545,,-205,-0.14
2066,世德,2016Q1,tpex,300333,193458,106875,,,106875,37311,,69564,-4585,64979,11019,53960,,,53960,,,53960,,,,,,,1.48
2067,嘉鋼,2016Q1,tpex,217430,176739,40691,,,40691,46348,,-5657,532,-5125,850,-5975,,,-5975,-5333,,-11308,-6443,,468,-11253,,-55,-0.21
2221,大甲,2016Q1,tpex,182581,147192,35389,,,35389,21680,,13709,90,13799,1916,11883,,,11883,-738,,11145,10181,,1702,9443,,1702,0.24
2230,泰茂,2016Q1,tpex,99355,79107,20248,,,20248,15928,0,4320,-2806,1514,-4,1518,,,1518,-5524,,-4006,356,,1162,-4236,,230,0.01
2235,謚源,2016Q1,tpex,210760,143065,67695,,,67695,18497,,49198,942,50140,8524,41616,,,41616,0,,41616,,,,,,,1.31
2596,綠意,2016Q1,tpex,15887,12145,3742,,,3742,13158,,-9416,5293,-4123,0,-4123,,,-4123,,,-4123,-4018,,-105,-4018,,-105,-0.05
2640,大車隊,2016Q1,tpex,424281,227019,197262,,,197262,129281,,67981,-8056,59925,15510,44415,,,44415,25,,44440,44697,,-282,44722,,-282,1.01
2641,正德,2016Q1,tpex,176422,160641,15781,,,15781,15815,,-34,-13193,-13227,0,-13227,,,-13227,-43546,,-56773,-13227,,,-56773,,,-0.11
2643,捷迅,2016Q1,tpex,667731,560898,106833,,,106833,54311,,52522,1733,54255,17229,37026,,,37026,-8831,,28195,37026,,,28195,,,1.60
2718,全心投控,2016Q1,tpex,72297,51129,21168,,,21168,10354,,10814,761,11575,1968,9607,,,9607,1245,,10852,,,,,,,0.43
2719,燦星旅,2016Q1,tpex,657135,566547,90588,,,90588,96248,,-5660,2027,-3633,216,-3849,,,-3849,-130,,-3979,-3849,,,-3979,,,-0.11
2724,藝舍-KY,2016Q1,tpex,198501,195076,3425,,,3425,50383,,-46958,-15263,-62221,-316,-61905,,,-61905,-6070,,-67975,-61905,,,-67975,,,-1.62
2726,雅茗-KY,2016Q1,tpex,407973,211346,196627,,,196627,172756,,23871,-1817,22054,7438,14616,,,14616,-5485,,9131,15562,,-946,10147,,-1016,0.57
2729,瓦城,2016Q1,tpex,997396,484284,513112,,,513112,407549,,105563,669,106232,19685,86547,,,86547,-2636,,83911,86547,,,83911,,,3.72
2732,六角,2016Q1,tpex,469735,212587,257148,,0,257148,224932,-1315,30901,-7251,23650,4656,18994,,,18994,219,,19213,19769,,-775,18933,,280,0.73
2734,易飛網,2016Q1,tpex,432053,371135,60918,,,60918,61623,,-705,-3449,-4154,550,-4704,,,-4704,-782,,-5486,-4704,,,-5486,,,-0.16
2736,富野,2016Q1,tpex,238736,88541,150195,,,150195,78073,,72122,-249,71873,12263,59610,,,59610,,,59610,59610,,,59610,,,1.22
2740,華軒,2016Q1,tpex,218773,119777,98996,,,98996,108444,,-9448,-121,-9569,-1600,-7969,,,-7969,-33,,-8002,-7969,,,-8002,,,-0.50
2916,滿心,2016Q1,tpex,363196,204906,158290,,,158290,142353,,15937,6723,22660,3852,18808,,,18808,-393,,18415,18808,,,18415,,,0.34
2924,宏太-KY,2016Q1,tpex,280016,93815,186201,,,186201,178232,,7969,-4944,3025,2862,163,,,163,-10760,,-10597,163,,,-10597,,,0.00
2926,誠品生活,2016Q1,tpex,1082504,538570,543934,,,543934,406703,0,137231,21881,159112,27254,131858,,,131858,-4348,,127510,131858,,,127510,,,2.92
3064,泰偉,2016Q1,tpex,139946,6387,133559,,,133559,61552,,72007,14311,86318,3123,83195,,,83195,-3296,,79899,84457,,-1262,81188,,-1289,1.17
3066,李洲,2016Q1,tpex,114610,94438,20172,,,20172,41942,,-21770,4241,-17529,,-17529,,,-17529,-1311,,-18840,-20010,,2481,-19951,,1111,-0.24
3067,全域,2016Q1,tpex,39921,31780,8141,,,8141,27044,,-18903,-257,-19160,-180,-18980,,,-18980,-739,,-19719,-18980,,0,-19719,,0,-0.65
3071,協禧,2016Q1,tpex,551204,438871,112333,,,112333,109634,,2699,2667,5366,2035,3331,,,3331,-11552,,-8221,3331,,0,-8221,,0,0.02
3073,天方能源,2016Q1,tpex,5308,1073,4235,,,4235,7726,,-3491,182,-3309,0,-3309,,,-3309,-412,,-3721,-3254,,-55,-3666,,-55,-0.07
3078,僑威,2016Q1,tpex,1322397,990229,332168,,,332168,137916,,194252,-8427,185825,55647,130178,,,130178,-26532,,103646,130178,,,103646,,,0.57
3081,聯亞,2016Q1,tpex,625227,199988,425239,,,425239,53734,,371505,3256,374761,63697,311064,,,311064,0,,311064,,,,,,,4.45
3083,網龍,2016Q1,tpex,87392,12047,75345,,,75345,127351,,-52006,8465,-43541,-295,-43246,,,-43246,-2410,,-45656,-42338,,-908,-44748,,-908,-0.49
3085,新零售,2016Q1,tpex,62450,51081,11369,,,11369,14291,,-2922,659,-2263,-775,-1488,,,-1488,,,-1488,-1488,,,-1488,,,-0.03
3086,華義*,2016Q1,tpex,95650,50661,44989,,,44989,45810,,-821,-4271,-5092,-458,-4634,,,-4634,-469,,-5103,-4612,,-22,-5081,,-22,-0.08
3088,艾訊,2016Q1,tpex,1285046,820293,464753,,,464753,315509,,149244,-7971,141273,30671,110602,,,110602,-7776,,102826,106756,,3846,99342,,3484,1.35
3093,港建*,2016Q1,tpex,224915,114957,109958,,,109958,75817,,34141,-439,33702,7242,26460,,,26460,-5303,,21157,23905,,2555,18284,,2873,0.66
3095,及成,2016Q1,tpex,410695,403694,7001,,,7001,85574,,-78573,-51697,-130270,6332,-136602,,,-136602,18121,,-118481,-137299,,697,-118910,,429,-1.26
3105,穩懋,2016Q1,tpex,3292082,1918494,1373588,,,1373588,367457,,1006131,-1248,1004883,165390,839493,,,839493,172636,,1012129,839493,,,1012129,,,1.41
3114,好德,2016Q1,tpex,344883,310137,34746,0,,34746,40142,,-5396,-10083,-15479,-1988,-13491,0,,-13491,3384,,-10107,-13491,0,0,-10107,,0,-0.27
3115,富榮綱,2016Q1,tpex,143914,134803,9111,,,9111,15468,,-6357,2306,-4051,-474,-3577,,,-3577,-699,,-4276,-3577,,,-4276,,,-0.08
3118,進階,2016Q1,tpex,119544,73438,46106,,,46106,28874,,17232,1199,18431,3168,15263,,,15263,,,15263,,,,,,,0.47
3122,笙泉,2016Q1,tpex,164719,99025,65694,,,65694,51393,,14301,-1299,13002,2813,10189,,,10189,-140,,10049,10189,,0,10049,,0,0.27
3128,昇銳,2016Q1,tpex,188439,149488,38951,,,38951,36522,,2429,123,2552,388,2164,,,2164,154,,2318,598,,1566,648,,1670,0.01
3131,弘塑,2016Q1,tpex,495444,256487,238957,,,238957,117730,,121227,-9017,112210,19330,92880,,,92880,-41324,,51556,92880,,,51556,,,3.76
3141,晶宏,2016Q1,tpex,307245,154919,152326,,,152326,100008,-2212,50106,-1035,49071,6535,42536,,,42536,-1375,,41161,42536,,,41161,,,0.69
3152,璟德,2016Q1,tpex,430632,171634,258998,,,258998,45160,,213838,-7815,206023,35024,170999,,,170999,,,170999,,,,,,,2.48
3162,精確,2016Q1,tpex,154702,143874,10828,,,10828,33823,,-22995,288,-22707,-3093,-19614,,,-19614,-1382,,-20996,-19614,,,-20996,,,-0.35
3163,波若威,2016Q1,tpex,682952,549939,133013,,,133013,86363,,46650,-1788,44862,6618,38244,,,38244,-10387,,27857,38244,,,27857,,,0.52
3169,亞信,2016Q1,tpex,159480,101805,57675,,,57675,41518,,16157,-1883,14274,3532,10742,,,10742,-4062,,6680,10742,0,0,6680,,0,0.21
3171,炎洲流通,2016Q1,tpex,412038,320950,91088,,,91088,66067,,25021,-1382,23639,3970,19669,,,19669,-585,,19084,19669,,,19084,,,0.33
3176,基亞,2016Q1,tpex,104597,75298,29299,,,29299,206076,,-176777,3468,-173309,-7417,-165892,,,-165892,6417,,-159475,-114145,,-51747,-107728,,-51747,-0.82
3188,鑫龍騰,2016Q1,tpex,33825,30390,3435,,,3435,10836,,-7401,-2583,-9984,-1908,-8076,,,-8076,-35,,-8111,-8076,,,-8111,,,-0.13
3191,雲嘉南,2016Q1,tpex,118286,112647,5639,,,5639,28757,,-23118,-9237,-32355,-89,-32266,,,-32266,-4008,,-36274,-32266,,,-36274,,,-0.59
3205,佰研,2016Q1,tpex,560610,314764,245846,,,245846,58097,,187749,-15675,172074,30267,141807,0,,141807,-200,,141607,141807,,,141607,,0,4.97
3206,志豐,2016Q1,tpex,398938,289550,109388,,,109388,77697,,31691,1839,33530,8581,24949,,,24949,-10556,,14393,24949,,0,14393,,0,0.57
3207,耀勝,2016Q1,tpex,244074,212516,31558,,,31558,37853,0,-6295,5182,-1113,-1977,864,0,,864,674,,1538,847,,17,1517,,21,0.02
3211,順達,2016Q1,tpex,5003692,4751388,252304,,,252304,153090,,99214,71729,170943,42286,128657,,,128657,-89427,,39230,128657,,,39230,,,0.87
3213,茂訊,2016Q1,tpex,395029,309491,85538,-264,,85802,54676,,31126,-1400,29726,5322,24404,,,24404,974,,25378,,,,,,,0.42
3217,優群,2016Q1,tpex,308949,206787,102162,,,102162,74717,,27445,-4763,22682,6419,16263,,,16263,6775,,23038,16263,,0,23038,,0,0.20
3218,大學光,2016Q1,tpex,249504,115917,133587,,,133587,119552,,14035,-6391,7644,1300,6344,0,,6344,-1386,,4958,6344,,,4958,,,0.10
3219,倚強科,2016Q1,tpex,37465,23540,13925,,,13925,10972,,2953,329,3282,0,3282,,,3282,-52,,3230,3282,,,3230,,,0.14
3221,台嘉碩,2016Q1,tpex,437531,338363,99168,,,99168,61722,,37446,2840,40286,5033,35253,,,35253,-5512,,29741,35269,,-16,29769,,-28,0.41
3224,三顧,2016Q1,tpex,508800,468454,40346,,,40346,48556,,-8210,-7085,-15295,374,-15669,,,-15669,-802,,-16471,-15669,,,-16471,,,-0.39
3226,龍鋒,2016Q1,tpex,330933,236874,94059,,,94059,28281,,65778,-13360,52418,9051,43367,,,43367,-55,,43312,43367,,0,43312,,0,0.67
3227,原相,2016Q1,tpex,1027696,505038,522658,,,522658,485597,,37061,-7468,29593,9318,20275,,,20275,128179,,148454,25266,,-4991,153445,,-4991,0.20
3228,金麗科,2016Q1,tpex,60470,13536,46934,,,46934,53998,,-7064,-1527,-8591,0,-8591,,,-8591,,,-8591,,,,,,,-0.14
3230,錦明,2016Q1,tpex,223819,195587,28232,,,28232,58281,-749,-30798,1107,-29691,4073,-33764,,,-33764,-6917,,-40681,-33764,,0,-40681,,0,-0.31
3232,昱捷,2016Q1,tpex,125005,112839,12166,,,12166,20505,,-8339,-579,-8918,-33,-8885,,,-8885,-1728,,-10613,-6507,,-2378,-8101,,-2512,-0.21
3234,光環,2016Q1,tpex,1472010,1013997,458013,522,,457491,146030,,311461,-23670,287791,46412,241379,,,241379,-1792,,239587,241379,,,239587,,,2.46
3236,千如,2016Q1,tpex,470028,372470,97558,,,97558,62146,,35412,-5074,30338,6181,24157,,,24157,23851,,48008,23545,,612,46804,,1204,0.39
3252,海灣,2016Q1,tpex,30503,16496,14007,,,14007,15259,,-1252,-3938,-5190,0,-5190,0,,-5190,,,-5190,-4785,,-405,-4785,,-405,-0.22
3259,鑫創,2016Q1,tpex,163690,109808,53882,,,53882,75752,,-21870,548,-21322,0,-21322,,,-21322,,,-21322,-21322,,,-21322,,,-0.26
3260,威剛,2016Q1,tpex,4881476,4532506,348970,,,348970,444265,,-95295,224386,129091,17168,111923,,,111923,-82065,,29858,120201,,-8278,40697,,-10839,0.56
3264,欣銓,2016Q1,tpex,1280557,1025436,255121,,,255121,120702,,134419,-11110,123309,16998,106311,,,106311,27653,,133964,106311,,,133964,,,0.23
3265,台星科,2016Q1,tpex,684042,672187,11855,,,11855,51417,,-39562,-53208,-92770,-1399,-91371,,,-91371,-3231,,-94602,-91371,0,,-94602,0,,-0.67
3268,海德威,2016Q1,tpex,147818,137916,9902,,,9902,22250,,-12348,-4569,-16917,2,-16919,,,-16919,7763,,-9156,-12882,,-4037,-5119,,-4037,-0.39
3272,東碩,2016Q1,tpex,675164,519168,155996,,,155996,113139,,42857,-8519,34338,10402,23936,,,23936,-14083,,9853,23936,,,9853,,,0.46
3276,宇環,2016Q1,tpex,149294,158125,-8831,,,-8831,10256,,-19087,-641,-19728,0,-19728,,,-19728,-1532,,-21260,,,,,,,-0.28
3284,太普高,2016Q1,tpex,193799,157730,36069,,,36069,25868,0,10201,-584,9617,1666,7951,0,,7951,0,,7951,7951,,0,7951,,0,0.15
3285,微端,2016Q1,tpex,336304,275028,61276,,,61276,44079,,17197,-6083,11114,5787,5327,,,5327,-3652,,1675,5284,,43,1945,,-270,0.12
3287,廣寰科,2016Q1,tpex,85796,66998,18798,,,18798,39010,,-20212,66,-20146,-329,-19817,,,-19817,-500,,-20317,-16188,,-3629,-16562,,-3755,-0.37
3288,點晶,2016Q1,tpex,47465,36557,10908,,,10908,30495,,-19587,-2379,-21966,,-21966,,,-21966,-727,,-22693,-21905,,-61,-22632,,-61,-0.45
3289,宜特,2016Q1,tpex,556219,368587,187632,,,187632,119934,,67698,4449,72147,17839,54308,,,54308,-12947,,41361,80759,,-26451,68428,,-27067,1.61
3290,東浦,2016Q1,tpex,531697,473922,57775,,,57775,90784,,-33009,2118,-30891,-950,-29941,,,-29941,5802,,-24139,-30694,,753,-24692,,553,-0.31
3293,鈊象,2016Q1,tpex,811739,166255,645484,,,645484,384051,,261433,9155,270588,33851,236737,,,236737,2176,,238913,236853,,-116,239138,,-225,3.40
3294,英濟,2016Q1,tpex,1097462,1011223,86239,,,86239,147092,,-60853,-12059,-72912,-1688,-71224,,,-71224,-51092,,-122316,-64455,,-6769,-115084,,-7232,-0.49
3297,杭特,2016Q1,tpex,136793,84882,51911,,,51911,39333,,12578,462,13040,1411,11629,,,11629,-42,,11587,11629,,,11587,,,0.33
3303,岱稜,2016Q1,tpex,575066,419395,155671,,,155671,104536,,51135,-7968,43167,7297,35870,,,35870,362,,36232,39789,,-3919,40151,,-3919,0.42
3306,鼎天,2016Q1,tpex,324675,248864,75811,,,75811,71204,412,5019,2081,7100,710,6390,,,6390,25922,,32312,6390,,,32312,,,0.13
3310,佳穎,2016Q1,tpex,248532,188854,59678,,,59678,20822,,38856,-15412,23444,-1630,25074,,,25074,0,,25074,25074,,,25074,,0,0.22
3313,斐成,2016Q1,tpex,376950,325164,51786,,,51786,78306,,-26520,-15873,-42393,-4726,-37667,,,-37667,-142,,-37809,-32350,,-5317,-32492,,-5317,-0.39
3317,尼克森,2016Q1,tpex,514198,418757,95441,,,95441,83028,,12413,-4207,8206,1615,6591,,,6591,-106,,6485,6591,,0,6485,,0,0.11
3322,建舜電,2016Q1,tpex,572729,476150,96579,,,96579,116378,,-19799,-8042,-27841,805,-28646,,,-28646,-505,,-29151,-27962,,-684,-28467,,-684,-0.32
3323,加百裕,2016Q1,tpex,972619,872955,99664,,,99664,87526,,12138,1585,13723,5567,8156,,,8156,-3750,,4406,8156,,,4406,,,0.09
