stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2855,統一證,2015Q4,twse,4580843,4328103,252740,855964,1108704,-146169,962535,,,962535,78630,,1041165,956613,,5922,1035140,,6025,0.72
6005,群益證,2015Q4,twse,6564157,5199417,1364740,669295,2034035,-305677,1728358,,,1728358,5573,,1733931,1549327,,179031,1551672,,182259,0.66
6024,群益期,2015Q4,twse,1551837,1379551,172286,330138,502424,-67923,434501,,,434501,5642,,440143,432927,,1574,437018,,3125,3.54
