stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2022Q3,twse,24898266,16944343,41842609,2813815,1094454,21385474,16548866,2655072,13893794,,13893794,-26484327,-12590533,13893691,,103,-12590662,,129,1.02
2881,富邦金,2022Q3,twse,123691711,166904419,290596130,3895468,130664804,51227147,104808711,19802461,85006250,,85006250,-446919601,-361913351,83713989,,1292261,-354742885,,-7170466,6.51
2882,國泰金,2022Q3,twse,164179619,142311100,306490719,2358441,168344109,64947063,70841106,16361774,54479332,,54479332,-611225555,-556746223,53893886,,585446,-557663371,,917148,3.83
2883,凱基金,2022Q3,twse,52175907,47226486,99402393,-145398,49927555,22508680,27111556,6768005,20343551,,20343551,-128415626,-108072075,20321448,,22103,-108098672,,26597,1.21
2884,玉山金,2022Q3,twse,23016100,17015693,40031793,1490986,,23698445,14842362,3182029,11660333,,11660333,-12114444,-454111,11648029,,12304,-467106,,12995,0.82
2885,元大金,2022Q3,twse,23289411,51941133,75230544,169147,16519520,32959681,25582196,4960333,20621863,,20621863,-22109045,-1487182,19605427,,1016436,-2263594,,776412,1.57
2886,兆豐金,2022Q3,twse,27916185,14182982,42099167,1617306,3228813,22003035,15250013,1589612,13660401,,13660401,-30241346,-16580945,13660401,,0,-16580945,,0,0.98
2887,台新新光金,2022Q3,twse,21398677,26003387,47402064,1359731,13393711,21716175,10932447,2668722,8263725,,8263725,-9426118,-1162393,8272288,,-8563,-1153830,,-8563,0.58
2889,國票金,2022Q3,twse,1750015,2924275,4674290,-20845,,2713965,1981170,479298,1501872,,1501872,-5846616,-4344744,1199334,,302538,-4357434,,12690,0.38
2890,永豐金,2022Q3,twse,19821496,17214604,37036100,1904924,,19472901,15658275,2722351,12935924,,12935924,-19025369,-6089445,12935924,,,-6089445,,,1.14
2891,中信金,2022Q3,twse,92635490,44122211,136757701,5515740,32708246,51735838,46797877,13750131,33047746,,33047746,-108823752,-75776006,32186328,,861418,-75332779,,-443227,1.60
2892,第一金,2022Q3,twse,28949148,23250372,52199520,3729848,9099407,19967822,19402443,2974146,16428297,,16428297,-10595198,5833099,16428297,,,5833099,,,1.24
5880,合庫金,2022Q3,twse,28413388,10797906,39211294,996078,-614077,20592390,18236903,2938134,15298769,,15298769,-37542105,-22243336,14815006,,483763,-20935548,,-1307788,1.06
