stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2025Q1,twse,6941955,9746534,16688489,825242,633408,8515471,6714368,1376719,5337649,,5337649,4942191,10279840,5337621,,28,10279792,,48,0.39
2881,富邦金,2025Q1,twse,48292256,60682173,108974429,2547830,32544670,22293976,51587953,10485731,41102222,,41102222,-77056789,-35954567,41057794,,44428,-36339165,,384598,3.00
2882,國泰金,2025Q1,twse,67112700,39149953,106262653,1353351,40334303,27297657,37277342,5062686,32214656,0,32214656,-55120676,-22906020,32015307,,199349,-22567344,,-338676,2.18
2883,凱基金,2025Q1,twse,19332189,7807884,27140073,294983,7535962,8958068,10351060,1644382,8706678,,8706678,-16649299,-7942621,8706307,,371,-7944986,,2365,0.52
2884,玉山金,2025Q1,twse,9227335,12211572,21438907,353866,,10355628,10729413,1919406,8810007,,8810007,767435,9577442,8809484,,523,9576869,,573,0.55
2885,元大金,2025Q1,twse,9205994,22019586,31225580,502816,6095645,14560804,10066315,1865551,8200764,,8200764,984018,9184782,7638340,,562424,8529651,,655131,0.59
2886,兆豐金,2025Q1,twse,9533604,9328638,18862242,388261,23894,8776367,9673720,1662928,8010792,,8010792,4022572,12033364,8010792,,0,12033364,,0,0.54
2887,台新新光金,2025Q1,twse,9331132,15432102,24763234,769433,8914215,9337846,5741740,1009317,4732423,,4732423,-3808650,923773,4732707,,-284,924057,,-284,0.33
2889,國票金,2025Q1,twse,422612,1292490,1715102,31066,,1003633,680403,207682,472721,,472721,46498,519219,401795,,70926,609654,,-90435,0.11
2890,永豐金,2025Q1,twse,8473458,10186247,18659705,888411,,9177713,8593581,1331335,7262246,,7262246,896860,8159106,7201742,,60504,8084956,,74150,0.57
2891,中信金,2025Q1,twse,35517239,25934586,61451825,3562733,8923749,24393901,24571442,4242399,20329043,,20329043,-6716581,13612462,19908299,,420744,12423538,,1188924,1.02
2892,第一金,2025Q1,twse,7960202,10314345,18274547,71006,1100256,8216899,8886386,1680615,7205771,,7205771,1523921,8729692,7205771,,,8729692,,,0.51
5880,合庫金,2025Q1,twse,8288190,9119417,17407607,668354,2622564,7747769,6368920,1377688,4991232,,4991232,-28485,4962747,4934624,,56608,4959514,,3233,0.32
