stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2022Q2,twse,11676682,4285199,1381250,8410875,6169756,849899,5319857,,,5319857,-5761292,,-441435,5319857,,,-441435,,,0.50
2812,台中銀,2022Q2,twse,5144437,1900014,335695,3444840,3263916,657651,2606265,,,2606265,-1189868,,1416397,2606265,,,1416397,,,0.55
2820,華票,2022Q2,twse,557851,378741,-21136,234051,723677,122170,601507,,,601507,-3060949,,-2459442,,,,,,,0.45
2834,臺企銀,2022Q2,twse,9819822,3106404,965459,6888634,5072133,911489,4160644,,,4160644,-5983721,,-1823077,4160644,0,0,-1823077,0,0,0.52
2836,高雄銀,2022Q2,twse,1431099,635709,89836,1330292,646680,73892,572788,,,572788,-1920055,,-1347267,,,,,,,0.45
2838,聯邦銀,2022Q2,twse,4872714,2124645,231547,5140515,1625297,477406,1147891,,,1147891,-6171233,,-5023342,1146241,,1650,-5024994,,1652,0.19
2845,遠東銀,2022Q2,twse,3421230,2070517,288355,3277374,1926018,276617,1649401,,,1649401,-1562144,,87257,1649401,,,87257,,,0.47
2849,安泰銀,2022Q2,twse,2009747,1126721,316741,1470198,1349529,200339,1149190,0,,1149190,-1504141,,-354951,,,,,,,0.59
2897,王道銀行,2022Q2,twse,2461973,1913707,180409,2284140,1911131,466543,1444588,4142,,1448730,-4758184,,-3309454,1006964,,441766,-1580636,,-1728818,0.32
5876,上海商銀,2022Q2,twse,14539188,5779615,790996,8011951,11515856,2317426,9198430,,,9198430,-7951109,,1247321,7256573,,1941857,-730075,,1977396,1.62
