stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
6015,宏遠證,2016Q1,tpex,181004,212514,-31510,22073,-9437,3974,-5463,,,-5463,-10061,,-15524,-5463,,,-15524,,,-0.01
6016,康和證,2016Q1,tpex,565643,533418,32225,24664,56889,-5755,51134,,,51134,-14713,,36421,50258,,876,35545,,876,0.08
6020,大展證,2016Q1,tpex,54500,33304,21196,8013,29209,-2189,27020,0,,27020,,,27020,27119,,-99,27119,,-99,0.11
6021,美好證,2016Q1,tpex,83070,130025,-46955,14391,-32564,-2819,-35383,,,-35383,-50383,,-85766,-35383,,0,-85766,,0,-0.12
6023,元大期貨,2016Q1,tpex,783848,656458,127390,127952,255342,-45800,209542,,,209542,123834,,333376,209542,,,333376,,,0.90
6026,福邦證,2016Q1,tpex,103614,60311,43303,2109,45412,2321,47733,,,47733,,,47733,47733,,,47733,0,0,0.20
