stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2025Q1,twse,6372921,4368294,470703,5175409,5095103,960337,4134766,,,4134766,423477,,4558243,4134766,,,4558243,,,0.37
2812,台中銀,2025Q1,twse,3225670,1790634,183167,2218234,2614903,440420,2174483,,,2174483,-5914,,2168569,2174483,,,2168569,,,0.39
2820,華票,2025Q1,twse,170019,417145,-34127,126518,494773,98231,396542,,,396542,292497,,689039,,,,,,,0.30
2834,臺企銀,2025Q1,twse,4844708,3744977,788289,4044329,3757067,821692,2935375,,,2935375,-447740,,2487635,2935375,0,0,2487635,0,0,0.32
2836,高雄銀,2025Q1,twse,833492,329990,90213,717285,355984,90119,265865,,,265865,387042,,652907,,,,,,,0.15
2838,聯邦銀,2025Q1,twse,2222604,2460033,142453,3054859,1485325,301926,1183399,,,1183399,2293210,,3476609,1206352,,-22953,3499545,,-22936,0.30
2845,遠東銀,2025Q1,twse,1564193,1626049,39219,1925633,1225390,118029,1107361,,,1107361,43874,,1151235,1107361,,,1151235,,,0.26
2849,安泰銀,2025Q1,twse,718105,648247,83754,857708,424890,61622,363268,0,,363268,397465,,760733,,,,,,,0.19
2897,王道銀行,2025Q1,twse,577379,1773586,34497,1222755,1093713,265121,828592,,,828592,638789,,1467381,537095,,291497,955128,,512253,0.19
5876,上海商銀,2025Q1,twse,9576282,4248836,1508145,5291052,7025921,1125333,5900588,,,5900588,3020770,,8921358,4667070,,1233518,5873619,,3047739,0.96
