stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2019Q2,twse,11683878,4314857,995119,7956286,7047330,1048267,5999063,,,5999063,1975742,,7974805,5999063,,,7974805,,,0.60
2812,台中銀,2019Q2,twse,4170744,1899017,365476,3190976,2513309,406835,2106474,0,,2106474,370243,,2476717,2106474,,,2476717,,,0.57
2820,華票,2019Q2,twse,429255,586124,-1415,229875,786919,155276,631643,,,631643,290037,,921680,,,,,,,0.47
2834,臺企銀,2019Q2,twse,8402455,3643222,1675706,6299533,4070438,669889,3400549,,,3400549,1502781,,4903330,3400549,0,0,4903330,0,0,0.53
2836,高雄銀,2019Q2,twse,1388568,543562,333368,1198379,400383,35079,365304,,,365304,383329,,748633,,,,,,,0.35
2838,聯邦銀,2019Q2,twse,3203131,3455117,231206,4636476,1790566,327119,1463447,0,,1463447,2756762,,4220209,1451393,,12054,4208217,,11992,0.34
2845,遠東銀,2019Q2,twse,2673950,3374795,60832,3396370,2591543,401863,2189680,0,,2189680,586577,,2776257,2189680,,,2776257,,,0.67
2849,安泰銀,2019Q2,twse,1851108,1436734,418707,1485032,1384103,211755,1172348,0,,1172348,166829,,1339177,,,,,,,0.64
2897,王道銀行,2019Q2,twse,1977758,2470149,508651,2311781,1627475,415586,1211889,-2167,,1209722,722771,,1932493,738310,,471412,1244751,,687742,0.30
5876,上海商銀,2019Q2,twse,14483147,6165172,577477,7421810,12649032,2453631,10195401,,,10195401,4792745,,14988146,7584277,,2611124,10847972,,4140174,1.85
