stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
4743,合一,2015Q4,tpex,7841,4856,2985,,,2985,100193,0,-97208,3901,-93307,-290,-93017,0,0,-93017,-72172,,-165189,,,,,,,-0.50
4744,皇將,2015Q4,tpex,1140970,735614,405356,,,405356,338750,,66606,-3896,62710,14447,48263,,,48263,13126,,61389,48263,,,61389,,,1.56
4745,合富-KY,2015Q4,tpex,3274530,2350464,924066,,,924066,676247,,247819,172045,419864,72873,346991,,,346991,-25949,,321042,346991,,,321042,,,6.04
4747,強生*,2015Q4,tpex,380176,195992,184184,,,184184,112948,,71236,3506,74742,12609,62133,,,62133,-4201,0,57932,,,,,,,2.10
4749,新應材,2015Q4,tpex,1050199,714888,335311,,,335311,227472,-329,107510,13874,121384,17460,103924,,,103924,707,,104631,103924,,,104631,,,2.14
4754,國碳科,2015Q4,tpex,362581,221627,140954,,,140954,101894,,39060,4391,43451,7638,35813,,,35813,-2503,,33310,35813,,,33310,,,2.60
4760,勤凱科技,2015Q4,tpex,433515,341217,92298,,,92298,71804,,20494,205,20699,4172,16527,,,16527,0,,16527,,,,,,,0.80
4804,大略-KY,2015Q4,tpex,1040441,457951,582490,0,0,582490,407824,0,174666,15634,190300,62025,128275,0,,128275,-11241,,117034,128275,,,117034,,,5.09
4806,桂田文創,2015Q4,tpex,312777,199257,113520,,,113520,42040,,71480,9605,81085,14902,66183,,,66183,-4943,,61240,66183,,,61240,,,3.01
4903,聯光通,2015Q4,tpex,1562696,1309364,253332,,,253332,188547,,64785,6514,71299,17205,54094,,,54094,-24938,,29156,27557,,26537,2848,,26308,0.31
4905,台聯電,2015Q4,tpex,116089,65552,50537,,,50537,91238,,-40701,164261,123560,5244,118316,,,118316,2106266,,2224582,123476,,-5160,2229207,,-4625,2.41
4907,富宇,2015Q4,tpex,865275,646191,219084,,,219084,37811,,181273,1100,182373,-262,182635,,0,182635,,,182635,,,,,,,1.55
4908,前鼎,2015Q4,tpex,1042106,817250,224856,,,224856,171037,,53819,16280,70099,12140,57959,,,57959,351,,58310,,,,,,,0.76
4909,新復興,2015Q4,tpex,1598093,1222665,375428,,,375428,138606,,236822,73670,310492,67416,243076,,,243076,4918,,247994,243076,,,247994,,,2.60
4911,德英,2015Q4,tpex,54074,15754,38320,,,38320,71334,,-33014,20081,-12933,-1061,-11872,,,-11872,95,,-11777,,,,,,,-0.21
4923,力士,2015Q4,tpex,465252,365949,99303,,,99303,87992,,11311,8522,19833,3424,16409,,,16409,,,16409,,,,,,,0.82
4924,欣厚-KY,2015Q4,tpex,575916,533852,42064,,,42064,100135,,-58071,-4754,-62825,3315,-66140,,,-66140,-45332,,-111472,-66140,,,-111472,,,-1.78
4931,新盛力,2015Q4,tpex,1618181,1400897,217284,,,217284,175077,,42207,8871,51078,3048,48030,,,48030,-8368,,39662,48030,,,39662,,,0.70
4933,友輝,2015Q4,tpex,4023829,3494565,529264,,,529264,368304,,160960,43049,204009,31263,172746,,,172746,368,,173114,,,,,,,2.24
4939,亞電,2015Q4,tpex,1555805,1308517,247288,,,247288,365775,,-118487,-81138,-199625,-18274,-181351,,,-181351,-14734,,-196085,-181351,,,-196085,,,-1.85
4946,辣椒,2015Q4,tpex,466417,421859,44558,,,44558,210436,,-165878,-264766,-430644,11637,-442281,,,-442281,5526,,-436755,-437099,,-5182,-431573,,-5182,-16.01
4950,金耘國際,2015Q4,tpex,335966,301516,34450,,,34450,64201,,-29751,59929,30178,17030,13148,0,,13148,-156463,,-143315,13148,,0,-143315,,,0.25
4951,精拓科,2015Q4,tpex,296610,103846,192764,,,192764,178009,,14755,5000,19755,99,19656,,,19656,2246,,21902,26187,,-6531,28410,,-6508,0.72
4953,緯致,2015Q4,tpex,2501935,2076039,425896,,,425896,455704,,-29808,48138,18330,2720,15610,,,15610,13574,,29184,15610,,,29184,,,0.36
4966,譜瑞-KY,2015Q4,tpex,7189471,4289253,2900218,,,2900218,1690312,,1209906,28970,1238876,94530,1144346,,,1144346,206425,,1350771,1144346,,,1350771,,,15.30
4971,IET-KY,2015Q4,tpex,857284,535993,321291,,,321291,136459,,184832,-70710,114122,1411,112711,,,112711,50141,,162852,112685,,26,162826,,26,3.49
4972,湯石照明,2015Q4,tpex,1306683,889313,417370,,,417370,260008,,157362,24865,182227,37617,144610,,,144610,-1538,,143072,144610,0,0,143072,0,0,3.80
4973,廣穎電通,2015Q4,tpex,5466231,4844906,621325,,,621325,576304,,45021,26458,71479,20623,50856,,,50856,35816,,86672,50856,,,86672,,,0.80
4974,亞泰,2015Q4,tpex,3591060,3141851,449209,,,449209,164595,,284614,36505,321119,71919,249200,,,249200,-5198,,244002,249200,0,0,244002,0,0,4.02
4979,華星光,2015Q4,tpex,4181307,3156749,1024558,,,1024558,406325,,618233,40349,658582,116241,542341,0,,542341,-480,,541861,542341,0,0,541861,0,0,7.36
4991,環宇-KY,2015Q4,tpex,1659943,955764,704179,,,704179,401442,,302737,-10645,292092,15837,276255,,,276255,55568,,331823,276255,,,331823,,,4.95
4995,晶達,2015Q4,tpex,803418,530143,273275,,,273275,166935,,106340,9383,115723,19724,95999,,,95999,-92,,95907,95999,,0,95907,,0,2.81
5009,榮剛,2015Q4,tpex,10862860,9044349,1818511,,,1818511,941659,,876852,-73379,803473,190152,613321,,,613321,4417,,617738,697473,,-84152,700421,,-82683,1.57
5011,久陽,2015Q4,tpex,965683,883384,82299,,,82299,69813,,12486,10866,23352,-1232,24584,,,24584,3648,,28232,,,,,,,0.73
5013,強新,2015Q4,tpex,5220138,4578605,641533,,,641533,263715,,377818,-51047,326771,78901,247870,,,247870,-25026,,222844,202005,,45865,189545,,33299,1.82
5014,建錩,2015Q4,tpex,14442733,14013569,429164,,,429164,595670,,-166506,-98787,-265293,38344,-303637,,,-303637,-90041,,-393678,-197192,,-106445,-275709,,-117969,-1.19
5015,華祺,2015Q4,tpex,2067318,1719101,348217,0,0,348217,189253,,158964,13072,172036,24952,147084,,,147084,-9766,,137318,147084,,0,137318,,0,2.43
