date,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,asof
2019-11-28,220.08000000,224.60000000,212.02000000,217.41000000,11556.80086000,2530899.68916000,6274,5997.10206000,1313789.19449290,2026-09-20
2019-11-29,217.40000000,226.49000000,216.90000000,224.00000000,50234.55027000,11222828.29369790,23621,26343.41527000,5881106.21826660,2026-09-20
2019-11-30,223.89000000,224.67000000,214.41000000,217.45000000,47622.18011000,10490318.83610890,18794,23988.28449000,5290884.44580150,2026-09-20
2019-12-01,217.43000000,218.18000000,209.24000000,214.36000000,46721.57914000,9973168.04987480,24501,23680.26481000,5059706.13012510,2026-09-20
2019-12-02,214.37000000,216.25000000,209.68000000,213.67000000,43397.32559000,9250970.93455020,19593,21483.00834000,4581775.36622960,2026-09-20
2019-12-03,213.72000000,215.95000000,210.99000000,211.50000000,28430.46455000,6066320.70004780,13295,14064.08334000,3001910.45814690,2026-09-20
2019-12-04,211.47000000,219.68000000,202.50000000,207.47000000,93351.89396000,19572146.78002380,38729,43947.18205000,9219472.84573300,2026-09-20
2019-12-05,207.36000000,214.46000000,200.88000000,211.50000000,58415.66785000,12250900.20461830,23102,28227.06323000,5927188.19363880,2026-09-20
2019-12-06,211.60000000,214.00000000,209.20000000,212.84000000,36081.71398000,7635950.93003310,16105,18172.70035000,3846802.60656080,2026-09-20
2019-12-07,212.90000000,216.62000000,210.01000000,211.00000000,26962.16937000,5746370.31546660,11321,13481.37084000,2872962.58410070,2026-09-20
2019-12-08,210.97000000,214.89000000,208.00000000,212.58000000,23530.67976000,4971614.78138780,10618,11020.49173000,2329707.90388110,2026-09-20
2019-12-09,212.42000000,215.08000000,205.40000000,208.27000000,36474.63924000,7690860.12227390,16896,16063.86857000,3390881.98559600,2026-09-20
2019-12-10,208.18000000,209.35000000,203.71000000,206.54000000,27927.89853000,5779008.52027880,13053,12924.47090000,2675191.56332750,2026-09-20
2019-12-11,206.63000000,207.99000000,204.05000000,207.01000000,15264.51196000,3149193.33123860,7791,6763.06859000,1395012.89747500,2026-09-20
2019-12-12,207.10000000,207.97000000,203.67000000,206.79000000,26540.59504000,5463102.03698530,12548,13170.59753000,2711616.25223140,2026-09-20
2019-12-13,206.62000000,212.71000000,206.25000000,211.32000000,33534.36619000,7015487.04537000,19871,15781.61779000,3303584.54993260,2026-09-20
2019-12-14,211.44000000,213.11000000,204.67000000,205.82000000,34067.96904000,7112457.19443170,17754,16629.28775000,3474907.93862690,2026-09-20
2019-12-15,205.87000000,211.72000000,204.88000000,206.88000000,37076.86920000,7694355.56420570,17971,18386.82608000,3815098.44875620,2026-09-20
2019-12-16,206.87000000,208.67000000,193.85000000,196.27000000,82405.61891000,16478839.28065690,40213,38734.36438000,7746488.27311050,2026-09-20
2019-12-17,196.26000000,196.96000000,172.10000000,176.45000000,127025.58764000,23345354.34153620,56991,59794.26527000,10988861.17396750,2026-09-20
2019-12-18,176.45000000,191.75000000,169.66000000,189.00000000,144833.01830000,25986405.17071040,76448,75850.26465000,13615409.28909390,2026-09-20
2019-12-19,188.90000000,191.00000000,183.49000000,185.96000000,54337.20347000,10148526.02595860,30108,27717.66898000,5174818.99528160,2026-09-20
2019-12-20,186.07000000,190.72000000,183.82000000,187.44000000,43236.75189000,8094064.04571290,31219,21539.84305000,4028443.10422760,2026-09-20
2019-12-21,187.39000000,188.43000000,185.33000000,186.21000000,19488.47281000,3636819.97789830,14615,8531.41908000,1592444.88404370,2026-09-20
2019-12-22,186.21000000,197.40000000,185.73000000,196.27000000,54636.39805000,10424136.44674140,33176,28438.86926000,5422994.85635900,2026-09-20
2019-12-23,196.28000000,198.00000000,188.20000000,189.61000000,57146.55220000,11116931.27793390,33910,28761.59415000,5598831.28528440,2026-09-20
