pattern,市值前50,其餘
P1_box_breakout,129,6286
P2_breakaway_gap,77,2395
P3_false_breakout,2,492
P4_hammer,502,13454
P4_shooting_star,932,28114
P5_ma_cross_up,808,11773
P6_cup_handle,10,106
P6_cup_handle_cap,6,95
P6w_cup_handle_weekly,3,72
