pattern,n_top50,n_rest,rate_top50,rate_rest,ratio
P1_box_breakout,131,6284,0.26487516934074407,0.8798894787100818,0.30103231797822055
P2_breakaway_gap,82,2390,0.1657997243201604,0.3346492447672017,0.4954432944723923
P3_false_breakout,2,492,0.0040438957151258635,0.06889013741651182,0.058700648115656236
P4_hammer,516,13440,1.0433250945024728,1.8818769245486153,0.554406656935189
P4_shooting_star,937,28109,1.8945651425364671,3.9358391720340054,0.48136243879024493
P5_ma_cross_up,803,11778,1.6236241296230343,1.6491626798611303,0.9845142322525474
P6_cup_handle,10,106,0.020219478575629318,0.014842184077541162,1.3622980600425882
P6_cup_handle_cap,6,95,0.01213168714537759,0.013301957427985005,0.9120227012495643
P6w_cup_handle_weekly,3,72,0.006065843572688795,0.010081483524367583,0.6016816431854765
